"stage2/step","Group: VaDE_Simple_gauss - stage2/mcc_pearson","Group: VaDE_Simple_gauss - stage2/mcc_pearson__MIN","Group: VaDE_Simple_gauss - stage2/mcc_pearson__MAX","Group: VaDE_Simple_gauss - _step","Group: VaDE_Simple_gauss - _step__MIN","Group: VaDE_Simple_gauss - _step__MAX","Group: Danru_Simple_gauss - stage2/mcc_pearson","Group: Danru_Simple_gauss - stage2/mcc_pearson__MIN","Group: Danru_Simple_gauss - stage2/mcc_pearson__MAX","Group: Danru_Simple_gauss - _step","Group: Danru_Simple_gauss - _step__MIN","Group: Danru_Simple_gauss - _step__MAX","Group: Ours_Simple_gauss - stage2/mcc_pearson","Group: Ours_Simple_gauss - stage2/mcc_pearson__MIN","Group: Ours_Simple_gauss - stage2/mcc_pearson__MAX","Group: Ours_Simple_gauss - _step","Group: Ours_Simple_gauss - _step__MIN","Group: Ours_Simple_gauss - _step__MAX"
"1","0.6438931202284864","0.500867412838013","0.7753909895475167","10047","10047","10047","0.6263519320331611","0.513782998055852","0.8040703362832075","20048","20048","20048","0.704305341355156","0.6092242800231136","0.800507069026358","20048","20048","20048"
"251","0.5121332943373873","0.4223053188989296","0.6352340706042234","10300","10300","10300","0.5011573809891219","0.17849573989278608","0.6512434218247075","20301","20301","20301","0.8710606635574057","0.7742103456508659","0.9899663554872431","20301","20301","20301"
"501","0.451377744158106","0","0.5833609940877366","10553","10553","10553","0.46228575324556215","0.18700891985342039","0.6583352771375864","20554","20554","20554","0.9380700800988502","0.8356033065488683","0.9961587029264333","20554","20554","20554"
"751","0.3811774775124668","0","0.6067219981043902","10806","10806","10806","0.4594479857184243","0.19602312446599282","0.6631238843330266","20807","20807","20807","0.9545379202048017","0.8687772442444345","0.9960656071579376","20807","20807","20807"
"1001","0.4101737583611101","0","0.6860889056318636","11059","11059","11059","0.45128193579650394","0.19260647800348585","0.6702788146220007","21060","21060","21060","0.9616154664748713","0.88156529876274","0.9960312308378353","21060","21060","21060"
"1251","0.3691827354557633","0","0.5179594853914947","11312","11312","11312","0.4525787518463427","0.16625935513535314","0.6657929801238719","21313","21313","21313","0.9646129916032413","0.886395358180086","0.9959631415752322","21313","21313","21313"
"1501","0.4081188100699259","0","0.6434108314067152","11565","11565","11565","0.4574437603967336","0.17935770107151708","0.6695506019263356","21566","21566","21566","0.9649051746801028","0.8868509471025302","0.9961871124158327","21566","21566","21566"
"1751","0.43675505614552224","0","0.6945243394420811","11818","11818","11818","0.45413235436346727","0.14899037406027382","0.6694372839714937","21819","21819","21819","0.9664165538923081","0.8894719329444798","0.9961577730642079","21819","21819","21819"
"2001","0.42164904550266513","0","0.6613367072442279","12071","12071","12071","0.46201169859971875","0.1497789440247029","0.6762487487074655","22072","22072","22072","0.9666427507817021","0.8884448360797218","0.9955647196557948","22072","22072","22072"
"2251","0.3999387269805195","0","0.5686694616081559","12324","12324","12324","0.4596445722937741","0.14720141632746306","0.6772582994375466","22325","22325","22325","0.9674697111851838","0.8952854967014593","0.995444787986873","22325","22325","22325"
"2501","0.43317673975593507","0","0.6410679599558523","12577","12577","12577","0.45058127200997217","0.15526375029980857","0.6700664050437747","22578","22578","22578","0.9669228422300089","0.8850766832107057","0.9958950150968212","22578","22578","22578"
"2751","0.4177796477560222","0","0.6301606121653024","12830","12830","12830","0.4544947163618824","0.14468496315876841","0.6678274124693804","22831","22831","22831","0.9678405521350371","0.8940960504241247","0.9957314903975055","22831","22831","22831"
"3001","0.46030049942185425","0","0.6825955091570116","13083","13083","13083","0.46349146620695947","0.16626270514877528","0.670427160915207","23084","23084","23084","0.9685051893612766","0.8965322977878146","0.9957387535388463","23084","23084","23084"
"3251","0.39457306343125886","0","0.5899818112673533","13336","13336","13336","0.4582625011244582","0.12385761855815336","0.6820866562759554","23337","23337","23337","0.9672563279307648","0.8817378991471618","0.9958130746298979","23337","23337","23337"
