"stage2/step","Group: VaDE_Complicate_cauchy - stage2/mcc_pearson","Group: VaDE_Complicate_cauchy - stage2/mcc_pearson__MIN","Group: VaDE_Complicate_cauchy - stage2/mcc_pearson__MAX","Group: VaDE_Complicate_cauchy - _step","Group: VaDE_Complicate_cauchy - _step__MIN","Group: VaDE_Complicate_cauchy - _step__MAX","Group: Danru_Complicate_cauchy - stage2/mcc_pearson","Group: Danru_Complicate_cauchy - stage2/mcc_pearson__MIN","Group: Danru_Complicate_cauchy - stage2/mcc_pearson__MAX","Group: Danru_Complicate_cauchy - _step","Group: Danru_Complicate_cauchy - _step__MIN","Group: Danru_Complicate_cauchy - _step__MAX","Group: Ours_Complicate_cauchy - stage2/mcc_pearson","Group: Ours_Complicate_cauchy - stage2/mcc_pearson__MIN","Group: Ours_Complicate_cauchy - stage2/mcc_pearson__MAX","Group: Ours_Complicate_cauchy - _step","Group: Ours_Complicate_cauchy - _step__MIN","Group: Ours_Complicate_cauchy - _step__MAX"
"2501","0.11520881300675283","0","0.36193351778200034","12577","12577","12577","0.21200410323618937","0.12525745956963616","0.3235181762381399","22577.2","22576","22578","0.4738608945525281","0.25638842951489726","0.6105858230406903","22577.2","22576","22578"
"2751","0.0700700529242341","0","0.3297322358529796","12830","12830","12830","0.22110559240917552","0.11129024048301153","0.3286366606077158","22830.2","22829","22831","0.49750259076267833","0.2861383900235951","0.6518444582759215","22830.2","22829","22831"
"3001","0.0678598678239144","0","0.2423008356765745","13083","13083","13083","0.19833537727395312","0.13732051374234447","0.27885251028167257","23083.2","23082","23084","0.44543911798752334","0.12434339958524157","0.6647412304159641","23083.2","23082","23084"
"3251","0.07099216539048685","0","0.3385018297762743","13336","13336","13336","0.23036392647606424","0.08878005380566821","0.37610292643777143","23336.2","23335","23337","0.4923601762784391","0.32254826044099827","0.6684009030654628","23336.2","23335","23337"
"3501","0.054273205173553475","0","0.20657283338377672","13589","13589","13589","0.1907802745718899","0.1174144796636241","0.2916206025242013","23589.2","23588","23590","0.4956646662244818","0.10545583583072224","0.7044776419292123","23589.2","23588","23590"
"3751","0.06025867896363716","0","0.2751682487849561","13842","13842","13842","0.21683200695220245","0.12836323442006894","0.3936025220786118","23842.2","23841","23843","0.5376102875908841","0.3527272098942351","0.6846732734727501","23842.2","23841","23843"
"4001","0.07988359134015868","0","0.348116686453694","14095","14095","14095","0.25032998468343687","0.16605613603348363","0.33503793769878853","24095.2","24094","24096","0.4678565482412436","0.20330541885613035","0.6809009449860365","24095.2","24094","24096"
"4251","0.0850495469354132","0","0.41521705551406124","14348","14348","14348","0.2528407555134611","0.14248419958005273","0.3570734982916946","24348.2","24347","24349","0.47695733228246767","0.25977237909582596","0.6058786208601546","24348.2","24347","24349"
"4501","0.07679953974795675","0","0.32791634429037647","14601","14601","14601","0.19581554718089483","0.10605369738646493","0.3618943960681629","24601.2","24600","24602","0.4494681553135426","0.26906790411040205","0.5566384175082342","24601.2","24600","24602"
"4751","0.0742605161560737","0","0.30812329265081057","14854","14854","14854","0.2451965573314628","0.1546233359080074","0.33729833294735895","24854.2","24853","24855","0.5387843378466683","0.23374624305745817","0.6577811307048378","24854.2","24853","24855"
"5001","0.05104796843073769","0","0.20867888401496923","15107","15107","15107","0.22225335445282898","0.1560546111793847","0.3116695684280313","25107.2","25106","25108","0.45637564628780397","0.17777805500333985","0.6860152519435019","25107.2","25106","25108"
"5251","0.10238712077407627","0","0.35699005873666145","15360","15360","15360","0.19748340441813492","0.08734728426978768","0.3401203839952249","25360.2","25359","25361","0.5339009160756447","0.416025005809286","0.6932105809637543","25360.2","25359","25361"
"5501","0.09072984708436342","0","0.34670894286851456","15613","15613","15613","0.1969053361713592","0.134897581040903","0.27431250579494365","25613.2","25612","25614","0.5482770155926759","0.3337298669698641","0.6269392486774045","25613.2","25612","25614"
"5751","0.08303665186661191","0","0.372213635687938","15866","15866","15866","0.20380696445697133","0.1447467644622643","0.3010756989404558","25866.2","25865","25867","0.5078916616946095","0.3101262632514977","0.7361359370781145","25866.2","25865","25867"
"6001","0.07091140714806633","0","0.25859758359665264","16119","16119","16119","0.24067464128785648","0.1457180177254766","0.4005584418349641","26119.2","26118","26120","0.5448141534842292","0.4106281739566951","0.6851485045653798","26119.2","26118","26120"
"6251","0.056774760908688694","0","0.2566893176897545","16372","16372","16372","0.260545586418241","0.13576118762903916","0.38773054563096643","26372.2","26371","26373","0.5352712261691763","0.38223576308293705","0.6798829545451014","26372.2","26371","26373"
"6501","0.06297627370647184","0","0.29695748789775533","16625","16625","16625","0.2344964277988577","0.15255635509931345","0.4141702191811801","26625.2","26624","26626","0.5325293752364909","0.3334097060236247","0.750190426543014","26625.2","26624","26626"
"6751","0.038119833644265924","0","0.13395017210421983","16878","16878","16878","0.2305535716552193","0.14782073545407898","0.30397051900434774","26878.2","26877","26879","0.5381252450799837","0.3880164819590082","0.6536836240633287","26878.2","26877","26879"
"7001","0.06357818323869258","0","0.22750231566114118","17131","17131","17131","0.26500295934690304","0.12089015965536846","0.36492741393270134","27131.2","27130","27132","0.49804839636949483","0.15105176157517422","0.6633955099839777","27131.2","27130","27132"
"7251","0.05289953723198064","0","0.2599048513155789","17384","17384","17384","0.22879794448486473","0.134909080809446","0.3964584882270709","27384.2","27383","27385","0.5423185070372929","0.3499742764571014","0.660343235437173","27384.2","27383","27385"
"7501","0.0727913919253164","0","0.270681083376259","17637","17637","17637","0.24405686102609514","0.13227261820093783","0.42461248664700857","27637.2","27636","27638","0.5143037444092435","0.2870826633931913","0.6518123831110603","27637.2","27636","27638"
"7751","0.0672593974346332","0","0.2830762525843465","17890","17890","17890","0.25663854709009787","0.18954047560495743","0.3577166332642914","27890.2","27889","27891","0.5512813326302949","0.34345226481481833","0.6438902347484088","27890.2","27889","27891"
"8001","0.07957366792066223","0","0.314929442650225","18143","18143","18143","0.2428285667359634","0.12949234300852897","0.4021267816454398","28143.2","28142","28144","0.5462858800607171","0.3793274512589845","0.6151308384649428","28143.2","28142","28144"
"8251","0.0775408664838091","0","0.2989181352077198","18396","18396","18396","0.20350159021447328","0.13351178158494584","0.26984586682615036","28396.2","28395","28397","0.5663672922816155","0.31588185888616727","0.7982336383788478","28396.2","28395","28397"
"8501","0.07480576794628506","0","0.3632197329322321","18649","18649","18649","0.27533780865810853","0.14207006904435313","0.41191154840938865","28649.2","28648","28650","0.48979578070872104","0.2883569619624756","0.649451368616177","28649.2","28648","28650"
"8751","0.07346539164382906","0","0.3295407756395202","18902","18902","18902","0.24076396156858298","0.14584214075081128","0.4422836620679854","28902.2","28901","28903","0.48830250524112745","0.2925220976930777","0.7151330007340351","28902.2","28901","28903"
"9001","0.06614499475964127","0","0.2573512512789554","19155","19155","19155","0.24140667903871638","0.10837555456003159","0.37888589009002777","29155.2","29154","29156","0.5092456518798387","0.18000196205572705","0.6276902298159213","29155.2","29154","29156"
"9251","0.08526089429756847","0","0.3286375505665121","19408","19408","19408","0.23294741451777062","0.10785602378096477","0.37416370401588017","29408.2","29407","29409","0.5573496768231434","0.48524492866659746","0.6808325629321498","29408.2","29407","29409"
"9501","0.07141476241746024","0","0.32516106411182044","19661","19661","19661","0.22789506208468135","0.1422126384370531","0.3312014799283874","29661.2","29660","29662","0.5385545931623501","0.23540455657055182","0.6863403996096605","29661.2","29660","29662"
"9751","0.10826220045348874","0","0.4454875164996121","19914","19914","19914","0.22693314271592083","0.14344313429203684","0.31804240171167875","29914.2","29913","29915","0.5071820922652456","0.3282481688297074","0.6369291414953588","29914.2","29913","29915"
"10001","0.05357890875324567","0","0.21655766696400663","20167","20167","20167","0.22106889161732995","0.10089986415153648","0.3160955477654269","30167.2","30166","30168","0.5346006449145909","0.31027907533312366","0.6835897311472984","30167.2","30166","30168"
"10251","0.04873170228733735","0","0.2024352073803458","20420","20420","20420","0.2282383930309296","0.1395766098183929","0.3752796096535131","30420.2","30419","30421","0.5236798728633323","0.40309320716992464","0.6180925288722647","30420.2","30419","30421"
"10501","0.08325797814932452","0","0.33965205896314665","20673","20673","20673","0.2367982628030955","0.10033796779006729","0.385504367543574","30673.2","30672","30674","0.5565116381225104","0.4410592107568435","0.6440400347580297","30673.2","30672","30674"
"10751","0.062108602420303194","0","0.26912738243649714","20926","20926","20926","0.23105640634859115","0.14873686334740535","0.3204084322191477","30926.2","30925","30927","0.5178795775482373","0.36695859968188616","0.662129330533678","30926.2","30925","30927"
"11001","0.08215276560851156","0","0.33858798877604457","21179","21179","21179","0.2383859503567491","0.1844934411858817","0.33359673947108937","31179.2","31178","31180","0.5195554514858414","0.38014992314366447","0.6349403164125098","31179.2","31178","31180"
