"stage1/step","Group: VaDE_Complicate_gumbel - stage1/mcc_pearson","Group: VaDE_Complicate_gumbel - stage1/mcc_pearson__MIN","Group: VaDE_Complicate_gumbel - stage1/mcc_pearson__MAX","Group: VaDE_Complicate_gumbel - _step","Group: VaDE_Complicate_gumbel - _step__MIN","Group: VaDE_Complicate_gumbel - _step__MAX","Group: Danru_Complicate_gumbel - stage1/mcc_pearson","Group: Danru_Complicate_gumbel - stage1/mcc_pearson__MIN","Group: Danru_Complicate_gumbel - stage1/mcc_pearson__MAX","Group: Danru_Complicate_gumbel - _step","Group: Danru_Complicate_gumbel - _step__MIN","Group: Danru_Complicate_gumbel - _step__MAX","Group: Ours_Complicate_gumbel - stage1/mcc_pearson","Group: Ours_Complicate_gumbel - stage1/mcc_pearson__MIN","Group: Ours_Complicate_gumbel - stage1/mcc_pearson__MAX","Group: Ours_Complicate_gumbel - _step","Group: Ours_Complicate_gumbel - _step__MIN","Group: Ours_Complicate_gumbel - _step__MAX"
"1","0.37944973240134405","0.3178570158620825","0.4467606610665612","2","2","2","0.4407100677156991","0.3923117439471687","0.49234542811741455","4","4","4","0.4226035042040692","0.3757906954156957","0.5025846771490727","4","4","4"
"251","0.35397880722016756","0.3132897863239039","0.5312617117840523","253","253","253","0.5688972721011023","0.5021986475709684","0.6787755756182532","505","505","505","0.5263392352439955","0.48947187477591514","0.5735098138924113","505","505","505"
"501","0.4746943013980099","0.3979303201379069","0.5463109336818632","504","504","504","0.569022348269564","0.49348576033089175","0.6833599798169951","1006","1006","1006","0.5363440712077554","0.5123763821872804","0.5817159764571931","1006","1006","1006"
"751","0.5080706933240375","0.4329788446015444","0.5817470059576373","755","755","755","0.5708277730644377","0.4911362930154861","0.6855946218897427","1507","1507","1507","0.5400148106933347","0.5089490852444334","0.5906197971653826","1507","1507","1507"
"1001","0.5285386048808625","0.4483149792240383","0.5866231095947","1006","1006","1006","0.5677823334112699","0.48571712559710817","0.6748394477265471","2008","2008","2008","0.541711934423641","0.5185264659905913","0.5887425938287443","2008","2008","2008"
"1251","0.5392369654482434","0.4753246017858855","0.6032715396426911","1257","1257","1257","0.5679692754450691","0.49009942158982006","0.673206896340129","2509","2509","2509","0.5437879381388256","0.5252966299018144","0.590465592226402","2509","2509","2509"
"1501","0.5473124948079506","0.4766860890537058","0.6025587336820996","1508","1508","1508","0.5663021168993032","0.49113805229180096","0.6678108462183735","3010","3010","3010","0.5465571880281186","0.5259759515034143","0.5935008045922938","3010","3010","3010"
"1751","0.5496637305079322","0.4881911367886455","0.6047728512602013","1759","1759","1759","0.5668210120207806","0.49598417816221907","0.6730994613450236","3511","3511","3511","0.545230323193225","0.5247194093566613","0.5926924789762741","3511","3511","3511"
"2001","0.5563941979284055","0.49038727378403557","0.6119917183210524","2010","2010","2010","0.5643602353676453","0.4938282807698028","0.6703639063516622","4012","4012","4012","0.5492088612251178","0.5305675830226254","0.5943527322191906","4012","4012","4012"
"2251","0.5589849774995861","0.49096380154361496","0.6199497305625276","2261","2261","2261","0.5648634297163907","0.4906657462383852","0.6648268034613843","4513","4513","4513","0.5503549981046051","0.5313142091294816","0.601789462818084","4513","4513","4513"
