"stage1/step","Group: Ours_MSE_Simple_cauchy - stage1/mcc_spearman","Group: Ours_MSE_Simple_cauchy - stage1/mcc_spearman__MIN","Group: Ours_MSE_Simple_cauchy - stage1/mcc_spearman__MAX","Group: Ours_MSE_Simple_cauchy - _step","Group: Ours_MSE_Simple_cauchy - _step__MIN","Group: Ours_MSE_Simple_cauchy - _step__MAX","Group: Ours_MSE_Complicate_cauchy - stage1/mcc_spearman","Group: Ours_MSE_Complicate_cauchy - stage1/mcc_spearman__MIN","Group: Ours_MSE_Complicate_cauchy - stage1/mcc_spearman__MAX","Group: Ours_MSE_Complicate_cauchy - _step","Group: Ours_MSE_Complicate_cauchy - _step__MIN","Group: Ours_MSE_Complicate_cauchy - _step__MAX","Group: Ours_Simple_cauchy - stage1/mcc_spearman","Group: Ours_Simple_cauchy - stage1/mcc_spearman__MIN","Group: Ours_Simple_cauchy - stage1/mcc_spearman__MAX","Group: Ours_Simple_cauchy - _step","Group: Ours_Simple_cauchy - _step__MIN","Group: Ours_Simple_cauchy - _step__MAX","Group: Ours_Complicate_cauchy - stage1/mcc_spearman","Group: Ours_Complicate_cauchy - stage1/mcc_spearman__MIN","Group: Ours_Complicate_cauchy - stage1/mcc_spearman__MAX","Group: Ours_Complicate_cauchy - _step","Group: Ours_Complicate_cauchy - _step__MIN","Group: Ours_Complicate_cauchy - _step__MAX"
"1","0.40780765147063835","0.2850231107216574","0.5477290230673049","4","4","4","0.23664776384646102","0.2137469755306086","0.29159911408157857","4","4","4","0.40994336468032433","0.28762471206096235","0.5653642016948908","4","4","4","0.2612470838473958","0.2315957276028003","0.28373172818125947","4","4","4"
"251","0.5501000778300413","0.44086890686846153","0.6435019093591893","505","505","505","0.27933496644756206","0.22225107425568927","0.3439145471011781","505","505","505","0.5923119947387336","0.5530668166422559","0.6240486712806438","505","505","505","0.34331552174393276","0.3080558442218072","0.3690633973454657","505","505","505"
"501","0.5718940843647835","0.5010027674758452","0.6106206056471941","1006","1006","1006","0.27239463431844224","0.19329667973309142","0.3365496519640962","1006","1006","1006","0.6090554205177495","0.5337989638312282","0.668675850158464","1006","1006","1006","0.3550021334062587","0.32917523678941446","0.3741816414728025","1006","1006","1006"
"751","0.5681016370323554","0.47858577018005555","0.6358060491399345","1507","1507","1507","0.27607612950917126","0.22646742114372528","0.3431537781957511","1507","1507","1507","0.6157361286103772","0.5498072200027169","0.6767758724013735","1507","1507","1507","0.3645862000721548","0.3460787976514789","0.38094286847461656","1507","1507","1507"
"1001","0.5672066262910451","0.48084550895472383","0.6446273006559088","2008","2008","2008","0.2746266035219237","0.20093552776278706","0.3491837874513384","2008","2008","2008","0.6239731454598632","0.5687224251549226","0.6735930284656919","2008","2008","2008","0.36851936152267784","0.3490272480763733","0.384357546861912","2008","2008","2008"
"1251","0.5703665484709182","0.48164788919322515","0.6365852851415047","2509","2509","2509","0.2754960985259011","0.23723633438552655","0.34751367983601744","2509","2509","2509","0.6284509311416138","0.583843565915382","0.6724865986245652","2509","2509","2509","0.371955614752452","0.3484223308006678","0.39353736662389577","2509","2509","2509"
"1501","0.5751697436791673","0.4755362635665504","0.644270964530049","3010","3010","3010","0.2659980257469613","0.22961084871441656","0.3568265819996722","3010","3010","3010","0.6322462699310167","0.5803151275468061","0.6866580999947768","3010","3010","3010","0.3729957357965975","0.35391501353447075","0.39683285314968764","3010","3010","3010"
"1751","0.5734189548885416","0.4662006738556115","0.6494568142214221","3511","3511","3511","0.263156314607844","0.18511319939450116","0.3130322632877961","3511","3511","3511","0.6335898098631298","0.5800530259447015","0.6853012927208838","3511","3511","3511","0.37491879583401","0.3578211778316295","0.3978032947617406","3511","3511","3511"
"2001","0.5720892114847191","0.4762518228318083","0.6557268513648836","4012","4012","4012","0.27740091029604513","0.2197447590071357","0.33337970718459786","4012","4012","4012","0.6376617078173243","0.5808651591096977","0.687161096568508","4012","4012","4012","0.3761297890543333","0.35713049986426615","0.39574757670646177","4012","4012","4012"
"2251","0.5736136602745007","0.485170094752672","0.6422298353295881","4513","4513","4513","0.2524727923647604","0.2216025878810846","0.293606502370577","4513","4513","4513","0.6370563254650368","0.5809599813972035","0.6874855688520123","4513","4513","4513","0.37729204275749845","0.36146040349181263","0.4003277042401622","4513","4513","4513"
"2501","0.5585077116785875","0.32486394201224145","0.6404018527693961","5014","5014","5014","0.2588126697776105","0.2309596734762717","0.2992578477968145","5014","5014","5014","0.6371167434473974","0.58107196430345","0.6867699899280199","5014","5014","5014","0.3789555844085232","0.364721486140169","0.39899374563584233","5014","5014","5014"
