"Step","Group: Ours_MSE_Simple_cauchy - stage1/eval_r2_standard","Group: Ours_MSE_Simple_cauchy - stage1/eval_r2_standard__MIN","Group: Ours_MSE_Simple_cauchy - stage1/eval_r2_standard__MAX","Group: Ours_MSE_Complicate_cauchy - stage1/eval_r2_standard","Group: Ours_MSE_Complicate_cauchy - stage1/eval_r2_standard__MIN","Group: Ours_MSE_Complicate_cauchy - stage1/eval_r2_standard__MAX","Group: Ours_Simple_cauchy - stage1/eval_r2_standard","Group: Ours_Simple_cauchy - stage1/eval_r2_standard__MIN","Group: Ours_Simple_cauchy - stage1/eval_r2_standard__MAX","Group: Ours_Complicate_cauchy - stage1/eval_r2_standard","Group: Ours_Complicate_cauchy - stage1/eval_r2_standard__MIN","Group: Ours_Complicate_cauchy - stage1/eval_r2_standard__MAX"
"20042","","","","-1.4896475713915869","-5.289353637778431","0.46074421834366863","","","","-0.28209926300073157","-1.0807341037748297","0.3596417597664554"
"20044","0.10121758885979237","-0.9287005893521618","0.7147601611049654","-1.3894543708042975","-4.410815808946714","-0.04126576241691449","0.029757933615033892","-0.8187656685069914","0.6527125295693533","-0.7454226094668531","-1.7439182688860382","-0.14561375690287898"
