"stage2/step","Group: VaDE_Simple_gumbel - stage2/mcc_spearman","Group: VaDE_Simple_gumbel - stage2/mcc_spearman__MIN","Group: VaDE_Simple_gumbel - stage2/mcc_spearman__MAX","Group: VaDE_Simple_gumbel - _step","Group: VaDE_Simple_gumbel - _step__MIN","Group: VaDE_Simple_gumbel - _step__MAX","Group: Danru_Simple_gumbel - stage2/mcc_spearman","Group: Danru_Simple_gumbel - stage2/mcc_spearman__MIN","Group: Danru_Simple_gumbel - stage2/mcc_spearman__MAX","Group: Danru_Simple_gumbel - _step","Group: Danru_Simple_gumbel - _step__MIN","Group: Danru_Simple_gumbel - _step__MAX","Group: Ours_Simple_gumbel - stage2/mcc_spearman","Group: Ours_Simple_gumbel - stage2/mcc_spearman__MIN","Group: Ours_Simple_gumbel - stage2/mcc_spearman__MAX","Group: Ours_Simple_gumbel - _step","Group: Ours_Simple_gumbel - _step__MIN","Group: Ours_Simple_gumbel - _step__MAX"
"2751","0.5078220384925219","0.46647955910883826","0.5842301017476393","12830","12830","12830","0.47756476162923783","0.10843056044665604","0.6435313239349297","22831","22831","22831","0.7615528653991048","0.6374077493461265","0.8119120678802229","22831","22831","22831"
"3001","0.5069216456214861","0.3645964970000657","0.6426222299209169","13083","13083","13083","0.4758750955405434","0.11569964733038113","0.6412158891516925","23084","23084","23084","0.7643272782440861","0.6391635270302248","0.8148630479774314","23084","23084","23084"
"3251","0.5551539436387424","0.48421227652426246","0.644773119962642","13336","13336","13336","0.4787842924917746","0.1042987655949592","0.6475458303826453","23337","23337","23337","0.768727311372311","0.6444650519850238","0.8130801300900318","23337","23337","23337"
"3501","0.5221197543136695","0.3458819483520512","0.618183685419715","13589","13589","13589","0.4781044848915273","0.10694081359465964","0.6499332381637007","23590","23590","23590","0.771238014048754","0.6507174399107778","0.812088951006773","23590","23590","23590"
"3751","0.5524594670067307","0.48899311951789964","0.6352769169143218","13842","13842","13842","0.4791365520481964","0.10851223946461315","0.655786734561151","23843","23843","23843","0.7728244579404758","0.6492932380317961","0.8119207780970203","23843","23843","23843"
"4001","0.5100147998315269","0.355294827589153","0.60319652484795","14095","14095","14095","0.47819555276026254","0.11149572318734291","0.6677789493294733","24096","24096","24096","0.7757826075185565","0.6530173124937972","0.8124559278658232","24096","24096","24096"
"4251","0.5114083645197586","0.28782278204138184","0.6113932675707523","14348","14348","14348","0.4808040273673715","0.11287641625749484","0.67976059630016","24349","24349","24349","0.7779393132088237","0.6603448688782263","0.8132176937347767","24349","24349","24349"
"4501","0.5533757594270164","0.44931376213706514","0.6307417949246764","14601","14601","14601","0.47889301379945515","0.10189952854718431","0.6858228324716241","24602","24602","24602","0.7776134430665399","0.6633517436710118","0.8132297814682782","24602","24602","24602"
"4751","0.5130242174633337","0.4222499948937885","0.660534251242788","14854","14854","14854","0.4781708891412725","0.10285385448507674","0.6790491339007906","24855","24855","24855","0.779441573962275","0.6650495900529415","0.8148045211908586","24855","24855","24855"
"5001","0.5410286271977351","0.38153509014974313","0.6654494220195667","15107","15107","15107","0.48112783070776366","0.0999308350481039","0.6967178612258677","25108","25108","25108","0.7801048268763846","0.6709372577361412","0.8140535799650425","25108","25108","25108"
"5251","0.527621816949092","0.45379412902574434","0.6054711275460049","15360","15360","15360","0.48045974777075096","0.10983553674306745","0.683633496803507","25361","25361","25361","0.7820104858887","0.6758335889258874","0.8128630665160221","25361","25361","25361"
"5501","0.570127783995687","0.48657812045163484","0.6354014924075012","15613","15613","15613","0.48413523427605504","0.096185730761706","0.6868208346412162","25614","25614","25614","0.7824819701130892","0.6785071111904957","0.811473788451409","25614","25614","25614"
"5751","0.5251144542864655","0.3954702804502705","0.6450538004483369","15866","15866","15866","0.48715401893041876","0.11750460927613353","0.7019670933048182","25867","25867","25867","0.7836806948343829","0.6833855606208026","0.8136119643907018","25867","25867","25867"
