"stage1/step","Group: VaDE_Simple_gumbel - stage1/mcc_pearson","Group: VaDE_Simple_gumbel - stage1/mcc_pearson__MIN","Group: VaDE_Simple_gumbel - stage1/mcc_pearson__MAX","Group: VaDE_Simple_gumbel - _step","Group: VaDE_Simple_gumbel - _step__MIN","Group: VaDE_Simple_gumbel - _step__MAX","Group: Danru_Simple_gumbel - stage1/mcc_pearson","Group: Danru_Simple_gumbel - stage1/mcc_pearson__MIN","Group: Danru_Simple_gumbel - stage1/mcc_pearson__MAX","Group: Danru_Simple_gumbel - _step","Group: Danru_Simple_gumbel - _step__MIN","Group: Danru_Simple_gumbel - _step__MAX","Group: Ours_Simple_gumbel - stage1/mcc_pearson","Group: Ours_Simple_gumbel - stage1/mcc_pearson__MIN","Group: Ours_Simple_gumbel - stage1/mcc_pearson__MAX","Group: Ours_Simple_gumbel - _step","Group: Ours_Simple_gumbel - _step__MIN","Group: Ours_Simple_gumbel - _step__MAX"
"6751","0.7632644811527168","0.5697953514847868","0.9178296378618495","6779","6779","6779","0.7043566805335651","0.5266243311018317","0.7806283261894933","13531","13531","13531","0.779283455217944","0.6301937952280523","0.9076113469233064","13531","13531","13531"
"7001","0.7483801759663188","0.598181739088682","0.9051410446491785","7030","7030","7030","0.7038624567744108","0.5337138468384844","0.7838547655120118","14032","14032","14032","0.7790661481801766","0.6308325499123022","0.9089250113595327","14032","14032","14032"
"7251","0.7610481149538519","0.6144736611223515","0.9091605987797887","7281","7281","7281","0.7040234503394509","0.521898559120301","0.7761324244112767","14533","14533","14533","0.7812231803323483","0.6323002891420519","0.9121810373092277","14533","14533","14533"
"7501","0.7639353733727019","0.6310395819489379","0.8840561994837371","7532","7532","7532","0.7056529566774106","0.5407700094450782","0.7772937204676115","15034","15034","15034","0.7803769584439367","0.6310831719190494","0.9104603594766022","15034","15034","15034"
"7751","0.7598391899708634","0.6076246749331953","0.9151113359952828","7783","7783","7783","0.7002741609966456","0.5273061300477222","0.7716159339178668","15535","15535","15535","0.7808345711812642","0.6370792105890545","0.907607420279287","15535","15535","15535"
"8001","0.7429062551531505","0.5855508772613824","0.8552509407811603","8034","8034","8034","0.7009753873537096","0.5241634363490401","0.7692345389055856","16036","16036","16036","0.781266501726709","0.6407447665750722","0.908011977291495","16036","16036","16036"
"8251","0.7681641686234235","0.6287014087848336","0.9200517660261579","8285","8285","8285","0.6987743641772672","0.5194476182766398","0.770893793283585","16537","16537","16537","0.7818262939802179","0.630164101324367","0.9080597369813274","16537","16537","16537"
"8501","0.7571265478413283","0.641839519782699","0.8372334567007419","8536","8536","8536","0.6993434623830856","0.5261493784222461","0.7700736385817804","17038","17038","17038","0.7833350539808639","0.6397214465373255","0.9089050710739182","17038","17038","17038"
"8751","0.7641768448533475","0.6235555826578186","0.9076719491106905","8787","8787","8787","0.6998888339768788","0.5346244144480298","0.7654714525447277","17539","17539","17539","0.7824618644860655","0.6384885663917769","0.9088730281346148","17539","17539","17539"
"9001","0.7611989781434196","0.6510985427237838","0.8999909498961357","9038","9038","9038","0.6993023456142516","0.5298001366629682","0.7669522252994209","18040","18040","18040","0.7833423968555044","0.6444128882814273","0.9084744522646845","18040","18040","18040"
"9251","0.7379565943229676","0.6221284214963556","0.9063240526591612","9289","9289","9289","0.6957977980855106","0.5189045107566447","0.7605406712120241","18541","18541","18541","0.7821689599378805","0.6419480606781682","0.908538790644446","18541","18541","18541"
"9501","0.7454843331815525","0.6319464374493651","0.9020085551985383","9540","9540","9540","0.6977280278803304","0.5250376310413762","0.7583718019809723","19042","19042","19042","0.7819127724979269","0.6417620751378453","0.9063852211968011","19042","19042","19042"
"9751","0.7748217987267217","0.6337253350305035","0.8979299422134739","9791","9791","9791","0.6978988175784646","0.5380729669491378","0.7572274566486056","19543","19543","19543","0.7828667973985325","0.6489331729676135","0.9044579935276719","19543","19543","19543"
