"stage2/step","Group: VaDE_Complicate_gauss - stage2/mcc_spearman","Group: VaDE_Complicate_gauss - stage2/mcc_spearman__MIN","Group: VaDE_Complicate_gauss - stage2/mcc_spearman__MAX","Group: VaDE_Complicate_gauss - _step","Group: VaDE_Complicate_gauss - _step__MIN","Group: VaDE_Complicate_gauss - _step__MAX","Group: VaDE_Complicate_gumbel - stage2/mcc_spearman","Group: VaDE_Complicate_gumbel - stage2/mcc_spearman__MIN","Group: VaDE_Complicate_gumbel - stage2/mcc_spearman__MAX","Group: VaDE_Complicate_gumbel - _step","Group: VaDE_Complicate_gumbel - _step__MIN","Group: VaDE_Complicate_gumbel - _step__MAX","Group: VaDE_Complicate_cauchy - stage2/mcc_spearman","Group: VaDE_Complicate_cauchy - stage2/mcc_spearman__MIN","Group: VaDE_Complicate_cauchy - stage2/mcc_spearman__MAX","Group: VaDE_Complicate_cauchy - _step","Group: VaDE_Complicate_cauchy - _step__MIN","Group: VaDE_Complicate_cauchy - _step__MAX","Group: VaDE_Simple_gauss - stage2/mcc_spearman","Group: VaDE_Simple_gauss - stage2/mcc_spearman__MIN","Group: VaDE_Simple_gauss - stage2/mcc_spearman__MAX","Group: VaDE_Simple_gauss - _step","Group: VaDE_Simple_gauss - _step__MIN","Group: VaDE_Simple_gauss - _step__MAX","Group: VaDE_Simple_gumbel - stage2/mcc_spearman","Group: VaDE_Simple_gumbel - stage2/mcc_spearman__MIN","Group: VaDE_Simple_gumbel - stage2/mcc_spearman__MAX","Group: VaDE_Simple_gumbel - _step","Group: VaDE_Simple_gumbel - _step__MIN","Group: VaDE_Simple_gumbel - _step__MAX","Group: VaDE_Simple_cauchy - stage2/mcc_spearman","Group: VaDE_Simple_cauchy - stage2/mcc_spearman__MIN","Group: VaDE_Simple_cauchy - stage2/mcc_spearman__MAX","Group: VaDE_Simple_cauchy - _step","Group: VaDE_Simple_cauchy - _step__MIN","Group: VaDE_Simple_cauchy - _step__MAX"
"1","0.471303561684994","0.4353172057259189","0.5024176987511969","10047","10047","10047","0.4569488424844095","0.41966961009009224","0.4882239793335095","10047","10047","10047","0.22385529715193067","0.13353394643718336","0.26191856475194497","10047","10047","10047","0.6165302432463327","0.5209519483574","0.7150720012807598","10047","10047","10047","0.5607004370044408","0.39021207546107534","0.7170718643270448","10047","10047","10047","0.4984304797458032","0.4390199754622322","0.5737235914459624","10047","10047","10047"
"251","0.4591767873535083","0.43720681893652547","0.4761485115079342","10300","10300","10300","0.3989621776316893","0.0996900596460187","0.49638416792585066","10300","10300","10300","0.20706681370025964","0","0.28309650768534844","10300","10300","10300","0.5452432240487121","0.45487083693705754","0.6601750517000465","10300","10300","10300","0.5456430863736351","0.37583596085890375","0.6804862127572271","10300","10300","10300","0.44572022355576807","0.19987285551552267","0.548634425888903","10300","10300","10300"
"501","0.45999594555629236","0.4404731953794946","0.48253321576325786","10553","10553","10553","0.37392791338132225","0.10432855501159122","0.4693101214625375","10553","10553","10553","0.2036595405551073","0","0.2623530540551433","10553","10553","10553","0.49696285689699016","0","0.6114818674070336","10553","10553","10553","0.49237856127841184","0.396804607471434","0.5982255566605037","10553","10553","10553","0.46377172843727016","0","0.594566636467281","10553","10553","10553"
"751","0.4562973807466621","0.4196002373091813","0.48335589874153967","10806","10806","10806","0.36634576774334326","0.1315244066785235","0.46147992895527346","10806","10806","10806","0.20527291751280283","0","0.268727217673023","10806","10806","10806","0.4098264301789243","0","0.580718333176656","10806","10806","10806","0.4844880337528649","0.33627492184055924","0.6637501376598205","10806","10806","10806","0.32642832543676537","0","0.5292120507629184","10806","10806","10806"
"1001","0.4509722510646392","0.4207655026494401","0.475934640014937","11059","11059","11059","0.35386626049042863","0.16613256266773851","0.45688432836310133","11059","11059","11059","0.1846907344796752","0","0.2758078355430506","11059","11059","11059","0.43020885752315696","0","0.6763525256701376","11059","11059","11059","0.4865361368932951","0.2856833663511591","0.6236837266540445","11059","11059","11059","0.3487685415316276","0","0.620848299361557","11059","11059","11059"
"1251","0.4440564763315045","0.3949079333727262","0.4779290719897985","11312","11312","11312","0.3326364732721132","0.15929409001801265","0.41344393997347223","11312","11312","11312","0.13773204957186289","0","0.2591734265358355","11312","11312","11312","0.4476209435337945","0","0.6404194309464512","11312","11312","11312","0.4804044747604702","0.36056849827101384","0.604921343893964","11312","11312","11312","0.34075603558271295","0","0.6442004233923474","11312","11312","11312"
"1501","0.4360762574835443","0.361971764793807","0.48340057991697305","11565","11565","11565","0.32360692602334373","0.1925675150170157","0.4093936920166275","11565","11565","11565","0.12027859290395956","0","0.26374137652869706","11565","11565","11565","0.4322293836586152","0","0.6244839473920593","11565","11565","11565","0.4992505349350762","0.3395577959762792","0.5837905222468863","11565","11565","11565","0.36277201084698224","0","0.6087666891395894","11565","11565","11565"
"1751","0.4310471400615873","0.3276247406487743","0.47959580944677926","11818","11818","11818","0.3315761838919782","0.20781877269065524","0.4383066447100118","11818","11818","11818","0.09680464302241742","0","0.254202567481334","11818","11818","11818","0.45123964727994725","0","0.6928816902310784","11818","11818","11818","0.5640060636034956","0.44811835896853586","0.635328696361027","11818","11818","11818","0.34913133027613785","0","0.5987787551997896","11818","11818","11818"
"2001","0.422896276684196","0.31515650061480954","0.4729198499675184","12071","12071","12071","0.31918947346511534","0.1793421344047354","0.4093337813867791","12071","12071","12071","0.09566480156542173","0","0.2544155464434024","12071","12071","12071","0.4413676097751541","0","0.6456677135601626","12071","12071","12071","0.5273981626985746","0.4232340995337722","0.6530247096431274","12071","12071","12071","0.34636668770072926","0","0.587567175283511","12071","12071","12071"
"2251","0.4144820436393498","0.3033046073430195","0.48875823884468533","12324","12324","12324","0.3078769293228432","0.21030492577259707","0.4077686654229984","12324","12324","12324","0.0951797194286855","0","0.25663945231597235","12324","12324","12324","0.41243154837808704","0","0.5950214708782097","12324","12324","12324","0.4782373897310396","0.26489727365281296","0.6246658003885789","12324","12324","12324","0.2752886290689923","0","0.5156705833307318","12324","12324","12324"
"2501","0.40168997945912766","0.29543029061164383","0.4743436175940293","12577","12577","12577","0.3040198458564367","0.21092837416010424","0.38824369305337636","12577","12577","12577","0.09877144300143395","0","0.26711030141950814","12577","12577","12577","0.4525402501615843","0","0.6327602557030212","12577","12577","12577","0.5350468912216229","0.40518444223283795","0.636774104918593","12577","12577","12577","0.27613434869811593","0","0.5440497066602489","12577","12577","12577"
"2751","0.391745087774963","0.23304056533373396","0.45675506639829333","12830","12830","12830","0.3105866517996473","0.1902445743744616","0.3983885769506467","12830","12830","12830","0.07201759804243593","0","0.25726525585143906","12830","12830","12830","0.43688185547147385","0","0.6476682111598495","12830","12830","12830","0.5078220384925219","0.46647955910883826","0.5842301017476393","12830","12830","12830","0.21323028712131792","0","0.5791184345827975","12830","12830","12830"
"3001","0.3785783423147596","0.2716293694994044","0.45012421345264747","13083","13083","13083","0.3029966611909668","0.20145952285830218","0.38998541143372967","13083","13083","13083","0.07501229535726484","0","0.27030685176073027","13083","13083","13083","0.47249666913897836","0","0.7006845129945168","13083","13083","13083","0.5069216456214861","0.3645964970000657","0.6426222299209169","13083","13083","13083","0.2067276535527714","0","0.49797854874698483","13083","13083","13083"
"3251","0.37976756744600737","0.27547497798129317","0.4335305310766818","13336","13336","13336","0.3072829040480899","0.22674768889674185","0.4005486128622424","13336","13336","13336","0.07456210977326302","0","0.25840067663730504","13336","13336","13336","0.42420254367857224","0","0.6396693275299373","13336","13336","13336","0.5551539436387424","0.48421227652426246","0.644773119962642","13336","13336","13336","0.22106126469035997","0","0.5521182503136318","13336","13336","13336"
"3501","0.36102472886950754","0.23807047343600307","0.44063173505270925","13589","13589","13589","0.2921429710400973","0.19964188884517542","0.401738222685241","13589","13589","13589","0.07386106279950488","0","0.2579695625618261","13589","13589","13589","0.42514264553024567","0","0.6194470688124212","13589","13589","13589","0.5221197543136695","0.3458819483520512","0.618183685419715","13589","13589","13589","0.18255637415274878","0","0.48414015767084867","13589","13589","13589"
"3751","0.3558196213700765","0.28517070969298225","0.4258895326195473","13842","13842","13842","0.3021962995714509","0.1845613896602218","0.428870117596035","13842","13842","13842","0.07272822249333169","0","0.2638956441376135","13842","13842","13842","0.4165734233595426","0","0.6554950097625422","13842","13842","13842","0.5524594670067307","0.48899311951789964","0.6352769169143218","13842","13842","13842","0.12777384704513012","0","0.4388411388169797","13842","13842","13842"
"4001","0.35309705270682945","0.29611784585766604","0.431756685435428","14095","14095","14095","0.30825848890489754","0.21509192441437613","0.4236505131992949","14095","14095","14095","0.07377890009316983","0","0.25995570465881845","14095","14095","14095","0.42780365079700494","0","0.6152688482153369","14095","14095","14095","0.5100147998315269","0.355294827589153","0.60319652484795","14095","14095","14095","0.19530218106193659","0","0.5647907387570194","14095","14095","14095"
"4251","0.34828976458804345","0.2696421306787081","0.4260628293863132","14348","14348","14348","0.3031003835668864","0.21369263159545202","0.40033971506480326","14348","14348","14348","0.07326327143241709","0","0.2628659328008132","14348","14348","14348","0.4614848521471532","0","0.664407044928469","14348","14348","14348","0.5114083645197586","0.28782278204138184","0.6113932675707523","14348","14348","14348","0.13829372324304418","0","0.47942699278111944","14348","14348","14348"
"4501","0.342030029033104","0.2930659849049953","0.4282880528216314","14601","14601","14601","0.3011298532371872","0.23570684590856864","0.37412914854296975","14601","14601","14601","0.06998188184139151","0","0.2556474186299005","14601","14601","14601","0.43532092425899716","0","0.62382798194466","14601","14601","14601","0.5533757594270164","0.44931376213706514","0.6307417949246764","14601","14601","14601","0.10768529554993131","0","0.4469629118220912","14601","14601","14601"
"4751","0.33757368158154955","0.27257561946856745","0.4220096113150464","14854","14854","14854","0.3127824751963379","0.22032944572645338","0.3700445866355722","14854","14854","14854","0.07384167811924162","0","0.2701440782038727","14854","14854","14854","0.4155543523262006","0","0.614376469685132","14854","14854","14854","0.5130242174633337","0.4222499948937885","0.660534251242788","14854","14854","14854","0.13284205582637984","0","0.5011667594105798","14854","14854","14854"
"5001","0.34167710562986586","0.2731729270696206","0.4363399553810696","15107","15107","15107","0.3083477885425693","0.236688691232936","0.3602195337475809","15107","15107","15107","0.07127282152993816","0","0.258488894779742","15107","15107","15107","0.4457715228418458","0","0.5980014119722742","15107","15107","15107","0.5410286271977351","0.38153509014974313","0.6654494220195667","15107","15107","15107","0.12961761282123346","0","0.46719470244184175","15107","15107","15107"
"5251","0.3380656513524597","0.27594558796160795","0.43839699377173746","15360","15360","15360","0.30448456673573576","0.22612955525461936","0.42199494451758407","15360","15360","15360","0.06929242650173657","0","0.2348895113650573","15360","15360","15360","0.40634056288512055","0","0.6415927927092696","15360","15360","15360","0.527621816949092","0.45379412902574434","0.6054711275460049","15360","15360","15360","0.13851219861538974","0","0.5196859295213727","15360","15360","15360"
"5501","0.3295608127116015","0.26334153077642525","0.3817172741932339","15613","15613","15613","0.29712124256190126","0.22916429780130834","0.3875001532029928","15613","15613","15613","0.07131835507672982","0","0.26615582380896585","15613","15613","15613","0.4420125509587908","0","0.6345071285724644","15613","15613","15613","0.570127783995687","0.48657812045163484","0.6354014924075012","15613","15613","15613","0.07625080000608675","0","0.39235498098628696","15613","15613","15613"
