"stage1/step","Group: VaDE_Complicate_gauss - stage1/mcc_spearman","Group: VaDE_Complicate_gauss - stage1/mcc_spearman__MIN","Group: VaDE_Complicate_gauss - stage1/mcc_spearman__MAX","Group: VaDE_Complicate_gauss - _step","Group: VaDE_Complicate_gauss - _step__MIN","Group: VaDE_Complicate_gauss - _step__MAX","Group: Danru_Complicate_gauss - stage1/mcc_spearman","Group: Danru_Complicate_gauss - stage1/mcc_spearman__MIN","Group: Danru_Complicate_gauss - stage1/mcc_spearman__MAX","Group: Danru_Complicate_gauss - _step","Group: Danru_Complicate_gauss - _step__MIN","Group: Danru_Complicate_gauss - _step__MAX","Group: Ours_Complicate_gauss - stage1/mcc_spearman","Group: Ours_Complicate_gauss - stage1/mcc_spearman__MIN","Group: Ours_Complicate_gauss - stage1/mcc_spearman__MAX","Group: Ours_Complicate_gauss - _step","Group: Ours_Complicate_gauss - _step__MIN","Group: Ours_Complicate_gauss - _step__MAX"
"1","0.2938445838606607","0.23890243222990387","0.3353549186309689","2","2","2","0.39120338851122793","0.34972607350886004","0.42513330112250874","4","4","4","0.37214704641029017","0.3478661904798234","0.40137250215347564","4","4","4"
"251","0.3004835556560583","0.1912738740338124","0.3828478957022853","253","253","253","0.4843696418797797","0.45606678105052056","0.521246400675287","505","505","505","0.45928337289225063","0.404366658333454","0.49965033092697536","505","505","505"
"501","0.4204635338085249","0.324868599710224","0.49490235575063696","504","504","504","0.49293314641584757","0.459872909415434","0.5273214550250096","1006","1006","1006","0.46112922086728847","0.400117403475681","0.49929910811176137","1006","1006","1006"
"751","0.46128203027896175","0.3844367030346213","0.5381568684789342","755","755","755","0.49509748187624963","0.46228693121650083","0.5291592775568874","1507","1507","1507","0.46512249756659","0.4090656259427526","0.5049207335184679","1507","1507","1507"
"1001","0.48339233088175637","0.446288216681819","0.5553856835051715","1006","1006","1006","0.49850425862979186","0.46641195459310314","0.5292823837485936","2008","2008","2008","0.4675104749311112","0.41327865710908657","0.506634043061876","2008","2008","2008"
"1251","0.49237423680481707","0.463726574533434","0.5472195840564752","1257","1257","1257","0.498377183579395","0.46447895389574834","0.5271479840579149","2509","2509","2509","0.4676032145119927","0.414355759890356","0.5105130571307112","2509","2509","2509"
"1501","0.49588791518917813","0.45422763670067334","0.5666820548932155","1508","1508","1508","0.4971994019774451","0.4622806233811881","0.5288775796246058","3010","3010","3010","0.4698572985507662","0.42367977248417155","0.5105164857713371","3010","3010","3010"
"1751","0.4948702143687204","0.45092923906196003","0.5647044599822073","1759","1759","1759","0.4986167135575106","0.4669964827317766","0.5279965851845078","3511","3511","3511","0.4705212469983898","0.4236960013046125","0.512603966832738","3511","3511","3511"
"2001","0.5048521495257896","0.4565369421923716","0.556774136498528","2010","2010","2010","0.4996335609023544","0.4699594764822632","0.5256262211523127","4012","4012","4012","0.47367949083239286","0.4309592887944584","0.5110813636924305","4012","4012","4012"
"2251","0.4989134609500162","0.455703166555511","0.5599338064727821","2261","2261","2261","0.49913855696111115","0.46394284836397137","0.5261034573892914","4513","4513","4513","0.4748236084281022","0.43136013996614153","0.5170179534822643","4513","4513","4513"
"2501","0.49826069979931853","0.45307429347308564","0.5599871211855569","2512","2512","2512","0.5010037599405132","0.4695586177405485","0.5331976994776018","5014","5014","5014","0.4752554636043439","0.43397249159629475","0.5110037840291172","5014","5014","5014"
"2751","0.495232173606085","0.45238941361205337","0.5577060602398648","2763","2763","2763","0.5003194716332003","0.466866270569213","0.5312081023615509","5515","5515","5515","0.47655294570405654","0.4346710223504481","0.5110197037391273","5515","5515","5515"
"3001","0.501380531591092","0.45400733479393846","0.5610396399018329","3014","3014","3014","0.49851950616671203","0.4608186076085892","0.5226621465036029","6016","6016","6016","0.47400707013580545","0.43646345947378673","0.5075678318308249","6016","6016","6016"
"3251","0.4971922023113041","0.4454695792063271","0.5561122214043906","3265","3265","3265","0.49727569159623675","0.45927905761852095","0.5330983164979148","6517","6517","6517","0.4767199683586778","0.4408304879138112","0.5128889202225919","6517","6517","6517"
