"stage1/step","Group: VaDE_Simple_cauchy - stage1/mcc_pearson","Group: VaDE_Simple_cauchy - stage1/mcc_pearson__MIN","Group: VaDE_Simple_cauchy - stage1/mcc_pearson__MAX","Group: VaDE_Simple_cauchy - _step","Group: VaDE_Simple_cauchy - _step__MIN","Group: VaDE_Simple_cauchy - _step__MAX","Group: Danru_Simple_cauchy - stage1/mcc_pearson","Group: Danru_Simple_cauchy - stage1/mcc_pearson__MIN","Group: Danru_Simple_cauchy - stage1/mcc_pearson__MAX","Group: Danru_Simple_cauchy - _step","Group: Danru_Simple_cauchy - _step__MIN","Group: Danru_Simple_cauchy - _step__MAX","Group: Ours_Simple_cauchy - stage1/mcc_pearson","Group: Ours_Simple_cauchy - stage1/mcc_pearson__MIN","Group: Ours_Simple_cauchy - stage1/mcc_pearson__MAX","Group: Ours_Simple_cauchy - _step","Group: Ours_Simple_cauchy - _step__MIN","Group: Ours_Simple_cauchy - _step__MAX"
"2501","0.46565958975617167","0.34979372583613727","0.5603096103666745","2512","2512","2512","0.42779736954802505","0.3310844887560216","0.5364697888986873","5014","5014","5014","0.6479533161293984","0.39283200849509187","0.8676690279579748","5014","5014","5014"
"2751","0.47231993648748444","0.19512087273250758","0.5910053241445213","2763","2763","2763","0.4121875665715418","0.1162262647844034","0.5545008598974648","5515","5515","5515","0.6214980924390969","0.36173714525986256","0.8359912390439055","5515","5515","5515"
"3001","0.44070801093707973","0.29615236386003857","0.5800588666990508","3014","3014","3014","0.43069554354578055","0.21552058911141703","0.6622954622716185","6016","6016","6016","0.6459644410862377","0.3445105838930575","0.8645891379012195","6016","6016","6016"
"3251","0.4095069054475555","0.21653853908350928","0.6722589715697221","3265","3265","3265","0.41075885030005754","0.23989564360848184","0.6276073509874155","6517","6517","6517","0.5848335058076072","0.3612916940118944","0.78684097071369","6517","6517","6517"
"3501","0.457698564597025","0.37159574939410517","0.5618303105795072","3516","3516","3516","0.3740374622273285","0.3113280393564304","0.44520328712897816","7018","7018","7018","0.6332611696517821","0.42312072278888263","0.7609816693730447","7018","7018","7018"
"3751","0.4422570824213031","0.31687538719496305","0.6381262755905502","3767","3767","3767","0.44491968804974097","0.3566031649225197","0.5564683879486659","7519","7519","7519","0.6136553818587","0.43103138890501685","0.7382072415990546","7519","7519","7519"
"4001","0.48636531172371883","0.33722558240954137","0.6330055000053877","4018","4018","4018","0.4018920409110295","0.29755929351558547","0.5477432820053372","8020","8020","8020","0.6682806343809321","0.5118518763373364","0.8097507683281092","8020","8020","8020"
"4251","0.4421231844545491","0.2714522966954332","0.6606266363859845","4269","4269","4269","0.4133958598867669","0.2267396788199688","0.580726824106187","8521","8521","8521","0.6595466046525209","0.4261804755497269","0.8424472293836155","8521","8521","8521"
"4501","0.410606694716307","0.2793355033050585","0.572548101556087","4520","4520","4520","0.44112753176765834","0.24464989826002717","0.7936395593581747","9022","9022","9022","0.6262563186972703","0.43778748611445656","0.7426736317546009","9022","9022","9022"
"4751","0.43835601277025515","0.3188261763435058","0.5760142877322819","4771","4771","4771","0.39686986294957677","0.15941932157649613","0.6528429206122779","9523","9523","9523","0.6650195403183161","0.5302979486416808","0.8647720295331914","9523","9523","9523"
"5001","0.40726451577900685","0.24298811953334698","0.6343879522676198","5022","5022","5022","0.40893878093323427","0.3193913303285893","0.5347390099114088","10024","10024","10024","0.689472491895633","0.35057647115810536","0.8457118545875592","10024","10024","10024"
"5251","0.3716505798305576","0.2401694772816867","0.5372450647813382","5273","5273","5273","0.35250458111659944","0.15386200117565313","0.6270811594999578","10525","10525","10525","0.6356671899333214","0.42465443740509423","0.7857141117067302","10525","10525","10525"
"5501","0.40844301545090256","0.1462670869689963","0.6080656136286248","5524","5524","5524","0.4129394484412773","0.28076808570747874","0.5357801367962544","11026","11026","11026","0.5968673280406942","0.40940269190563766","0.8175729759301872","11026","11026","11026"
"5751","0.41976250616496147","0.21752599402116155","0.6903566187143025","5775","5775","5775","0.43059989616144173","0.2257485294994017","0.6009758821329833","11527","11527","11527","0.616213944770109","0.3666440773594873","0.8138105708135525","11527","11527","11527"
"6001","0.408270571646517","0.22115268997570184","0.5363253779091789","6026","6026","6026","0.40817644503673794","0.2168051382236248","0.659592901019798","12028","12028","12028","0.6386038883820913","0.34927422443004635","0.8071126851882623","12028","12028","12028"
"6251","0.35465231834991645","0.1773656025845111","0.6557730178858409","6277","6277","6277","0.3767549470475223","0.29568569611920054","0.5448763611095733","12529","12529","12529","0.6600299027148568","0.4861842029942503","0.8322509214986692","12529","12529","12529"
"6501","0.42056155042469945","0.25116096656554926","0.6670669501427048","6528","6528","6528","0.4349931481624155","0.255990812478812","0.6222619048566463","13030","13030","13030","0.6084491470753656","0.34341794507343565","0.9255475809006172","13030","13030","13030"
"6751","0.42924202242261017","0.19777447623084887","0.6663667825387842","6779","6779","6779","0.42025661669313036","0.24035451410613826","0.5999969135704877","13531","13531","13531","0.6569687246481744","0.4535767310733092","0.8085099987320522","13531","13531","13531"
