"stage1/step","Group: Ours_MSE_Simple_cauchy - stage1/mcc_pearson","Group: Ours_MSE_Simple_cauchy - stage1/mcc_pearson__MIN","Group: Ours_MSE_Simple_cauchy - stage1/mcc_pearson__MAX","Group: Ours_MSE_Simple_cauchy - _step","Group: Ours_MSE_Simple_cauchy - _step__MIN","Group: Ours_MSE_Simple_cauchy - _step__MAX","Group: Ours_MSE_Complicate_cauchy - stage1/mcc_pearson","Group: Ours_MSE_Complicate_cauchy - stage1/mcc_pearson__MIN","Group: Ours_MSE_Complicate_cauchy - stage1/mcc_pearson__MAX","Group: Ours_MSE_Complicate_cauchy - _step","Group: Ours_MSE_Complicate_cauchy - _step__MIN","Group: Ours_MSE_Complicate_cauchy - _step__MAX","Group: Ours_Simple_cauchy - stage1/mcc_pearson","Group: Ours_Simple_cauchy - stage1/mcc_pearson__MIN","Group: Ours_Simple_cauchy - stage1/mcc_pearson__MAX","Group: Ours_Simple_cauchy - _step","Group: Ours_Simple_cauchy - _step__MIN","Group: Ours_Simple_cauchy - _step__MAX","Group: Ours_Complicate_cauchy - stage1/mcc_pearson","Group: Ours_Complicate_cauchy - stage1/mcc_pearson__MIN","Group: Ours_Complicate_cauchy - stage1/mcc_pearson__MAX","Group: Ours_Complicate_cauchy - _step","Group: Ours_Complicate_cauchy - _step__MIN","Group: Ours_Complicate_cauchy - _step__MAX"
"4251","0.5422589028622884","0.35880845505946524","0.7730446107117804","8521","8521","8521","0.34657771765637746","0.23831907584137543","0.43503717122059504","8521","8521","8521","0.6595466046525209","0.4261804755497269","0.8424472293836155","8521","8521","8521","0.42694931613739595","0.31309272028281604","0.5080413662519427","8521","8521","8521"
"4501","0.550607205617953","0.4361749872330864","0.7262556181459391","9022","9022","9022","0.29583763085646647","0.1056282642063024","0.4378576656501313","9022","9022","9022","0.6262563186972703","0.43778748611445656","0.7426736317546009","9022","9022","9022","0.39638971605635204","0.110412957827476","0.5190533498156089","9022","9022","9022"
"4751","0.56948219511784","0.39968074555415195","0.7235130336019878","9523","9523","9523","0.3162012455466985","0.19279481564752","0.48565902221547635","9523","9523","9523","0.6650195403183161","0.5302979486416808","0.8647720295331914","9523","9523","9523","0.4255104632036725","0.27112865530769875","0.5115160969760069","9523","9523","9523"
"5001","0.48205678632960164","0.3636805451631722","0.6560235218702615","10024","10024","10024","0.3462427114234593","0.2716238269770521","0.4224960619368505","10024","10024","10024","0.689472491895633","0.35057647115810536","0.8457118545875592","10024","10024","10024","0.4474256734384189","0.18712748496396006","0.5423349120461173","10024","10024","10024"
"5251","0.5613071216226126","0.3633821311634085","0.6990458991113596","10525","10525","10525","0.36749613023422895","0.28830305484310503","0.4646317602478337","10525","10525","10525","0.6356671899333214","0.42465443740509423","0.7857141117067302","10525","10525","10525","0.4452410358871389","0.26300726620149706","0.5604885287524586","10525","10525","10525"
"5501","0.5370842165615024","0.4424711594069753","0.6611589697038378","11026","11026","11026","0.3062120826983822","0.14505714508440512","0.444709783011196","11026","11026","11026","0.5968673280406942","0.40940269190563766","0.8175729759301872","11026","11026","11026","0.427889513734092","0.2412121080307516","0.5681984395994059","11026","11026","11026"
"5751","0.5234909769659399","0.3389543302228048","0.6899369555345226","11527","11527","11527","0.30086581034218496","0.15767649185717922","0.5128779897951378","11527","11527","11527","0.616213944770109","0.3666440773594873","0.8138105708135525","11527","11527","11527","0.4032019251379347","0.21559639073788656","0.5717635542844979","11527","11527","11527"
"6001","0.5492502781244645","0.35943549761557314","0.6975790822490131","12028","12028","12028","0.344150343942305","0.19239927910335178","0.43043882695769736","12028","12028","12028","0.6386038883820913","0.34927422443004635","0.8071126851882623","12028","12028","12028","0.4787043016671233","0.31979317166609034","0.5996681518030339","12028","12028","12028"
"6251","0.5542445825589739","0.3878856053668942","0.6520165430214249","12529","12529","12529","0.3341883217890186","0.26318613668606383","0.43441617045599124","12529","12529","12529","0.6600299027148568","0.4861842029942503","0.8322509214986692","12529","12529","12529","0.40527758010095855","0.2706762163501664","0.5118481110393454","12529","12529","12529"
"6501","0.5013288812295463","0.33484209403971676","0.6371769037880411","13030","13030","13030","0.30602592994974404","0.19984111868198565","0.45347620893906093","13030","13030","13030","0.6084491470753656","0.34341794507343565","0.9255475809006172","13030","13030","13030","0.44399300269421416","0.2354633082439425","0.594612459581968","13030","13030","13030"
