"stage2/step","Group: Danru_Complicate_cauchy - stage2/mcc_spearman","Group: Danru_Complicate_cauchy - stage2/mcc_spearman__MIN","Group: Danru_Complicate_cauchy - stage2/mcc_spearman__MAX","Group: Danru_Complicate_cauchy - _step","Group: Danru_Complicate_cauchy - _step__MIN","Group: Danru_Complicate_cauchy - _step__MAX","Group: Danru_Complicate_gumbel - stage2/mcc_spearman","Group: Danru_Complicate_gumbel - stage2/mcc_spearman__MIN","Group: Danru_Complicate_gumbel - stage2/mcc_spearman__MAX","Group: Danru_Complicate_gumbel - _step","Group: Danru_Complicate_gumbel - _step__MIN","Group: Danru_Complicate_gumbel - _step__MAX","Group: Danru_Complicate_gauss - stage2/mcc_spearman","Group: Danru_Complicate_gauss - stage2/mcc_spearman__MIN","Group: Danru_Complicate_gauss - stage2/mcc_spearman__MAX","Group: Danru_Complicate_gauss - _step","Group: Danru_Complicate_gauss - _step__MIN","Group: Danru_Complicate_gauss - _step__MAX","Group: Danru_Simple_cauchy - stage2/mcc_spearman","Group: Danru_Simple_cauchy - stage2/mcc_spearman__MIN","Group: Danru_Simple_cauchy - stage2/mcc_spearman__MAX","Group: Danru_Simple_cauchy - _step","Group: Danru_Simple_cauchy - _step__MIN","Group: Danru_Simple_cauchy - _step__MAX","Group: Danru_Simple_gumbel - stage2/mcc_spearman","Group: Danru_Simple_gumbel - stage2/mcc_spearman__MIN","Group: Danru_Simple_gumbel - stage2/mcc_spearman__MAX","Group: Danru_Simple_gumbel - _step","Group: Danru_Simple_gumbel - _step__MIN","Group: Danru_Simple_gumbel - _step__MAX","Group: Danru_Simple_gauss - stage2/mcc_spearman","Group: Danru_Simple_gauss - stage2/mcc_spearman__MIN","Group: Danru_Simple_gauss - stage2/mcc_spearman__MAX","Group: Danru_Simple_gauss - _step","Group: Danru_Simple_gauss - _step__MIN","Group: Danru_Simple_gauss - _step__MAX"
"2501","0.233811150274918","0.1779951033148128","0.28822729815634757","22577.2","22576","22578","0.37201937909820554","0.29655630767617697","0.5335771940927144","22577.4","22576","22578","0.4469562762100733","0.23016688208066766","0.5333904095661912","22577.4","22576","22578","0.4697698720654139","0.29142610091017085","0.5806120806704095","22578","22578","22578","0.4810382142687981","0.12745903370833883","0.6428985878162439","22578","22578","22578","0.4865058477084914","0.08066471689189407","0.6671858958716573","22578","22578","22578"
"2751","0.228813074001221","0.1134275233870766","0.2943633435175431","22830.2","22829","22831","0.3694613912348398","0.2966796018664394","0.5262436025432053","22830.4","22829","22831","0.4521993549729886","0.23860493206707217","0.5412863546328838","22830.4","22829","22831","0.40458941572379664","0.31175327883152665","0.5352986971658074","22831","22831","22831","0.47756476162923783","0.10843056044665604","0.6435313239349297","22831","22831","22831","0.48824779562887527","0.08561771224261916","0.664681902009058","22831","22831","22831"
"3001","0.23028269137800791","0.10329768825594206","0.2897606485101937","23083.2","23082","23084","0.3854173680429086","0.2945908741584268","0.5644065565059804","23083.4","23082","23084","0.4602603085748823","0.2378858184787506","0.5412617615674182","23083.4","23082","23084","0.4070933461294284","0.26692238806911156","0.5585128245807195","23084","23084","23084","0.4758750955405434","0.11569964733038113","0.6412158891516925","23084","23084","23084","0.4926158428342646","0.10674523942916826","0.6707059072594568","23084","23084","23084"
"3251","0.2314710306000888","0.11771608235493784","0.29164277164602187","23336.2","23335","23337","0.38811327448607436","0.29279473914076737","0.5757887203712075","23336.4","23335","23337","0.45224812773879036","0.23350096727326813","0.5404510670112034","23336.4","23335","23337","0.4402030346556919","0.25796556703071416","0.5734106681223395","23337","23337","23337","0.4787842924917746","0.1042987655949592","0.6475458303826453","23337","23337","23337","0.4886839481681357","0.0649135037940697","0.6655879259193412","23337","23337","23337"
"3501","0.23486059897701725","0.11216275426531401","0.2884574477317532","23589.2","23588","23590","0.38873058327567034","0.296308734661391","0.5784163172186781","23589.4","23588","23590","0.45324240714075437","0.22808924846082204","0.5426251027495546","23589.4","23588","23590","0.46128834021769993","0.2847184749382765","0.5522769465183721","23590","23590","23590","0.4781044848915273","0.10694081359465964","0.6499332381637007","23590","23590","23590","0.4802378951959291","0.07225840576028379","0.6674429990463316","23590","23590","23590"
"3751","0.23579478674650525","0.15181485029352143","0.29842961302062476","23842.2","23841","23843","0.39075738027162243","0.29754384388766575","0.5831406265076964","23842.4","23841","23843","0.4556431985792811","0.2270787173003895","0.5453648505660704","23842.4","23841","23843","0.40836929222971347","0.3086447912832067","0.555785135399432","23843","23843","23843","0.4791365520481964","0.10851223946461315","0.655786734561151","23843","23843","23843","0.48885930114023335","0.08030432135605076","0.6680206912780607","23843","23843","23843"
"4001","0.2401610505832378","0.16878481325869332","0.2987740194369127","24095.2","24094","24096","0.39026973726193565","0.2945000023099589","0.5890137327145964","24095.4","24094","24096","0.4380519404407502","0.23146038404899166","0.49671860103997645","24095.4","24094","24096","0.421012144761533","0.25752197097772905","0.5041651026939366","24096","24096","24096","0.47819555276026254","0.11149572318734291","0.6677789493294733","24096","24096","24096","0.4942405358271709","0.06400548095497131","0.6826788944156306","24096","24096","24096"
"4251","0.2472505307434972","0.16475917135126245","0.32053566613230905","24348.2","24347","24349","0.3661095234918569","0.28826834768156884","0.47888328463495666","24348.4","24347","24349","0.4544161440634123","0.24181153534612268","0.5038970722470644","24348.4","24347","24349","0.41547592968186287","0.25889875510809557","0.48861782019531974","24349","24349","24349","0.4808040273673715","0.11287641625749484","0.67976059630016","24349","24349","24349","0.4922597718538886","0.06327002277768427","0.6963385958923318","24349","24349","24349"
"4501","0.24347314387856392","0.16589508371339742","0.30060646720659906","24601.2","24600","24602","0.38888188613494057","0.2992705680590829","0.5007286024956816","24601.4","24600","24602","0.4517604714088844","0.24207648586992914","0.5094383512659979","24601.4","24600","24602","0.40160087773932807","0.18112472636398977","0.5319310499795105","24602","24602","24602","0.47889301379945515","0.10189952854718431","0.6858228324716241","24602","24602","24602","0.48936937947381737","0.05780609487382998","0.6797057580945806","24602","24602","24602"
"4751","0.23721299412158806","0.17014970270727572","0.283000978030089","24854.2","24853","24855","0.3930531225991015","0.30612001373825953","0.49672333064341717","24854.4","24853","24855","0.45045926904687256","0.23202459450001353","0.5131934719549165","24854.4","24853","24855","0.395857000790699","0.27323060323622705","0.5015580225965638","24855","24855","24855","0.4781708891412725","0.10285385448507674","0.6790491339007906","24855","24855","24855","0.49515074589178304","0.06035970413549104","0.6988717329191698","24855","24855","24855"
