"stage2/step","Group: Ours_BN_Simple_cauchy - stage2/mcc_spearman","Group: Ours_BN_Simple_cauchy - stage2/mcc_spearman__MIN","Group: Ours_BN_Simple_cauchy - stage2/mcc_spearman__MAX","Group: Ours_BN_Simple_cauchy - _step","Group: Ours_BN_Simple_cauchy - _step__MIN","Group: Ours_BN_Simple_cauchy - _step__MAX","Group: Ours_BN_Complicate_cauchy - stage2/mcc_spearman","Group: Ours_BN_Complicate_cauchy - stage2/mcc_spearman__MIN","Group: Ours_BN_Complicate_cauchy - stage2/mcc_spearman__MAX","Group: Ours_BN_Complicate_cauchy - _step","Group: Ours_BN_Complicate_cauchy - _step__MIN","Group: Ours_BN_Complicate_cauchy - _step__MAX","Group: Ours_Simple_cauchy - stage2/mcc_spearman","Group: Ours_Simple_cauchy - stage2/mcc_spearman__MIN","Group: Ours_Simple_cauchy - stage2/mcc_spearman__MAX","Group: Ours_Simple_cauchy - _step","Group: Ours_Simple_cauchy - _step__MIN","Group: Ours_Simple_cauchy - _step__MAX","Group: Ours_Complicate_cauchy - stage2/mcc_spearman","Group: Ours_Complicate_cauchy - stage2/mcc_spearman__MIN","Group: Ours_Complicate_cauchy - stage2/mcc_spearman__MAX","Group: Ours_Complicate_cauchy - _step","Group: Ours_Complicate_cauchy - _step__MIN","Group: Ours_Complicate_cauchy - _step__MAX"
"3251","0.5707498022975197","0.4236733000487894","0.6286299408556721","23337","23337","23337","0.24996400294661977","0.21610873577130887","0.33623719303636135","23336.2","23335","23337","0.6495300813758467","0.571064960546602","0.7548683669633584","23337","23337","23337","0.4707236729816218","0.392108623259701","0.5336034484832044","23336.2","23335","23337"
"3501","0.5687889404653133","0.4222832040834459","0.6277774703817279","23590","23590","23590","0.2538015811429643","0.21421600017827988","0.34016074909757393","23589.2","23588","23590","0.6577703546840246","0.5863722798085996","0.7596031206749543","23590","23590","23590","0.474348594438417","0.4298346743653396","0.5357559927083221","23589.2","23588","23590"
"3751","0.5695916877871967","0.4133609860636138","0.6399809586960608","23843","23843","23843","0.25563652322698016","0.20647651424295116","0.3420365919109387","23842.2","23841","23843","0.653279315954606","0.5678070772287933","0.7650358246707513","23843","23843","23843","0.47573908675166177","0.4279812251260747","0.5460716397091756","23842.2","23841","23843"
"4001","0.5781659491498827","0.4435354172255847","0.6511160086258566","24096","24096","24096","0.2500425463943993","0.19921712659875407","0.3420366191057416","24095.2","24094","24096","0.649203334952318","0.5874813113632998","0.7618531319581922","24096","24096","24096","0.4807709074058632","0.4396776670701351","0.5543486674053708","24095.2","24094","24096"
"4251","0.5791616333250531","0.44021625808892334","0.6443257435847026","24349","24349","24349","0.2474846268272949","0.19646298920292685","0.3382832130973521","24348.2","24347","24349","0.6539627577578393","0.6021215575667926","0.7628544239311895","24349","24349","24349","0.4811326307235458","0.442546325454217","0.5393988793064799","24348.2","24347","24349"
"4501","0.5883590728752159","0.4284283469759543","0.6550872162145112","24602","24602","24602","0.2407295165496917","0.19845795918043746","0.319348284823394","24601.2","24600","24602","0.6461613014037055","0.5598677911693167","0.7601617559024332","24602","24602","24602","0.4854959693729131","0.44087129160933375","0.5438995114953992","24601.2","24600","24602"
"4751","0.5740314550320195","0.42598968884848293","0.6433146281254786","24855","24855","24855","0.24401042810148194","0.20117403312382995","0.3319660390466253","24854.2","24853","24855","0.653603170915485","0.5745533809255098","0.7629838707345101","24855","24855","24855","0.4868798040021822","0.40115203088880846","0.552685740800143","24854.2","24853","24855"
"5001","0.5862201210632795","0.4879835127634218","0.6552008312088176","25108","25108","25108","0.24524873784993204","0.2026607451043459","0.33556135852687735","25107.2","25106","25108","0.65900286035168","0.6202334281784907","0.7624158378001207","25108","25108","25108","0.49118221672113005","0.40461915238289026","0.5593103154858745","25107.2","25106","25108"
"5251","0.5725891836173947","0.46480237328083246","0.6225235258628041","25361","25361","25361","0.24094749921393901","0.1906245070343951","0.3459872302595873","25360.2","25359","25361","0.6555250926843957","0.5742710489610228","0.7608684037845822","25361","25361","25361","0.4887543721631382","0.41348789657216134","0.5791864622963795","25360.2","25359","25361"
"5501","0.579855557041417","0.43769698112406347","0.6437585019914525","25614","25614","25614","0.24370038231004226","0.1946804984778915","0.3303565096638983","25613.2","25612","25614","0.6488269081300178","0.5293389555350273","0.7614712062921742","25614","25614","25614","0.49535782687279584","0.41485331302481765","0.5777515068531583","25613.2","25612","25614"
"5751","0.5729767666568518","0.42882857150224635","0.6404511407293887","25867","25867","25867","0.23964216724755202","0.1954590732184876","0.3138359856609989","25866.2","25865","25867","0.6729431837283196","0.5982300446922009","0.7649400986576027","25867","25867","25867","0.49459272052355346","0.41311889917947264","0.5802390666045404","25866.2","25865","25867"
"6001","0.5797253695557932","0.4962436877262295","0.6376646533592054","26120","26120","26120","0.24361251733705985","0.19579531934071567","0.34325558068224266","26119.2","26118","26120","0.6669633972949246","0.6259113438049252","0.7572103294618078","26120","26120","26120","0.4992364413153756","0.43357641687754783","0.5819030818843851","26119.2","26118","26120"
"6251","0.5718713596559966","0.46498795016128996","0.6401365066101711","26373","26373","26373","0.2436417795245684","0.2002491414964957","0.3124440460800769","26372.2","26371","26373","0.6771025462477622","0.6212178679585506","0.7636483552122909","26373","26373","26373","0.4917070712003911","0.42890630735557184","0.597907697180421","26372.2","26371","26373"
"6501","0.5712096965856136","0.45274059883002904","0.6417789718451515","26626","26626","26626","0.23944899170653983","0.19393718517266992","0.34507641269721223","26625.2","26624","26626","0.6782312586134038","0.6104187447037601","0.7609501796363315","26626","26626","26626","0.4931705010252199","0.42994069233673154","0.5841019275093371","26625.2","26624","26626"
"6751","0.5774168174729772","0.5188338513115832","0.6427061427985543","26879","26879","26879","0.2387283652785303","0.19180407826776885","0.3211284216213379","26878.2","26877","26879","0.6741352273621705","0.6238802034417729","0.7615434023488749","26879","26879","26879","0.49771026127475515","0.42369115560139275","0.5883002876580438","26878.2","26877","26879"
"7001","0.5683764550778598","0.4499038720999306","0.6381876248405481","27132","27132","27132","0.23414635443511692","0.18887648332588233","0.32845086151438796","27131.2","27130","27132","0.6731646364920558","0.6165928523258061","0.763521625074076","27132","27132","27132","0.4982856640781034","0.42733225165377675","0.6017810267397137","27131.2","27130","27132"
"7251","0.5716229493516949","0.42118085642767644","0.6426270772828128","27385","27385","27385","0.23160906090321753","0.18387334916107897","0.3125861576690649","27384.2","27383","27385","0.674968509251668","0.6225815525410247","0.7621129126471319","27385","27385","27385","0.49357814711002745","0.4340941507369189","0.5897653332573655","27384.2","27383","27385"
"7501","0.5804894621725623","0.4928085708849079","0.6462798431439248","27638","27638","27638","0.24101664310559756","0.19564534515914656","0.32810208055853884","27637.2","27636","27638","0.6750542486512229","0.6089904432970134","0.7620536691021318","27638","27638","27638","0.4852688178058172","0.4251859808801197","0.5367522812593382","27637.2","27636","27638"
"7751","0.5724584006662827","0.4728988434589136","0.6275634775821924","27891","27891","27891","0.24105952493095847","0.1870181761194722","0.3428373688352012","27890.2","27889","27891","0.6854458809339654","0.5918213580381014","0.7615210776035788","27891","27891","27891","0.4927033313056917","0.4317308039841013","0.5933551708226393","27890.2","27889","27891"
"8001","0.5739555805540402","0.4655872967438098","0.6503059668164283","28144","28144","28144","0.23644994417815926","0.19534006415395627","0.33503436106815504","28143.2","28142","28144","0.6711659198495684","0.5702239954617099","0.7632644555113873","28144","28144","28144","0.4969823067551699","0.4457052919161228","0.5931111164382298","28143.2","28142","28144"
"8251","0.57040069537736","0.46028399378871804","0.6456226758076918","28397","28397","28397","0.2311330827462624","0.17508556619489068","0.3353733630274346","28396.2","28395","28397","0.6879044643675023","0.5708922044950727","0.7642939536064156","28397","28397","28397","0.49812701711577506","0.4437728108868188","0.5939698902039741","28396.2","28395","28397"
"8501","0.5729890115265108","0.45484538013464065","0.6304747142540195","28650","28650","28650","0.2372422503601233","0.18876874184130968","0.32912017444590574","28649.2","28648","28650","0.6716354045561117","0.5732099901500983","0.7617783024706289","28650","28650","28650","0.4998846738050665","0.44349940730345017","0.5968040934455539","28649.2","28648","28650"
