"stage1/step","Group: Danru_Complicate_cauchy - stage1/mcc_pearson","Group: Danru_Complicate_cauchy - stage1/mcc_pearson__MIN","Group: Danru_Complicate_cauchy - stage1/mcc_pearson__MAX","Group: Danru_Complicate_cauchy - _step","Group: Danru_Complicate_cauchy - _step__MIN","Group: Danru_Complicate_cauchy - _step__MAX","Group: Danru_Complicate_gumbel - stage1/mcc_pearson","Group: Danru_Complicate_gumbel - stage1/mcc_pearson__MIN","Group: Danru_Complicate_gumbel - stage1/mcc_pearson__MAX","Group: Danru_Complicate_gumbel - _step","Group: Danru_Complicate_gumbel - _step__MIN","Group: Danru_Complicate_gumbel - _step__MAX","Group: Danru_Complicate_gauss - stage1/mcc_pearson","Group: Danru_Complicate_gauss - stage1/mcc_pearson__MIN","Group: Danru_Complicate_gauss - stage1/mcc_pearson__MAX","Group: Danru_Complicate_gauss - _step","Group: Danru_Complicate_gauss - _step__MIN","Group: Danru_Complicate_gauss - _step__MAX","Group: Danru_Simple_cauchy - stage1/mcc_pearson","Group: Danru_Simple_cauchy - stage1/mcc_pearson__MIN","Group: Danru_Simple_cauchy - stage1/mcc_pearson__MAX","Group: Danru_Simple_cauchy - _step","Group: Danru_Simple_cauchy - _step__MIN","Group: Danru_Simple_cauchy - _step__MAX","Group: Danru_Simple_gumbel - stage1/mcc_pearson","Group: Danru_Simple_gumbel - stage1/mcc_pearson__MIN","Group: Danru_Simple_gumbel - stage1/mcc_pearson__MAX","Group: Danru_Simple_gumbel - _step","Group: Danru_Simple_gumbel - _step__MIN","Group: Danru_Simple_gumbel - _step__MAX","Group: Danru_Simple_gauss - stage1/mcc_pearson","Group: Danru_Simple_gauss - stage1/mcc_pearson__MIN","Group: Danru_Simple_gauss - stage1/mcc_pearson__MAX","Group: Danru_Simple_gauss - _step","Group: Danru_Simple_gauss - _step__MIN","Group: Danru_Simple_gauss - _step__MAX"
"1","0.35439177840701375","0.15980831018486555","0.5190967971708647","4","4","4","0.4407100677156991","0.3923117439471687","0.49234542811741455","4","4","4","0.42804121590197186","0.39447216061412027","0.47142333772194334","4","4","4","0.5272779309165785","0.3730353488249935","0.6592216998503405","4","4","4","0.6117686754418268","0.4545632476141274","0.821686624630562","4","4","4","0.5322481250004298","0.42306922317451784","0.7545236653699211","4","4","4"
"251","0.3048619772791793","0.17697327758568243","0.45669238544392526","505","505","505","0.5688972721011023","0.5021986475709684","0.6787755756182532","505","505","505","0.5532957534177204","0.5145021709274793","0.5969711911310271","505","505","505","0.4689508736282312","0.3256357570111383","0.5564794885497204","505","505","505","0.7449985844568574","0.586306676861796","0.869177147836277","505","505","505","0.7768999285128324","0.4969052369006774","0.900027797236126","505","505","505"
"501","0.280039872072544","0.12364202621354677","0.484630925117735","1006","1006","1006","0.569022348269564","0.49348576033089175","0.6833599798169951","1006","1006","1006","0.5633548682870815","0.516683415499339","0.606437999111059","1006","1006","1006","0.5050520868654629","0.37714401102453615","0.6335456706726057","1006","1006","1006","0.7481045771208501","0.5803958494571915","0.8755739202031328","1006","1006","1006","0.7747911035544203","0.5009338168148624","0.8959408293045353","1006","1006","1006"
"751","0.24957853074673625","0.11257950503386278","0.3384592675022841","1507","1507","1507","0.5708277730644377","0.4911362930154861","0.6855946218897427","1507","1507","1507","0.5654399527817894","0.5211517999146704","0.604320896529117","1507","1507","1507","0.5001714734843634","0.37418883828412297","0.6267636845142409","1507","1507","1507","0.7447343582178065","0.5611166976042483","0.8677485641220072","1507","1507","1507","0.7709210334980572","0.49458499451274607","0.8967512108179422","1507","1507","1507"
"1001","0.24581816051192812","0.16235443739864153","0.3764907653909412","2008","2008","2008","0.5677823334112699","0.48571712559710817","0.6748394477265471","2008","2008","2008","0.5663911236090188","0.520619973449648","0.6022096138282997","2008","2008","2008","0.4624120097000839","0.33523803054382345","0.6847868115283564","2008","2008","2008","0.7456622815075442","0.5510381636857408","0.8634173360075899","2008","2008","2008","0.7685885666680743","0.5005330912770419","0.8942464368183382","2008","2008","2008"
"1251","0.2547841170841108","0.1253606061251512","0.3939766214043634","2509","2509","2509","0.5679692754450691","0.49009942158982006","0.673206896340129","2509","2509","2509","0.5666366324225185","0.5194078185886953","0.6025238252448724","2509","2509","2509","0.4429021064141961","0.35290254712781394","0.653098463541512","2509","2509","2509","0.7479081038890539","0.5674171316218563","0.8653544537295009","2509","2509","2509","0.7641132014049375","0.49432843183531183","0.888942659016597","2509","2509","2509"
"1501","0.23749893069213757","0.17598716910098156","0.284932744932016","3010","3010","3010","0.5663021168993032","0.49113805229180096","0.6678108462183735","3010","3010","3010","0.5664457653042747","0.5189742762976184","0.6023705853963246","3010","3010","3010","0.4864757257689883","0.3515026768188047","0.7393934097223344","3010","3010","3010","0.7450385215146855","0.5450007227724566","0.8615851774943427","3010","3010","3010","0.7613284746434907","0.4960645650275355","0.8834083815514586","3010","3010","3010"
"1751","0.27232302013308074","0.1368045033707626","0.3508073200575283","3511","3511","3511","0.5668210120207806","0.49598417816221907","0.6730994613450236","3511","3511","3511","0.5661261152237251","0.5201846455936203","0.6046773569443451","3511","3511","3511","0.4645989068334767","0.23908071059214198","0.6349251299784621","3511","3511","3511","0.7446013037776418","0.5728072569614294","0.8537494956826622","3511","3511","3511","0.7577718356581873","0.497467371523406","0.8830341703478806","3511","3511","3511"
"2001","0.22881197550952695","0.12933310681284632","0.3976336207384046","4012","4012","4012","0.5643602353676453","0.4938282807698028","0.6703639063516622","4012","4012","4012","0.5673507090102696","0.521447115029776","0.5996782078895624","4012","4012","4012","0.5108855301392046","0.26313606130113404","0.6706675901156202","4012","4012","4012","0.7430345664387241","0.5728374043541249","0.8613010801759468","4012","4012","4012","0.7529779968027246","0.49555574974439504","0.8773045070232041","4012","4012","4012"
"2251","0.25481556089120294","0.13460525975830834","0.35254792945384583","4513","4513","4513","0.5648634297163907","0.4906657462383852","0.6648268034613843","4513","4513","4513","0.5669491423229948","0.5225149359806386","0.5984301884827884","4513","4513","4513","0.46364518396166376","0.2693082253881116","0.6199616713351083","4513","4513","4513","0.7425399684362091","0.571273827149481","0.8581896801802685","4513","4513","4513","0.7526329985940593","0.49978606988733487","0.8695585192185371","4513","4513","4513"
"2501","0.22964457671233213","0.10155413298293854","0.31917622226462533","5014","5014","5014","0.563487649053054","0.4899606648826117","0.6666004519001403","5014","5014","5014","0.5668207773644935","0.523123114753649","0.6050829641692345","5014","5014","5014","0.42779736954802505","0.3310844887560216","0.5364697888986873","5014","5014","5014","0.7376806636502604","0.5711558149550396","0.840746418071272","5014","5014","5014","0.7479447775350938","0.49298329389115453","0.8639928951859136","5014","5014","5014"
"2751","0.21144209759929425","0.11839570235446464","0.3520964298093193","5515","5515","5515","0.5606432900573609","0.4938631418113076","0.6612329067699443","5515","5515","5515","0.5675090523618493","0.5161034264484915","0.6027641136821433","5515","5515","5515","0.4121875665715418","0.1162262647844034","0.5545008598974648","5515","5515","5515","0.7369288276431537","0.5610746112135782","0.8457383256983269","5515","5515","5515","0.746793691463904","0.4946905823369911","0.8626835762173246","5515","5515","5515"
