"stage2/step","Group: VaDE_Simple_cauchy - stage2/mcc_spearman","Group: VaDE_Simple_cauchy - stage2/mcc_spearman__MIN","Group: VaDE_Simple_cauchy - stage2/mcc_spearman__MAX","Group: VaDE_Simple_cauchy - _step","Group: VaDE_Simple_cauchy - _step__MIN","Group: VaDE_Simple_cauchy - _step__MAX","Group: Danru_Simple_cauchy - stage2/mcc_spearman","Group: Danru_Simple_cauchy - stage2/mcc_spearman__MIN","Group: Danru_Simple_cauchy - stage2/mcc_spearman__MAX","Group: Danru_Simple_cauchy - _step","Group: Danru_Simple_cauchy - _step__MIN","Group: Danru_Simple_cauchy - _step__MAX","Group: Ours_Simple_cauchy - stage2/mcc_spearman","Group: Ours_Simple_cauchy - stage2/mcc_spearman__MIN","Group: Ours_Simple_cauchy - stage2/mcc_spearman__MAX","Group: Ours_Simple_cauchy - _step","Group: Ours_Simple_cauchy - _step__MIN","Group: Ours_Simple_cauchy - _step__MAX"
"6501","0.10186021076937321","0","0.5361894221785722","16625","16625","16625","0.41727772602840646","0.2687600312439472","0.5710218194109783","26626","26626","26626","0.6782312586134038","0.6104187447037601","0.7609501796363315","26626","26626","26626"
"6751","0.08743451493637937","0","0.49428656882553446","16878","16878","16878","0.3881475610051425","0.2640456388286692","0.5452100094104521","26879","26879","26879","0.6741352273621705","0.6238802034417729","0.7615434023488749","26879","26879","26879"
"7001","0.09106493382892222","0","0.5109581507338258","17131","17131","17131","0.4208448273237474","0.2548045668742647","0.5494414469920021","27132","27132","27132","0.6731646364920558","0.6165928523258061","0.763521625074076","27132","27132","27132"
"7251","0.048863211016737476","0","0.4886321101673748","17384","17384","17384","0.42382298378630007","0.3196354568642931","0.5564506747178822","27385","27385","27385","0.674968509251668","0.6225815525410247","0.7621129126471319","27385","27385","27385"
"7501","0.04945895109810656","0","0.49458951098106557","17637","17637","17637","0.37347029606020843","0.27569350832440037","0.5319039549269109","27638","27638","27638","0.6750542486512229","0.6089904432970134","0.7620536691021318","27638","27638","27638"
"7751","0.053953236476050784","0","0.5395323647605078","17890","17890","17890","0.4201247724155007","0.27319774428949684","0.6131227210155266","27891","27891","27891","0.6854458809339654","0.5918213580381014","0.7615210776035788","27891","27891","27891"
"8001","0.05412119447661654","0","0.5412119447661654","18143","18143","18143","0.4438585636687071","0.3022948339188125","0.5530202711617119","28144","28144","28144","0.6711659198495684","0.5702239954617099","0.7632644555113873","28144","28144","28144"
"8251","0.055479119708141636","0","0.5547911970814163","18396","18396","18396","0.4399229121833336","0.254499773426235","0.5432781713269303","28397","28397","28397","0.6879044643675023","0.5708922044950727","0.7642939536064156","28397","28397","28397"
"8501","0.052874776118441616","0","0.5287477611844161","18649","18649","18649","0.42610186047976606","0.2610529661368884","0.5473298732543666","28650","28650","28650","0.6716354045561117","0.5732099901500983","0.7617783024706289","28650","28650","28650"
"8751","0.05296193289880983","0","0.5296193289880983","18902","18902","18902","0.42503632561076354","0.23017769562819165","0.5906251426492654","28903","28903","28903","0.6742896604927937","0.5721194615630355","0.760044675552335","28903","28903","28903"
