"stage1/step","Group: VaDE_Complicate_gumbel - stage1/mcc_spearman","Group: VaDE_Complicate_gumbel - stage1/mcc_spearman__MIN","Group: VaDE_Complicate_gumbel - stage1/mcc_spearman__MAX","Group: VaDE_Complicate_gumbel - _step","Group: VaDE_Complicate_gumbel - _step__MIN","Group: VaDE_Complicate_gumbel - _step__MAX","Group: Danru_Complicate_gumbel - stage1/mcc_spearman","Group: Danru_Complicate_gumbel - stage1/mcc_spearman__MIN","Group: Danru_Complicate_gumbel - stage1/mcc_spearman__MAX","Group: Danru_Complicate_gumbel - _step","Group: Danru_Complicate_gumbel - _step__MIN","Group: Danru_Complicate_gumbel - _step__MAX","Group: Ours_Complicate_gumbel - stage1/mcc_spearman","Group: Ours_Complicate_gumbel - stage1/mcc_spearman__MIN","Group: Ours_Complicate_gumbel - stage1/mcc_spearman__MAX","Group: Ours_Complicate_gumbel - _step","Group: Ours_Complicate_gumbel - _step__MIN","Group: Ours_Complicate_gumbel - _step__MAX"
"1","0.33901159930352465","0.28109516936611","0.3936747646607536","2","2","2","0.39514409096145076","0.35464576922224084","0.44054602547185573","4","4","4","0.37679193993073634","0.3275926317970203","0.4404844502964497","4","4","4"
"251","0.3100699952816075","0.2710292818832506","0.4674630100046949","253","253","253","0.49692184695306263","0.4422378523324347","0.5882204027601656","505","505","505","0.4645873707515752","0.43421634118955604","0.499669101133654","505","505","505"
"501","0.4143199554584445","0.35797038889021404","0.47769007314005735","504","504","504","0.4983571680360653","0.4404766527951134","0.5946951461006573","1006","1006","1006","0.4728182766559727","0.45473218817348726","0.5094154947517039","1006","1006","1006"
"751","0.4473647145939945","0.3794096334238525","0.5128648011045213","755","755","755","0.5008189642850859","0.4418861539396297","0.5981710546476149","1507","1507","1507","0.47478881361947367","0.45050005995517994","0.5069951536985151","1507","1507","1507"
"1001","0.46625349345879","0.3928550688452058","0.5148103667568199","1006","1006","1006","0.500492521289765","0.4448299294682685","0.5929455424856134","2008","2008","2008","0.47745871175057475","0.46077594032390434","0.5096833747816052","2008","2008","2008"
"1251","0.4772828643338861","0.41114314187516465","0.5212482192049117","1257","1257","1257","0.49995609824164955","0.4450877259350725","0.5869526239250485","2509","2509","2509","0.47954585928450716","0.46626912318843783","0.5118178801547502","2509","2509","2509"
"1501","0.48632419812039185","0.4203622486630495","0.5298094914826719","1508","1508","1508","0.4986902867534062","0.44536004303080823","0.5875882217914239","3010","3010","3010","0.48128379841184776","0.4644986414489269","0.5155285214475218","3010","3010","3010"
"1751","0.4882884497340492","0.42949329905443345","0.5399965114614209","1759","1759","1759","0.49872084591378807","0.4469836321271622","0.5892901672265946","3511","3511","3511","0.48022461503211505","0.4647085542990325","0.5121997517009665","3511","3511","3511"
"2001","0.4933316045329671","0.44595993530140277","0.5397626323043884","2010","2010","2010","0.4963160755680673","0.4482134968121153","0.5824914904095789","4012","4012","4012","0.48278578516245074","0.46645009295099193","0.5147738508865072","4012","4012","4012"
"2251","0.49629349481425666","0.4405596129607581","0.5423450430713073","2261","2261","2261","0.49760717566556123","0.4440875694110803","0.5796590734501608","4513","4513","4513","0.48481147807149966","0.47095516343583055","0.5189411680112677","4513","4513","4513"
"2501","0.49204672785062353","0.44506652222287835","0.5274004152970407","2512","2512","2512","0.4959665607818963","0.4448918130101428","0.5843704243744396","5014","5014","5014","0.4839565744028381","0.47003656550012207","0.5167838707846237","5014","5014","5014"
"2751","0.4947328353026611","0.45086643819755584","0.5438295537321711","2763","2763","2763","0.4955821053652311","0.44706316724481876","0.5811617006274518","5515","5515","5515","0.48538627904644727","0.4698332187060972","0.51687579916719","5515","5515","5515"
"3001","0.49747160023563036","0.4490094890533477","0.5380226822273384","3014","3014","3014","0.4971237418500426","0.44958363186015315","0.5781031514896391","6016","6016","6016","0.4863882068364863","0.4702947092689122","0.5200255553424443","6016","6016","6016"
"3251","0.49758629775209906","0.4369505890973329","0.5450462148770326","3265","3265","3265","0.49645865777376486","0.44896431327516256","0.5783041996419516","6517","6517","6517","0.48685348201691586","0.47139975022540553","0.5234159655537967","6517","6517","6517"
"3501","0.49908096702004334","0.4488084049122893","0.5425277438653104","3516","3516","3516","0.49530438903609675","0.4512624505455654","0.5779060377144452","7018","7018","7018","0.4881491213552797","0.4697224081845781","0.5217078567169976","7018","7018","7018"
