"stage2/step","Group: Ours_MSE_Simple_cauchy - stage2/mcc_pearson","Group: Ours_MSE_Simple_cauchy - stage2/mcc_pearson__MIN","Group: Ours_MSE_Simple_cauchy - stage2/mcc_pearson__MAX","Group: Ours_MSE_Simple_cauchy - _step","Group: Ours_MSE_Simple_cauchy - _step__MIN","Group: Ours_MSE_Simple_cauchy - _step__MAX","Group: Ours_MSE_Complicate_cauchy - stage2/mcc_pearson","Group: Ours_MSE_Complicate_cauchy - stage2/mcc_pearson__MIN","Group: Ours_MSE_Complicate_cauchy - stage2/mcc_pearson__MAX","Group: Ours_MSE_Complicate_cauchy - _step","Group: Ours_MSE_Complicate_cauchy - _step__MIN","Group: Ours_MSE_Complicate_cauchy - _step__MAX","Group: Ours_Simple_cauchy - stage2/mcc_pearson","Group: Ours_Simple_cauchy - stage2/mcc_pearson__MIN","Group: Ours_Simple_cauchy - stage2/mcc_pearson__MAX","Group: Ours_Simple_cauchy - _step","Group: Ours_Simple_cauchy - _step__MIN","Group: Ours_Simple_cauchy - _step__MAX","Group: Ours_Complicate_cauchy - stage2/mcc_pearson","Group: Ours_Complicate_cauchy - stage2/mcc_pearson__MIN","Group: Ours_Complicate_cauchy - stage2/mcc_pearson__MAX","Group: Ours_Complicate_cauchy - _step","Group: Ours_Complicate_cauchy - _step__MIN","Group: Ours_Complicate_cauchy - _step__MAX"
"1","0.5329899798944479","0.3400357693555262","0.7014880125609665","20048","20048","20048","0.3102595025101772","0.12289562384412048","0.47712885084658146","20047.2","20046","20048","0.5817681519369157","0.34631303518543066","0.8689518864731891","20048","20048","20048","0.451830019179752","0.25398531683424014","0.5757722437133073","20047.2","20046","20048"
"251","0.5314091491738429","0.3340620002910862","0.6805822108580326","20301","20301","20301","0.29952810460402807","0.20829734101198888","0.4262490159629567","20300.2","20299","20301","0.562917685116028","0.3337101070031426","0.6834322364815427","20301","20301","20301","0.48142339759102726","0.285216334362103","0.5856626243243543","20300.2","20299","20301"
"501","0.48576640642656344","0.2891703284681512","0.6285699431533059","20554","20554","20554","0.27504403592974175","0.1018680044085725","0.3905756457894486","20553.2","20552","20554","0.6541775652671026","0.5230916345357131","0.8627721690582052","20554","20554","20554","0.4439924986265312","0.11302142542438895","0.6418572378318195","20553.2","20552","20554"
"751","0.5225553113732887","0.45749263554676745","0.6937476148019135","20807","20807","20807","0.2723553533783273","0.13853415312303763","0.516062202703405","20806.2","20805","20807","0.6026405026360128","0.48922650884871927","0.6791700063061737","20807","20807","20807","0.5121267724858429","0.23247888642092057","0.6227467449709039","20806.2","20805","20807"
"1001","0.5133259312823826","0.3709793589712657","0.7193154595046569","21060","21060","21060","0.2789722211411986","0.154808894320208","0.3898846077726462","21059.2","21058","21060","0.5872400092945833","0.3719849845822794","0.7476334631155545","21060","21060","21060","0.4885733360836535","0.3147160555146705","0.6298521017622073","21059.2","21058","21060"
"1251","0.4835963715349386","0.34469043782134273","0.584065416917044","21313","21313","21313","0.29465261058246955","0.21380429310754998","0.36995759687749763","21312.2","21311","21313","0.6260333078070175","0.3849798412862606","0.8182150657993538","21313","21313","21313","0.4815036071701468","0.3392583987140806","0.6119513019366333","21312.2","21311","21313"
"1501","0.5107988473560824","0.34756994957984594","0.7717684837155416","21566","21566","21566","0.2805567844558351","0.15050346639372975","0.4197728494983391","21565.2","21564","21566","0.6607434733910356","0.3447523568050466","0.9149949659914981","21566","21566","21566","0.45025953857503287","0.30540194721874664","0.5984096109741984","21565.2","21564","21566"
"1751","0.5337536147966697","0.3555726969140134","0.7713051354568985","21819","21819","21819","0.27644196620550787","0.10093593160834458","0.40899079901279994","21818.2","21817","21819","0.6437735618465162","0.40506253972852085","0.9419401146750136","21819","21819","21819","0.4752028042283608","0.1795645511153333","0.5842988078433506","21818.2","21817","21819"
"2001","0.5261932208257524","0.33415815651762076","0.7721297487067029","22072","22072","22072","0.2849761353231336","0.1732691667549377","0.37631112431593305","22071.2","22070","22072","0.6573319277511952","0.3916035856732288","0.9202164243388712","22072","22072","22072","0.5254856327754694","0.45049769134391215","0.6141860289888486","22071.2","22070","22072"
"2251","0.4598607200023145","0.3375547382942929","0.5655082688951528","22325","22325","22325","0.2622489778356787","0.16376217434321044","0.3739176802208754","22324.2","22323","22325","0.6835629701968463","0.4310288932057605","0.9736016577938521","22325","22325","22325","0.5099417052694235","0.41141922607139014","0.5791217601067846","22324.2","22323","22325"
"2501","0.4768674916135155","0.39024790466887066","0.6214330213622424","22578","22578","22578","0.2637303580568929","0.1690635385454182","0.41233223027068266","22577.2","22576","22578","0.6781460364443154","0.5423424072805426","0.8526915337809449","22578","22578","22578","0.4738608945525281","0.25638842951489726","0.6105858230406903","22577.2","22576","22578"
"2751","0.5005370418176701","0.3680547793185301","0.7236037709082682","22831","22831","22831","0.242032301328724","0.11109027187119289","0.344493308729363","22830.2","22829","22831","0.6380619489938486","0.4316243632496664","0.7961358727120177","22831","22831","22831","0.49750259076267833","0.2861383900235951","0.6518444582759215","22830.2","22829","22831"
"3001","0.44638044930774495","0.3462168972159749","0.532216483912454","23084","23084","23084","0.2417422929671213","0.11113281535907589","0.3211581195438841","23083.2","23082","23084","0.6376652788923897","0.43030481991589503","0.9230398212561308","23084","23084","23084","0.44543911798752334","0.12434339958524157","0.6647412304159641","23083.2","23082","23084"
"3251","0.46988368317496876","0.33348206507479744","0.6128339944377338","23337","23337","23337","0.25080286980143757","0.14307171287543902","0.37189035011902655","23336.2","23335","23337","0.604334810123978","0.3362083679624415","0.8026400884531538","23337","23337","23337","0.4923601762784391","0.32254826044099827","0.6684009030654628","23336.2","23335","23337"
"3501","0.47693485195263274","0.38118170352068614","0.7013428648856516","23590","23590","23590","0.2637816252448681","0.14755162362528684","0.38812790710103656","23589.2","23588","23590","0.6460848109767264","0.4251742553213443","0.8030597993074235","23590","23590","23590","0.4956646662244818","0.10545583583072224","0.7044776419292123","23589.2","23588","23590"
"3751","0.47652685793765226","0.33532676205360695","0.7447845991684264","23843","23843","23843","0.27744692465005516","0.11762232675205568","0.3936877514636531","23842.2","23841","23843","0.6323124771458808","0.3579589309169271","0.9636022211383107","23843","23843","23843","0.5376102875908841","0.3527272098942351","0.6846732734727501","23842.2","23841","23843"
"4001","0.5052297356486875","0.3113172656365913","0.6793296229137589","24096","24096","24096","0.24695585584665714","0.11041849034486088","0.4183877847609824","24095.2","24094","24096","0.6748280414644804","0.5903681921454972","0.7738757102650334","24096","24096","24096","0.4678565482412436","0.20330541885613035","0.6809009449860365","24095.2","24094","24096"
"4251","0.4584957343214782","0.3416090462333248","0.6434375655180613","24349","24349","24349","0.2624934255484178","0.14271438685943236","0.39804068629644773","24348.2","24347","24349","0.6825054641118756","0.36962985601209875","0.9098926608660091","24349","24349","24349","0.47695733228246767","0.25977237909582596","0.6058786208601546","24348.2","24347","24349"
