"stage2/step","Group: Ours_BN_Simple_cauchy - stage2/mcc_pearson","Group: Ours_BN_Simple_cauchy - stage2/mcc_pearson__MIN","Group: Ours_BN_Simple_cauchy - stage2/mcc_pearson__MAX","Group: Ours_BN_Simple_cauchy - _step","Group: Ours_BN_Simple_cauchy - _step__MIN","Group: Ours_BN_Simple_cauchy - _step__MAX","Group: Ours_BN_Complicate_cauchy - stage2/mcc_pearson","Group: Ours_BN_Complicate_cauchy - stage2/mcc_pearson__MIN","Group: Ours_BN_Complicate_cauchy - stage2/mcc_pearson__MAX","Group: Ours_BN_Complicate_cauchy - _step","Group: Ours_BN_Complicate_cauchy - _step__MIN","Group: Ours_BN_Complicate_cauchy - _step__MAX","Group: Ours_Simple_cauchy - stage2/mcc_pearson","Group: Ours_Simple_cauchy - stage2/mcc_pearson__MIN","Group: Ours_Simple_cauchy - stage2/mcc_pearson__MAX","Group: Ours_Simple_cauchy - _step","Group: Ours_Simple_cauchy - _step__MIN","Group: Ours_Simple_cauchy - _step__MAX","Group: Ours_Complicate_cauchy - stage2/mcc_pearson","Group: Ours_Complicate_cauchy - stage2/mcc_pearson__MIN","Group: Ours_Complicate_cauchy - stage2/mcc_pearson__MAX","Group: Ours_Complicate_cauchy - _step","Group: Ours_Complicate_cauchy - _step__MIN","Group: Ours_Complicate_cauchy - _step__MAX"
"2501","0.5398497608458636","0.4170408316028462","0.738699355208167","22578","22578","22578","0.17473600751519927","0.06279909700702621","0.3060776316419839","22577.2","22576","22578","0.6781460364443154","0.5423424072805426","0.8526915337809449","22578","22578","22578","0.4738608945525281","0.25638842951489726","0.6105858230406903","22577.2","22576","22578"
"2751","0.531927716536299","0.34372415302214493","0.7612757063983705","22831","22831","22831","0.14090889095590092","0.07165874516508423","0.2435971775476577","22830.2","22829","22831","0.6380619489938486","0.4316243632496664","0.7961358727120177","22831","22831","22831","0.49750259076267833","0.2861383900235951","0.6518444582759215","22830.2","22829","22831"
"3001","0.5683300258004742","0.35693438380516396","0.6585423441887531","23084","23084","23084","0.13245072115920875","0.05646040897967417","0.25373781148503627","23083.2","23082","23084","0.6376652788923897","0.43030481991589503","0.9230398212561308","23084","23084","23084","0.44543911798752334","0.12434339958524157","0.6647412304159641","23083.2","23082","23084"
"3251","0.5114678973240245","0.33567623057505686","0.7144095637296822","23337","23337","23337","0.12781652277743757","0.05914012459794177","0.2647169349002783","23336.2","23335","23337","0.604334810123978","0.3362083679624415","0.8026400884531538","23337","23337","23337","0.4923601762784391","0.32254826044099827","0.6684009030654628","23336.2","23335","23337"
"3501","0.5298440337983769","0.3336830612152639","0.7031904900323515","23590","23590","23590","0.13370025466553184","0.05380083616283976","0.265524628898205","23589.2","23588","23590","0.6460848109767264","0.4251742553213443","0.8030597993074235","23590","23590","23590","0.4956646662244818","0.10545583583072224","0.7044776419292123","23589.2","23588","23590"
"3751","0.4925039932164769","0.3163341113721833","0.6686747810219034","23843","23843","23843","0.14871382586841528","0.05838158858186465","0.33087335705387577","23842.2","23841","23843","0.6323124771458808","0.3579589309169271","0.9636022211383107","23843","23843","23843","0.5376102875908841","0.3527272098942351","0.6846732734727501","23842.2","23841","23843"
"4001","0.5431139851824108","0.4126992619462691","0.6771778729806793","24096","24096","24096","0.1575212493061588","0.05288160051079442","0.37245768415406133","24095.2","24094","24096","0.6748280414644804","0.5903681921454972","0.7738757102650334","24096","24096","24096","0.4678565482412436","0.20330541885613035","0.6809009449860365","24095.2","24094","24096"
"4251","0.5087721535126853","0.3463242963615729","0.7057562284411777","24349","24349","24349","0.16185215941743075","0.06243627465501047","0.3052140610111135","24348.2","24347","24349","0.6825054641118756","0.36962985601209875","0.9098926608660091","24349","24349","24349","0.47695733228246767","0.25977237909582596","0.6058786208601546","24348.2","24347","24349"
"4501","0.569503516015828","0.39664957590258293","0.7855760797004225","24602","24602","24602","0.16346541797825923","0.058905497359834726","0.27895415019262637","24601.2","24600","24602","0.609089916570207","0.42441323427243205","0.6954652493314549","24602","24602","24602","0.4494681553135426","0.26906790411040205","0.5566384175082342","24601.2","24600","24602"
"4751","0.47898824035112647","0.3333799341741806","0.6057843889763844","24855","24855","24855","0.19081776671046174","0.04587717247829899","0.39489063652692113","24854.2","24853","24855","0.5876245725916649","0.3906671614989805","0.9675977467153701","24855","24855","24855","0.5387843378466683","0.23374624305745817","0.6577811307048378","24854.2","24853","24855"
"5001","0.56167851492795","0.3573363241322471","0.8064639805913307","25108","25108","25108","0.14374555514850682","0.06603061257255197","0.32270528773857005","25107.2","25106","25108","0.6542055321693727","0.3720583777024132","0.8688216610184555","25108","25108","25108","0.45637564628780397","0.17777805500333985","0.6860152519435019","25107.2","25106","25108"
"5251","0.5440675120790155","0.36436814435421877","0.7287417203829905","25361","25361","25361","0.1243097775987511","0.054902571005682056","0.27625410155272007","25360.2","25359","25361","0.6446867144970603","0.5347684330023769","0.9201310497386895","25361","25361","25361","0.5339009160756447","0.416025005809286","0.6932105809637543","25360.2","25359","25361"
"5501","0.4753926278680029","0.34307910196699637","0.5909386836411891","25614","25614","25614","0.14667600950985943","0.07538021434968203","0.2958440161856112","25613.2","25612","25614","0.6469271685959007","0.40044928937347307","0.887025306017371","25614","25614","25614","0.5482770155926759","0.3337298669698641","0.6269392486774045","25613.2","25612","25614"
"5751","0.543139010014319","0.3498332059021812","0.6530917417099554","25867","25867","25867","0.17364980957550372","0.06889429615512123","0.2836745793399814","25866.2","25865","25867","0.6900009327440845","0.4109809052717277","0.9403821698557717","25867","25867","25867","0.5078916616946095","0.3101262632514977","0.7361359370781145","25866.2","25865","25867"
"6001","0.5132974507663368","0.38702594887558844","0.8110273889484741","26120","26120","26120","0.14465773435953028","0.052513894370863845","0.2228474746363382","26119.2","26118","26120","0.6821712036405949","0.391760031287139","0.9006406913597353","26120","26120","26120","0.5448141534842292","0.4106281739566951","0.6851485045653798","26119.2","26118","26120"
"6251","0.5898897624702849","0.36329737176741195","0.9008776390635166","26373","26373","26373","0.16603381253274158","0.059563319958857476","0.33915866661512517","26372.2","26371","26373","0.6507022811822827","0.4385511631248817","0.9757011845295397","26373","26373","26373","0.5352712261691763","0.38223576308293705","0.6798829545451014","26372.2","26371","26373"
"6501","0.5167550216560789","0.3542580146232706","0.8018171373234195","26626","26626","26626","0.12063419896326062","0.06023371192866529","0.25788495463027317","26625.2","26624","26626","0.6952969384733547","0.46857920223899274","0.8883330971115683","26626","26626","26626","0.5325293752364909","0.3334097060236247","0.750190426543014","26625.2","26624","26626"
"6751","0.5119592821531185","0.38337337726284954","0.6520114189812648","26879","26879","26879","0.17800751125460476","0.050675414455988485","0.39119846258659163","26878.2","26877","26879","0.7508237765624097","0.40423840335989203","0.9615710190145185","26879","26879","26879","0.5381252450799837","0.3880164819590082","0.6536836240633287","26878.2","26877","26879"
"7001","0.5111117348438625","0.3486413157847705","0.6275178347576108","27132","27132","27132","0.14281890877464493","0.06628809159901385","0.26535048361649205","27131.2","27130","27132","0.7133675898057608","0.39045413902203446","0.9841796115436418","27132","27132","27132","0.49804839636949483","0.15105176157517422","0.6633955099839777","27131.2","27130","27132"
"7251","0.5297824322541045","0.3018041095551814","0.9137026486381071","27385","27385","27385","0.13093927928413834","0.06577323800407846","0.24444826776112194","27384.2","27383","27385","0.6883262911586845","0.4180494368077476","0.8533008977013212","27385","27385","27385","0.5423185070372929","0.3499742764571014","0.660343235437173","27384.2","27383","27385"
"7501","0.49144992365573514","0.29754675182425244","0.7193456987884582","27638","27638","27638","0.15854342718855996","0.05899699094982909","0.2960499997196099","27637.2","27636","27638","0.644990214580307","0.45541573700260646","0.7948235956615339","27638","27638","27638","0.5143037444092435","0.2870826633931913","0.6518123831110603","27637.2","27636","27638"
"7751","0.5284008789260519","0.3602255372673579","0.7414596884905883","27891","27891","27891","0.11181377961380838","0.05626800237121084","0.163477165763334","27890.2","27889","27891","0.7146275639618223","0.48528008296379427","0.9413091916910759","27891","27891","27891","0.5512813326302949","0.34345226481481833","0.6438902347484088","27890.2","27889","27891"
"8001","0.5122210172614676","0.3499874542012673","0.7269642440563201","28144","28144","28144","0.13366282305094018","0.05224160144897827","0.32689931055569527","28143.2","28142","28144","0.6723205030064955","0.5359139869134392","0.9398217250037111","28144","28144","28144","0.5462858800607171","0.3793274512589845","0.6151308384649428","28143.2","28142","28144"
