"Step","Group: VaDE_Simple_gumbel - stage1/eval_r2","Group: VaDE_Simple_gumbel - stage1/eval_r2__MIN","Group: VaDE_Simple_gumbel - stage1/eval_r2__MAX","Group: Danru_Simple_gumbel - stage1/eval_r2_standard","Group: Danru_Simple_gumbel - stage1/eval_r2_standard__MIN","Group: Danru_Simple_gumbel - stage1/eval_r2_standard__MAX","Group: Ours_Simple_gumbel - stage1/eval_r2_standard","Group: Ours_Simple_gumbel - stage1/eval_r2_standard__MIN","Group: Ours_Simple_gumbel - stage1/eval_r2_standard__MAX"
"10043","0.5953457069823613","0.4331960987417341","0.6888906119922923","","","","","",""
"20044","","","","0.8415095196999667","0.6162438780122739","0.9457908595709913","0.9581634852135897","0.9296682221882566","0.9783517628828999"
