"stage1/step","Group: Danru_Complicate_cauchy - stage1/mcc_spearman","Group: Danru_Complicate_cauchy - stage1/mcc_spearman__MIN","Group: Danru_Complicate_cauchy - stage1/mcc_spearman__MAX","Group: Danru_Complicate_cauchy - _step","Group: Danru_Complicate_cauchy - _step__MIN","Group: Danru_Complicate_cauchy - _step__MAX","Group: Danru_Complicate_gumbel - stage1/mcc_spearman","Group: Danru_Complicate_gumbel - stage1/mcc_spearman__MIN","Group: Danru_Complicate_gumbel - stage1/mcc_spearman__MAX","Group: Danru_Complicate_gumbel - _step","Group: Danru_Complicate_gumbel - _step__MIN","Group: Danru_Complicate_gumbel - _step__MAX","Group: Danru_Complicate_gauss - stage1/mcc_spearman","Group: Danru_Complicate_gauss - stage1/mcc_spearman__MIN","Group: Danru_Complicate_gauss - stage1/mcc_spearman__MAX","Group: Danru_Complicate_gauss - _step","Group: Danru_Complicate_gauss - _step__MIN","Group: Danru_Complicate_gauss - _step__MAX","Group: Danru_Simple_cauchy - stage1/mcc_spearman","Group: Danru_Simple_cauchy - stage1/mcc_spearman__MIN","Group: Danru_Simple_cauchy - stage1/mcc_spearman__MAX","Group: Danru_Simple_cauchy - _step","Group: Danru_Simple_cauchy - _step__MIN","Group: Danru_Simple_cauchy - _step__MAX","Group: Danru_Simple_gumbel - stage1/mcc_spearman","Group: Danru_Simple_gumbel - stage1/mcc_spearman__MIN","Group: Danru_Simple_gumbel - stage1/mcc_spearman__MAX","Group: Danru_Simple_gumbel - _step","Group: Danru_Simple_gumbel - _step__MIN","Group: Danru_Simple_gumbel - _step__MAX","Group: Danru_Simple_gauss - stage1/mcc_spearman","Group: Danru_Simple_gauss - stage1/mcc_spearman__MIN","Group: Danru_Simple_gauss - stage1/mcc_spearman__MAX","Group: Danru_Simple_gauss - _step","Group: Danru_Simple_gauss - _step__MIN","Group: Danru_Simple_gauss - _step__MAX"
"1","0.23354334533913038","0.20891558950939743","0.27110882007155784","4","4","4","0.39514409096145076","0.35464576922224084","0.44054602547185573","4","4","4","0.39120338851122793","0.34972607350886004","0.42513330112250874","4","4","4","0.4157696787096527","0.3089969372975799","0.5537306109069063","4","4","4","0.5573758241566968","0.4991281115280593","0.6484505070484986","4","4","4","0.5001761036641319","0.4033605190336805","0.5850955824591663","4","4","4"
"251","0.23744124368533798","0.13720706202950644","0.33173689613253265","505","505","505","0.49692184695306263","0.4422378523324347","0.5882204027601656","505","505","505","0.4843696418797797","0.45606678105052056","0.521246400675287","505","505","505","0.5631790973228603","0.5321143194145989","0.6004192846931485","505","505","505","0.6562688703806467","0.5117870558566643","0.718433840930015","505","505","505","0.6622012573553436","0.42821691050314686","0.7472408759454031","505","505","505"
"501","0.2473157517044789","0.11224003054808644","0.3410347626074612","1006","1006","1006","0.4983571680360653","0.4404766527951134","0.5946951461006573","1006","1006","1006","0.49293314641584757","0.459872909415434","0.5273214550250096","1006","1006","1006","0.5620760433204903","0.48792043080494013","0.6172246273470385","1006","1006","1006","0.6579999653164523","0.5122272053076814","0.7203942199970471","1006","1006","1006","0.6635580154995959","0.44119990928935593","0.7469514204618682","1006","1006","1006"
"751","0.24770112217561574","0.10916247926259923","0.3037358397703514","1507","1507","1507","0.5008189642850859","0.4418861539396297","0.5981710546476149","1507","1507","1507","0.49509748187624963","0.46228693121650083","0.5291592775568874","1507","1507","1507","0.5406656048722881","0.4459889909309192","0.6105944119810832","1507","1507","1507","0.6558975834417585","0.4995841401780312","0.7148305631200822","1507","1507","1507","0.6601763433046232","0.4412102861878167","0.7437881808986235","1507","1507","1507"
"1001","0.24747061806555704","0.1427313933653193","0.29121215068825024","2008","2008","2008","0.500492521289765","0.4448299294682685","0.5929455424856134","2008","2008","2008","0.49850425862979186","0.46641195459310314","0.5292823837485936","2008","2008","2008","0.5464670885641224","0.48426385868717264","0.6068552847546873","2008","2008","2008","0.6567467073230814","0.5023786488839949","0.7168199948961315","2008","2008","2008","0.6607631016726527","0.45515813893395746","0.7439357796391334","2008","2008","2008"
"1251","0.24601478469760507","0.14108394599936194","0.28613705540890455","2509","2509","2509","0.49995609824164955","0.4450877259350725","0.5869526239250485","2509","2509","2509","0.498377183579395","0.46447895389574834","0.5271479840579149","2509","2509","2509","0.5398171319068453","0.4225810069333833","0.598167154610151","2509","2509","2509","0.6585572864817306","0.5143309425409742","0.7176085449988149","2509","2509","2509","0.6582212418344897","0.4488968637839883","0.7395091847064141","2509","2509","2509"
"1501","0.24685225504033065","0.1373955007829338","0.30627491072480223","3010","3010","3010","0.4986902867534062","0.44536004303080823","0.5875882217914239","3010","3010","3010","0.4971994019774451","0.4622806233811881","0.5288775796246058","3010","3010","3010","0.5428298202087292","0.499818253727282","0.5787320509117909","3010","3010","3010","0.6572909790366663","0.501563600019927","0.7172741817594271","3010","3010","3010","0.6569603442253659","0.4504227421516757","0.7377385661769377","3010","3010","3010"
"1751","0.24390532066955775","0.08720683124455822","0.3075778583995292","3511","3511","3511","0.49872084591378807","0.4469836321271622","0.5892901672265946","3511","3511","3511","0.4986167135575106","0.4669964827317766","0.5279965851845078","3511","3511","3511","0.5415054651090572","0.47579160945716276","0.580430813463792","3511","3511","3511","0.6566487126526461","0.5058180450574771","0.7158918401915217","3511","3511","3511","0.6554300522293353","0.44988891707763545","0.7381337478383756","3511","3511","3511"
"2001","0.245992341057608","0.08955538254001605","0.3107247095925266","4012","4012","4012","0.4963160755680673","0.4482134968121153","0.5824914904095789","4012","4012","4012","0.4996335609023544","0.4699594764822632","0.5256262211523127","4012","4012","4012","0.5489277487320638","0.40799284475252434","0.6125714276525828","4012","4012","4012","0.6562235026369813","0.5091305561619709","0.7217148345022485","4012","4012","4012","0.6533702814732951","0.45808755014799746","0.7344842480037439","4012","4012","4012"
"2251","0.23476262768377584","0.0842042402552994","0.310763396692291","4513","4513","4513","0.49760717566556123","0.4440875694110803","0.5796590734501608","4513","4513","4513","0.49913855696111115","0.46394284836397137","0.5261034573892914","4513","4513","4513","0.55288887955975","0.4995163656489447","0.5983663986045591","4513","4513","4513","0.6552845035586395","0.503531819489999","0.71728535323157","4513","4513","4513","0.651870469352203","0.45145353227252283","0.7322590005253065","4513","4513","4513"
"2501","0.22469368892736935","0.09866915313004428","0.307131366538775","5014","5014","5014","0.4959665607818963","0.4448918130101428","0.5843704243744396","5014","5014","5014","0.5010037599405132","0.4695586177405485","0.5331976994776018","5014","5014","5014","0.5563805927999191","0.5242435363106986","0.598569807968625","5014","5014","5014","0.6536285040437518","0.5063072003113375","0.7107736626403783","5014","5014","5014","0.6490893129492168","0.4402209544109567","0.7288393430968912","5014","5014","5014"
"2751","0.2249804332888672","0.09881410427999213","0.3016293004567691","5515","5515","5515","0.4955821053652311","0.44706316724481876","0.5811617006274518","5515","5515","5515","0.5003194716332003","0.466866270569213","0.5312081023615509","5515","5515","5515","0.5464280739187013","0.4643170568019717","0.5917821853936216","5515","5515","5515","0.6537243054573401","0.5121924151015226","0.7133016458259115","5515","5515","5515","0.6481563766540389","0.44377298758479666","0.725586057897761","5515","5515","5515"
"3001","0.23068888915585464","0.14324403694380072","0.30048635229942583","6016","6016","6016","0.4971237418500426","0.44958363186015315","0.5781031514896391","6016","6016","6016","0.49851950616671203","0.4608186076085892","0.5226621465036029","6016","6016","6016","0.5418938294064811","0.4404404501608745","0.5954050028707992","6016","6016","6016","0.6520130137919917","0.5036985345598088","0.7135799440484812","6016","6016","6016","0.6479636506811155","0.44667274211461344","0.7237501222452529","6016","6016","6016"
"3251","0.22529152172848113","0.1279027719083488","0.3093610688982668","6517","6517","6517","0.49645865777376486","0.44896431327516256","0.5783041996419516","6517","6517","6517","0.49727569159623675","0.45927905761852095","0.5330983164979148","6517","6517","6517","0.5222522110155612","0.2818367045795917","0.5955674037028076","6517","6517","6517","0.6504293695468737","0.4959651161332923","0.7118609110165058","6517","6517","6517","0.6466479831824025","0.44713398202876947","0.7233045548826601","6517","6517","6517"
"3501","0.2263063459777741","0.11989183672204326","0.30192179446480893","7018","7018","7018","0.49530438903609675","0.4512624505455654","0.5779060377144452","7018","7018","7018","0.4985825556265434","0.45882043908721093","0.5264044982588666","7018","7018","7018","0.5173321521478844","0.31535657076979745","0.6039991702827963","7018","7018","7018","0.6509915178182781","0.5169246387606943","0.7017185945735062","7018","7018","7018","0.6468930809483321","0.4446945187477878","0.7210959670702645","7018","7018","7018"
"3751","0.22830810221417872","0.1042213968861602","0.30170857194822603","7519","7519","7519","0.49519388877918624","0.44191042930358837","0.580387385489191","7519","7519","7519","0.49843273687829426","0.4624850763298398","0.5239468186514695","7519","7519","7519","0.5097149408293892","0.287414106698049","0.6214655761658631","7519","7519","7519","0.6500569958385058","0.5118225707751966","0.7078434114882111","7519","7519","7519","0.6455459086590399","0.4438338728466271","0.7224820967940729","7519","7519","7519"
"4001","0.22981270793348335","0.13015214361784283","0.3035384096882499","8020","8020","8020","0.49463046464633376","0.44830968210651284","0.5729790906991099","8020","8020","8020","0.49817185157858235","0.4664090359440509","0.5279017889028955","8020","8020","8020","0.51380033160219","0.2706290069112674","0.6163113610130674","8020","8020","8020","0.6489602000399594","0.5076868101415354","0.7079330081722216","8020","8020","8020","0.6457532687787741","0.44748919073001064","0.7206579634528287","8020","8020","8020"
"4251","0.23673387753190092","0.1406167957395977","0.3019506590184606","8521","8521","8521","0.4937764322584043","0.44874727317111474","0.5754669556124822","8521","8521","8521","0.497809467590099","0.46076859646276286","0.5276552094116665","8521","8521","8521","0.5096378783420444","0.2657520831689117","0.6312877369876987","8521","8521","8521","0.6466719917493886","0.5019346629462086","0.7007065851799048","8521","8521","8521","0.6437004878715262","0.44179827901054286","0.7169058920566346","8521","8521","8521"
"4501","0.23672605383841355","0.13603094147182115","0.3007546290367431","9022","9022","9022","0.49342852097573164","0.4461360136191163","0.5728685692433548","9022","9022","9022","0.4978138403175564","0.4574324314953776","0.5255941808134168","9022","9022","9022","0.521838618931073","0.2817838356731572","0.6293365118586446","9022","9022","9022","0.6466649603277503","0.5087716335539273","0.6982850393299032","9022","9022","9022","0.6425931160592298","0.44023093666843116","0.7142903604265323","9022","9022","9022"
"4751","0.23644116099317744","0.1693041343951479","0.2958322343274935","9523","9523","9523","0.4952915536732653","0.4539404274673071","0.5737087633273524","9523","9523","9523","0.49630200801221536","0.4604340817993859","0.526215954486889","9523","9523","9523","0.521056180891825","0.33461075988668965","0.6163285269011914","9523","9523","9523","0.6462109048883333","0.502466350043119","0.7033036303596812","9523","9523","9523","0.6421016382095999","0.44084633378832844","0.7136831407316544","9523","9523","9523"
"5001","0.2275183485083391","0.14408140052567925","0.2857478783408174","10024","10024","10024","0.49219730292192815","0.44813831454058556","0.5729030454461368","10024","10024","10024","0.4968913708259091","0.4580382643296345","0.5282699843436524","10024","10024","10024","0.5177985290557874","0.2775655658522646","0.6209665335996729","10024","10024","10024","0.6455580057282759","0.5098633079352278","0.6985705273847023","10024","10024","10024","0.6416289111735838","0.43889691205887127","0.7134066696865272","10024","10024","10024"
"5251","0.2285132377877471","0.14576275274629355","0.2966369714960358","10525","10525","10525","0.4945957444806752","0.45308245315128437","0.5744327995267099","10525","10525","10525","0.497937678107338","0.4623280234871673","0.5277150057713418","10525","10525","10525","0.506389067897439","0.2894345694924785","0.6056547485819944","10525","10525","10525","0.6440009907817114","0.49914059612326006","0.695692780875615","10525","10525","10525","0.6406422978502441","0.4430757484700165","0.7125065051289372","10525","10525","10525"
"5501","0.23474228081455775","0.13868203838940096","0.291628680537129","11026","11026","11026","0.4922092242161515","0.44805099963446116","0.5735827874561754","11026","11026","11026","0.4952725636884593","0.46670752776928326","0.521223884471133","11026","11026","11026","0.5173162534746963","0.2845000290451784","0.6413010103802822","11026","11026","11026","0.6430089306578156","0.4982380257847103","0.692722884049802","11026","11026","11026","0.6400862718651752","0.43425076768970877","0.7146376887194362","11026","11026","11026"
"5751","0.2329027178951612","0.1296039705280747","0.3016060743974367","11527","11527","11527","0.4921077859003007","0.45291866690210336","0.5718642149895773","11527","11527","11527","0.49518656169309566","0.4608480036967286","0.5247532588812744","11527","11527","11527","0.4994487218799499","0.282680339598439","0.6260421279742778","11527","11527","11527","0.6437785701835925","0.5021141837894345","0.6954500945219381","11527","11527","11527","0.6397304784000307","0.44405331930344655","0.7102262910204655","11527","11527","11527"
"6001","0.2350465745824808","0.1344697675250869","0.29336912228199513","12028","12028","12028","0.4913536861225949","0.44696705270655324","0.5719033331895632","12028","12028","12028","0.4957054162696955","0.4561733424712326","0.5208899650876105","12028","12028","12028","0.4864159116973594","0.2902142469575229","0.6146349626810544","12028","12028","12028","0.6415723300971868","0.4917948809008362","0.6939999563421333","12028","12028","12028","0.6388985348268724","0.4379277801369727","0.708522842583614","12028","12028","12028"
"6251","0.2364254082270701","0.16178616705398202","0.29530983511680475","12529","12529","12529","0.49147930766553427","0.4495994049723245","0.5711425376016701","12529","12529","12529","0.49556461255057516","0.46136999316933586","0.5239713193016129","12529","12529","12529","0.4950081295518842","0.33900738546117926","0.6202389702631185","12529","12529","12529","0.6412425656248844","0.4940030494255477","0.6924511285597402","12529","12529","12529","0.6384155158250577","0.43863799015321286","0.7139090853010431","12529","12529","12529"
"6501","0.24025464362519022","0.16801247503752476","0.30647152810551964","13030","13030","13030","0.4924555688931762","0.4517706259144629","0.5699021030138106","13030","13030","13030","0.4955772912035264","0.46259495859887495","0.5255946357821022","13030","13030","13030","0.49088939410295457","0.3013731798279734","0.6419995259951318","13030","13030","13030","0.640378544683063","0.4930181041984592","0.6907596960267686","13030","13030","13030","0.6394719705857744","0.4497239983205741","0.7067568867742193","13030","13030","13030"
"6751","0.22645249981953003","0.1502547526678884","0.28511406307100784","13531","13531","13531","0.49141850207774995","0.45013241044646135","0.5708471837506265","13531","13531","13531","0.4951531025164352","0.45690110427528274","0.5257523669885751","13531","13531","13531","0.5053865871090639","0.3207167845956762","0.6410423669653139","13531","13531","13531","0.6404241212370986","0.49857888326522143","0.6872411647807309","13531","13531","13531","0.637657540072986","0.4383606193694399","0.7069451655024737","13531","13531","13531"
"7001","0.22866722095442826","0.14850816482452286","0.278893959786075","14032","14032","14032","0.4899178616159732","0.4444752762708416","0.5701796796983708","14032","14032","14032","0.49395320688348665","0.45181449545432234","0.5231152933544572","14032","14032","14032","0.5197795660354507","0.40768028123645056","0.6580553934645038","14032","14032","14032","0.63859638347736","0.48882330915604594","0.6864622664533999","14032","14032","14032","0.636205979042967","0.43191223706932574","0.7037119907634564","14032","14032","14032"
"7251","0.23444430719258472","0.1680249788664218","0.2857780247306535","14533","14533","14533","0.48997489109917947","0.44701483708105705","0.5669700654342837","14533","14533","14533","0.49303672117617436","0.4556001623467824","0.5257236566237606","14533","14533","14533","0.5225335010551859","0.4026196350254607","0.6413874866002122","14533","14533","14533","0.6397337079627479","0.49651421131467927","0.6865690342692595","14533","14533","14533","0.6362272938497893","0.4399781160512009","0.7026594463974872","14533","14533","14533"
"7501","0.22813105699482664","0.15171475037767626","0.2860884148946362","15034","15034","15034","0.488945247381711","0.4464796630277177","0.5669261680667443","15034","15034","15034","0.4938605454961901","0.4547096979434304","0.5190908233635975","15034","15034","15034","0.5181261245182359","0.36668730737395583","0.598496263542994","15034","15034","15034","0.6393146391478072","0.49461004121554275","0.6860346113664093","15034","15034","15034","0.635710234045997","0.4371963936828029","0.701372478764601","15034","15034","15034"
"7751","0.24767026108931436","0.1899051374452015","0.300011213129552","15535","15535","15535","0.4889416094200455","0.44348405812835595","0.5680619588713144","15535","15535","15535","0.49315598177916414","0.4605377729298682","0.5165241880925595","15535","15535","15535","0.507249227092265","0.35922502914304255","0.5914982565934034","15535","15535","15535","0.638256247057569","0.49558025008004886","0.6850095360525589","15535","15535","15535","0.6344047024019073","0.4304268345900943","0.7019229515782888","15535","15535","15535"
"8001","0.24326199937183673","0.18965500282878148","0.2964255648824419","16036","16036","16036","0.4886566972306647","0.44307379943472736","0.5656145610566311","16036","16036","16036","0.49304183346051345","0.45594045007251427","0.5212664305886664","16036","16036","16036","0.5103906690845436","0.33993661384323604","0.5979060427345179","16036","16036","16036","0.6368929904694958","0.4818978455094946","0.6847597596111497","16036","16036","16036","0.6337475764208506","0.4282596792644153","0.703223318540312","16036","16036","16036"
"8251","0.2425921286672968","0.18611903547583855","0.2972205087260339","16537","16537","16537","0.48845579723672305","0.45235493774413593","0.5663099617114993","16537","16537","16537","0.4918886175886888","0.455047208102474","0.5166689359280733","16537","16537","16537","0.5107099444756202","0.3429520029181616","0.598427909000886","16537","16537","16537","0.6367739990833406","0.48815050704583784","0.6863953608949198","16537","16537","16537","0.6338900035533694","0.4310830234139127","0.7026346902411463","16537","16537","16537"
"8501","0.24219411035490634","0.19227702310826406","0.2774670456231251","17038","17038","17038","0.48925420035376527","0.4457158486217033","0.5690506869087846","17038","17038","17038","0.4906677838689819","0.45193865486145135","0.5200270344146297","17038","17038","17038","0.5024192048263868","0.35958809426555133","0.585708231074502","17038","17038","17038","0.6372705229864226","0.4894079702273628","0.685585039035525","17038","17038","17038","0.6330464955062282","0.42446021935346323","0.7011994552253472","17038","17038","17038"
"8751","0.24563245208042872","0.1883911662826568","0.294252349859703","17539","17539","17539","0.48744684281525963","0.4464049546199217","0.5633663449591757","17539","17539","17539","0.49246519242970666","0.45361232712470184","0.5203280120696927","17539","17539","17539","0.5012050189420398","0.3412553772955545","0.5934428134081162","17539","17539","17539","0.636379490287953","0.48147039441114564","0.6830802280496878","17539","17539","17539","0.6334967029198834","0.4327401115641674","0.6995357938173986","17539","17539","17539"
