"Step","Group: VaDE_Simple_gauss - stage1/eval_r2","Group: VaDE_Simple_gauss - stage1/eval_r2__MIN","Group: VaDE_Simple_gauss - stage1/eval_r2__MAX","Group: Danru_Simple_gauss - stage1/eval_r2_standard","Group: Danru_Simple_gauss - stage1/eval_r2_standard__MIN","Group: Danru_Simple_gauss - stage1/eval_r2_standard__MAX","Group: Ours_Simple_gauss - stage1/eval_r2_standard","Group: Ours_Simple_gauss - stage1/eval_r2_standard__MIN","Group: Ours_Simple_gauss - stage1/eval_r2_standard__MAX"
"10043","0.6905485263722468","0.5287695008236614","0.8976747566773208","","","","","",""
"20044","","","","0.8883553568520866","0.6536993192678033","0.9936743830824154","0.9538028191032675","0.8805252936447432","0.9932741790366982"
