"stage2/step","Group: VaDE_Simple_gumbel - stage2/mcc_pearson","Group: VaDE_Simple_gumbel - stage2/mcc_pearson__MIN","Group: VaDE_Simple_gumbel - stage2/mcc_pearson__MAX","Group: VaDE_Simple_gumbel - _step","Group: VaDE_Simple_gumbel - _step__MIN","Group: VaDE_Simple_gumbel - _step__MAX","Group: Danru_Simple_gumbel - stage2/mcc_pearson","Group: Danru_Simple_gumbel - stage2/mcc_pearson__MIN","Group: Danru_Simple_gumbel - stage2/mcc_pearson__MAX","Group: Danru_Simple_gumbel - _step","Group: Danru_Simple_gumbel - _step__MIN","Group: Danru_Simple_gumbel - _step__MAX","Group: Ours_Simple_gumbel - stage2/mcc_pearson","Group: Ours_Simple_gumbel - stage2/mcc_pearson__MIN","Group: Ours_Simple_gumbel - stage2/mcc_pearson__MAX","Group: Ours_Simple_gumbel - _step","Group: Ours_Simple_gumbel - _step__MIN","Group: Ours_Simple_gumbel - _step__MAX"
"1","0.6064255568541038","0.3569532944657512","0.8070917674140491","10047","10047","10047","0.5806245907870065","0.5018653187163727","0.7767237272736894","20048","20048","20048","0.6981950007718799","0.5919010143695935","0.8686118614310105","20048","20048","20048"
"251","0.48068328553513284","0.32656408904964523","0.6696100348741262","10300","10300","10300","0.4601730219589858","0.2985289290557774","0.6313153923091682","20301","20301","20301","0.7391605959639153","0.6184144205166032","0.9183337978995904","20301","20301","20301"
"501","0.44438765475641284","0.31088358272043415","0.6226935149102232","10553","10553","10553","0.4426612560832065","0.2527855902352589","0.6300448819749508","20554","20554","20554","0.8260503632375243","0.6860393451623167","0.9553713672279508","20554","20554","20554"
"751","0.4830211984300032","0.3908495997609392","0.6780657313215316","10806","10806","10806","0.4296600205961216","0.2695585266395604","0.6281513899934854","20807","20807","20807","0.8373198771444107","0.6742036683448416","0.9773370497101945","20807","20807","20807"
"1001","0.46562645703924704","0.32236152677047697","0.599224400852253","11059","11059","11059","0.4253582480758463","0.265166836477883","0.6314362541073285","21060","21060","21060","0.84754388583099","0.6539929286090462","0.9829192164123285","21060","21060","21060"
"1251","0.46932097410988166","0.25809109164497346","0.647611738771094","11312","11312","11312","0.4229768988348471","0.2371847121980133","0.631363135384352","21313","21313","21313","0.8549969319488483","0.648160225117659","0.9827001905338532","21313","21313","21313"
"1501","0.428988160736442","0.22853297666108194","0.6133472702637377","11565","11565","11565","0.42599392031727945","0.27078088369516123","0.6362885203527527","21566","21566","21566","0.8638273266163676","0.6535646343092156","0.9845310360240195","21566","21566","21566"
"1751","0.5185278982665533","0.38424251863857384","0.6407575900916077","11818","11818","11818","0.4271274750993189","0.24797594491337616","0.6673647692725165","21819","21819","21819","0.870443410852786","0.6468188352633151","0.9808844690844575","21819","21819","21819"
"2001","0.5068231896776408","0.38974322088867464","0.6430362313800946","12071","12071","12071","0.42116609277732986","0.23897808748768248","0.6379828965744448","22072","22072","22072","0.8761408565742854","0.6437700472768831","0.982943507029061","22072","22072","22072"
"2251","0.46139828175150566","0.23813089484089078","0.6402166308639428","12324","12324","12324","0.4196298442913829","0.22810084414444573","0.6493427116758914","22325","22325","22325","0.8836027009781023","0.6384688624603215","0.9858271403510742","22325","22325","22325"
"2501","0.5475726240778256","0.4194698694655578","0.6133403799302797","12577","12577","12577","0.4203502241169332","0.24512305206770132","0.6501625987502783","22578","22578","22578","0.8916254033145172","0.644814081437706","0.9846949439829286","22578","22578","22578"
"2751","0.4661016488088151","0.35964068071623534","0.5568898921322405","12830","12830","12830","0.4184633125156301","0.22084889679932554","0.6472564995399592","22831","22831","22831","0.8969274605204818","0.6465483806738451","0.983482177673117","22831","22831","22831"
"3001","0.5398407998486199","0.31477751452353553","0.7481217613564456","13083","13083","13083","0.4202289170415921","0.23479241486606628","0.648055320385415","23084","23084","23084","0.900584343214532","0.6407467118559061","0.9848712530836158","23084","23084","23084"
"3251","0.525760341371345","0.4379739076317047","0.6413218026511888","13336","13336","13336","0.42479532522409674","0.23332470854109733","0.6622597815699603","23337","23337","23337","0.9066310938468746","0.6513466246685972","0.9839761526210528","23337","23337","23337"
"3501","0.47163345752136754","0.3178116454363605","0.5784167031887124","13589","13589","13589","0.4204211810815415","0.23180837199313498","0.658214291842166","23590","23590","23590","0.9108635823408754","0.663772102120987","0.9848188723260289","23590","23590","23590"
"3751","0.4940484537506843","0.3635006599041571","0.6294621635074432","13842","13842","13842","0.4274886320235189","0.24302853960784057","0.6845517653572889","23843","23843","23843","0.9157269987751213","0.6749350348971772","0.9846299134238506","23843","23843","23843"
"4001","0.4948869382853041","0.3279561030090667","0.6270583487212963","14095","14095","14095","0.4257550347506604","0.24332710880204014","0.6970235520575422","24096","24096","24096","0.9200776814307197","0.6898141355139659","0.9836639798045157","24096","24096","24096"
"4251","0.48724284770125814","0.18502832880443945","0.6413651992278747","14348","14348","14348","0.4289143487563763","0.22065576938930254","0.7080857428384162","24349","24349","24349","0.9235595095006183","0.6979068351079393","0.9847630459214324","24349","24349","24349"
"4501","0.5018977661476234","0.3703766758291571","0.5805716603337984","14601","14601","14601","0.4317750421964166","0.23894943664807333","0.7323466745652354","24602","24602","24602","0.9263750237051122","0.7138565134449854","0.9847923602265624","24602","24602","24602"
"4751","0.47892700263673815","0.3076032913668909","0.6458711361045159","14854","14854","14854","0.42640789351997954","0.2384766587761792","0.7127511015024653","24855","24855","24855","0.9296903173895844","0.722617415266407","0.9854615603049525","24855","24855","24855"
"5001","0.5284570263175818","0.47540779525853805","0.6638963176689966","15107","15107","15107","0.4375755996846348","0.2448482816042813","0.758213238785549","25108","25108","25108","0.9317488934046008","0.7395469069671127","0.9842163165620619","25108","25108","25108"
"5251","0.461970469382382","0.3802192705633798","0.5783664849058122","15360","15360","15360","0.4337064700814589","0.24405865910531208","0.7238480407172171","25361","25361","25361","0.9342156838890601","0.7460697131320316","0.984921903029","25361","25361","25361"
"5501","0.5197727521179869","0.43796435730214217","0.5915878084113978","15613","15613","15613","0.4452142946272349","0.24757189727942155","0.7444666767990612","25614","25614","25614","0.9382858438118473","0.7555462407967807","0.9860877471602777","25614","25614","25614"
"5751","0.5333378285245013","0.45613189102156343","0.6453372200445094","15866","15866","15866","0.44657823696633836","0.23448442807819755","0.7596633785428627","25867","25867","25867","0.9396049260900667","0.7608599211644211","0.986816465841263","25867","25867","25867"
"6001","0.5411039667865205","0.42330659889750116","0.7290027690883636","16119","16119","16119","0.44749652210970037","0.23391092947428813","0.7637305788451917","26120","26120","26120","0.9426262665170464","0.7709610234773185","0.9888682437137085","26120","26120","26120"
"6251","0.47079179214828526","0.409589595009999","0.5281551600993724","16372","16372","16372","0.46208341499257416","0.24687459902824363","0.7955301189561174","26373","26373","26373","0.9442545788370588","0.7743702739524695","0.9886240230846619","26373","26373","26373"
"6501","0.4878483179236385","0.3267228517991487","0.6538349860510363","16625","16625","16625","0.45480531785007694","0.22864363688140896","0.8137245231155045","26626","26626","26626","0.9454436405786704","0.7764340559011643","0.9894028782960677","26626","26626","26626"
"6751","0.5119603383457896","0.38156993857195537","0.6379224169511094","16878","16878","16878","0.4553683250579306","0.22538323034647603","0.7905743682124998","26879","26879","26879","0.9475668522884867","0.7844579716852245","0.9896279874380758","26879","26879","26879"
"7001","0.5121605214976103","0.38941280613672324","0.6394997922688752","17131","17131","17131","0.4576310708411029","0.2199667811230873","0.7955205550947335","27132","27132","27132","0.9486497383202067","0.7812588954323205","0.9893816714106677","27132","27132","27132"
"7251","0.5151704590047403","0.3230930269198511","0.6556471711789704","17384","17384","17384","0.4549583267576054","0.23952885897258222","0.7971082106632097","27385","27385","27385","0.9496728228440933","0.7857016375164024","0.9899412227890744","27385","27385","27385"
"7501","0.4826371112828333","0.3759266622881428","0.6741766781497563","17637","17637","17637","0.4590580999071336","0.23600183513026715","0.8005532777405863","27638","27638","27638","0.951254901040009","0.7858034413166123","0.9893308201696791","27638","27638","27638"
"7751","0.47871826738397266","0.34692165923563373","0.6320974998733929","17890","17890","17890","0.4573584301443602","0.2455370094482002","0.796367528932684","27891","27891","27891","0.9509351135947876","0.7861344140334686","0.989729976024123","27891","27891","27891"
"8001","0.5140336623861825","0.29520123106174156","0.7482411703197046","18143","18143","18143","0.45946176668005895","0.21666518452591577","0.7979177025593599","28144","28144","28144","0.9520964498378888","0.7907472429454602","0.9895924446121834","28144","28144","28144"
"8251","0.5023832435045923","0.4024537246163867","0.6788512518427822","18396","18396","18396","0.4597642820260526","0.23445490586738357","0.8092706406842577","28397","28397","28397","0.9535687116511511","0.7890162053002069","0.9896921370646443","28397","28397","28397"
"8501","0.5164377395549617","0.39667536789060726","0.686396523215294","18649","18649","18649","0.46584967730706095","0.21142638431796038","0.8062396055678885","28650","28650","28650","0.9537640481357125","0.7828251583148829","0.990096184210071","28650","28650","28650"
"8751","0.4709589434214901","0.38581101662548417","0.6244338872203157","18902","18902","18902","0.4734933767045767","0.2448328645844231","0.8149115051935384","28903","28903","28903","0.9543665025067654","0.7882058624738812","0.9891021635279689","28903","28903","28903"
"9001","0.46674028052519345","0.3062344592084522","0.7787418071563135","19155","19155","19155","0.47115469950632294","0.21811277332826187","0.7971925701915265","29156","29156","29156","0.9553625757593134","0.7952888342067204","0.9886734348523453","29156","29156","29156"
"9251","0.49047770398402973","0.30011058465502854","0.5903255557016869","19408","19408","19408","0.4767760205929693","0.23906568859369917","0.8094520996803386","29409","29409","29409","0.9558171412441284","0.7944591836579599","0.9890994673916899","29409","29409","29409"
"9501","0.5166681466860067","0.32388826235037244","0.647612501310201","19661","19661","19661","0.48478689631401906","0.2408151674481441","0.8191074171592438","29662","29662","29662","0.9555377132438444","0.7888589061165954","0.9888312118357149","29662","29662","29662"
"9751","0.4461603648345614","0.3592420969195405","0.5492968112733675","19914","19914","19914","0.48727689204371494","0.20825609016419674","0.8298757228665542","29915","29915","29915","0.9565786506240276","0.7940393926131213","0.9891196949618114","29915","29915","29915"
"10001","0.46657856971557876","0.3780426749549335","0.6166797466350943","20167","20167","20167","0.4909933787106396","0.24728275066849667","0.8305944278118501","30168","30168","30168","0.956648038862825","0.7891499477728283","0.9891234592783326","30168","30168","30168"
"10251","0.5044309308877197","0.4127638747588314","0.624400610495308","20420","20420","20420","0.4916852151368902","0.2385507370641127","0.8295863081491763","30421","30421","30421","0.9579995334364902","0.8008082695284914","0.9901163947682828","30421","30421","30421"
"10501","0.48276174676620576","0.2627107603588171","0.652181690825314","20673","20673","20673","0.49370750310126876","0.23582570514920154","0.8413170196143525","30674","30674","30674","0.9567818327172273","0.7883089058389058","0.9893345657690044","30674","30674","30674"
"10751","0.5370784087141868","0.3785170003953979","0.7179166139941673","20926","20926","20926","0.5007955298545819","0.25182416368624466","0.8465521425870742","30927","30927","30927","0.9573645355667972","0.7973101531152884","0.9896921059693579","30927","30927","30927"
"11001","0.45542551754663263","0.253705225337459","0.7171651165420169","21179","21179","21179","0.5162522856356634","0.23126525901493736","0.8511008820346738","31180","31180","31180","0.9578387884224661","0.795613300293152","0.9893755483717328","31180","31180","31180"
