"Step","Group: VaDE_Simple_cauchy - stage1/eval_r2","Group: VaDE_Simple_cauchy - stage1/eval_r2__MIN","Group: VaDE_Simple_cauchy - stage1/eval_r2__MAX","Group: Danru_Simple_cauchy - stage1/eval_r2_standard","Group: Danru_Simple_cauchy - stage1/eval_r2_standard__MIN","Group: Danru_Simple_cauchy - stage1/eval_r2_standard__MAX","Group: Ours_Simple_cauchy - stage1/eval_r2_standard","Group: Ours_Simple_cauchy - stage1/eval_r2_standard__MIN","Group: Ours_Simple_cauchy - stage1/eval_r2_standard__MAX"
"10043","0.20673982313059555","0.02987649142683324","0.47021540133887224","","","","","",""
"20044","","","","0.14887816653634198","-0.9017684329249344","0.8104647154488148","0.029757933615033892","-0.8187656685069914","0.6527125295693533"
