"stage2/step","Group: VaDE_Complicate_gumbel - stage2/mcc_spearman","Group: VaDE_Complicate_gumbel - stage2/mcc_spearman__MIN","Group: VaDE_Complicate_gumbel - stage2/mcc_spearman__MAX","Group: VaDE_Complicate_gumbel - _step","Group: VaDE_Complicate_gumbel - _step__MIN","Group: VaDE_Complicate_gumbel - _step__MAX","Group: Danru_Complicate_gumbel - stage2/mcc_spearman","Group: Danru_Complicate_gumbel - stage2/mcc_spearman__MIN","Group: Danru_Complicate_gumbel - stage2/mcc_spearman__MAX","Group: Danru_Complicate_gumbel - _step","Group: Danru_Complicate_gumbel - _step__MIN","Group: Danru_Complicate_gumbel - _step__MAX","Group: Ours_Complicate_gumbel - stage2/mcc_spearman","Group: Ours_Complicate_gumbel - stage2/mcc_spearman__MIN","Group: Ours_Complicate_gumbel - stage2/mcc_spearman__MAX","Group: Ours_Complicate_gumbel - _step","Group: Ours_Complicate_gumbel - _step__MIN","Group: Ours_Complicate_gumbel - _step__MAX"
"3251","0.3072829040480899","0.22674768889674185","0.4005486128622424","13336","13336","13336","0.38811327448607436","0.29279473914076737","0.5757887203712075","23336.4","23335","23337","0.6012955350265633","0.5389726283192955","0.6827837697397453","23336.2","23335","23337"
"3501","0.2921429710400973","0.19964188884517542","0.401738222685241","13589","13589","13589","0.38873058327567034","0.296308734661391","0.5784163172186781","23589.4","23588","23590","0.6071944565380389","0.5391803646436305","0.6862353221661726","23589.2","23588","23590"
"3751","0.3021962995714509","0.1845613896602218","0.428870117596035","13842","13842","13842","0.39075738027162243","0.29754384388766575","0.5831406265076964","23842.4","23841","23843","0.613913027684073","0.5466729920286268","0.6931799815787099","23842.2","23841","23843"
"4001","0.30825848890489754","0.21509192441437613","0.4236505131992949","14095","14095","14095","0.39026973726193565","0.2945000023099589","0.5890137327145964","24095.4","24094","24096","0.6207693050913976","0.5568659065792699","0.7036080567839325","24095.2","24094","24096"
"4251","0.3031003835668864","0.21369263159545202","0.40033971506480326","14348","14348","14348","0.3661095234918569","0.28826834768156884","0.47888328463495666","24348.4","24347","24349","0.6249453170949073","0.5579792352627871","0.7066435576871877","24348.2","24347","24349"
"4501","0.3011298532371872","0.23570684590856864","0.37412914854296975","14601","14601","14601","0.38888188613494057","0.2992705680590829","0.5007286024956816","24601.4","24600","24602","0.628451660942973","0.5566043417958947","0.7075781716708591","24601.2","24600","24602"
"4751","0.3127824751963379","0.22032944572645338","0.3700445866355722","14854","14854","14854","0.3930531225991015","0.30612001373825953","0.49672333064341717","24854.4","24853","24855","0.634739208649998","0.5624252480269745","0.7142309204978254","24854.2","24853","24855"
"5001","0.3083477885425693","0.236688691232936","0.3602195337475809","15107","15107","15107","0.38864122869278256","0.29952718375025034","0.4943570434685808","25107.4","25106","25108","0.639093172287746","0.5647227983617883","0.718646972281096","25107.2","25106","25108"
"5251","0.30448456673573576","0.22612955525461936","0.42199494451758407","15360","15360","15360","0.38783149076106993","0.303270046698294","0.5006715732635747","25360.4","25359","25361","0.6439925956827013","0.562078709783876","0.7209792985445144","25360.2","25359","25361"
"5501","0.29712124256190126","0.22916429780130834","0.3875001532029928","15613","15613","15613","0.38842042178114927","0.3020615284955293","0.4988516175548218","25613.4","25612","25614","0.6488262366212736","0.561505355583421","0.7271215780674488","25613.2","25612","25614"
"5751","0.3101597332871965","0.2453641009603496","0.39891254638683277","15866","15866","15866","0.3903046804494358","0.3018299291527496","0.5084391692146081","25866.4","25865","25867","0.652730341286324","0.570773164790394","0.7271008977056603","25866.2","25865","25867"
"6001","0.31428229255864487","0.209482191145789","0.41976614978468313","16119","16119","16119","0.394041448898253","0.3061030758920072","0.5094318730093426","26119.4","26118","26120","0.65942851482588","0.5761572937574042","0.7324389685021098","26119.2","26118","26120"
