"stage1/step","Group: VaDE_Complicate_gauss - stage1/mcc_spearman","Group: VaDE_Complicate_gauss - stage1/mcc_spearman__MIN","Group: VaDE_Complicate_gauss - stage1/mcc_spearman__MAX","Group: VaDE_Complicate_gauss - _step","Group: VaDE_Complicate_gauss - _step__MIN","Group: VaDE_Complicate_gauss - _step__MAX","Group: VaDE_Complicate_gumbel - stage1/mcc_spearman","Group: VaDE_Complicate_gumbel - stage1/mcc_spearman__MIN","Group: VaDE_Complicate_gumbel - stage1/mcc_spearman__MAX","Group: VaDE_Complicate_gumbel - _step","Group: VaDE_Complicate_gumbel - _step__MIN","Group: VaDE_Complicate_gumbel - _step__MAX","Group: VaDE_Complicate_cauchy - stage1/mcc_spearman","Group: VaDE_Complicate_cauchy - stage1/mcc_spearman__MIN","Group: VaDE_Complicate_cauchy - stage1/mcc_spearman__MAX","Group: VaDE_Complicate_cauchy - _step","Group: VaDE_Complicate_cauchy - _step__MIN","Group: VaDE_Complicate_cauchy - _step__MAX","Group: VaDE_Simple_gauss - stage1/mcc_spearman","Group: VaDE_Simple_gauss - stage1/mcc_spearman__MIN","Group: VaDE_Simple_gauss - stage1/mcc_spearman__MAX","Group: VaDE_Simple_gauss - _step","Group: VaDE_Simple_gauss - _step__MIN","Group: VaDE_Simple_gauss - _step__MAX","Group: VaDE_Simple_gumbel - stage1/mcc_spearman","Group: VaDE_Simple_gumbel - stage1/mcc_spearman__MIN","Group: VaDE_Simple_gumbel - stage1/mcc_spearman__MAX","Group: VaDE_Simple_gumbel - _step","Group: VaDE_Simple_gumbel - _step__MIN","Group: VaDE_Simple_gumbel - _step__MAX","Group: VaDE_Simple_cauchy - stage1/mcc_spearman","Group: VaDE_Simple_cauchy - stage1/mcc_spearman__MIN","Group: VaDE_Simple_cauchy - stage1/mcc_spearman__MAX","Group: VaDE_Simple_cauchy - _step","Group: VaDE_Simple_cauchy - _step__MIN","Group: VaDE_Simple_cauchy - _step__MAX"
"2501","0.49826069979931853","0.45307429347308564","0.5599871211855569","2512","2512","2512","0.49204672785062353","0.44506652222287835","0.5274004152970407","2512","2512","2512","0.23115675017588969","0.15441059428401377","0.2955386709430352","2512","2512","2512","0.7226935917187662","0.6593046749764255","0.7836252066136705","2512","2512","2512","0.6824078876829638","0.5214544607821548","0.8036445480721112","2512","2512","2512","0.5125066044583889","0.4200856471749272","0.5595153889075049","2512","2512","2512"
"2751","0.495232173606085","0.45238941361205337","0.5577060602398648","2763","2763","2763","0.4947328353026611","0.45086643819755584","0.5438295537321711","2763","2763","2763","0.23079683477203106","0.1691016346319761","0.29263813237935904","2763","2763","2763","0.7197725638107869","0.6642087973870477","0.7828739723072474","2763","2763","2763","0.6718992670060657","0.5745596679615893","0.738335662853166","2763","2763","2763","0.5016069486884245","0.4043770279067269","0.5953812713107233","2763","2763","2763"
"3001","0.501380531591092","0.45400733479393846","0.5610396399018329","3014","3014","3014","0.49747160023563036","0.4490094890533477","0.5380226822273384","3014","3014","3014","0.23716037518579172","0.1625054849501196","0.31429559045131034","3014","3014","3014","0.6784111429525712","0.5617090582072178","0.7824923911458818","3014","3014","3014","0.6936726039384767","0.6464553203162441","0.7950650947872463","3014","3014","3014","0.5073555101621667","0.41181248403820714","0.5657933489087884","3014","3014","3014"
"3251","0.4971922023113041","0.4454695792063271","0.5561122214043906","3265","3265","3265","0.49758629775209906","0.4369505890973329","0.5450462148770326","3265","3265","3265","0.23938968685699208","0.1969612557568103","0.3090565358304286","3265","3265","3265","0.7250129266206898","0.6566291371225156","0.7795667793583928","3265","3265","3265","0.6828998134526322","0.6387885885680448","0.7730003455545761","3265","3265","3265","0.5207230369222848","0.4107683683527779","0.5835891137274641","3265","3265","3265"
"3501","0.5000474264675101","0.452392403434687","0.5678731494180859","3516","3516","3516","0.49908096702004334","0.4488084049122893","0.5425277438653104","3516","3516","3516","0.22898116591015322","0.14540795542345433","0.3010393678479935","3516","3516","3516","0.723144811980668","0.6536763790483552","0.8053844351032545","3516","3516","3516","0.6833068844217994","0.5935894881186704","0.8003346840473312","3516","3516","3516","0.5054796522960714","0.40828427908972625","0.5789237380765065","3516","3516","3516"
"3751","0.5000358123526072","0.45179731806869705","0.5660418247084971","3767","3767","3767","0.49725403304088306","0.44629822018884174","0.5387506281088184","3767","3767","3767","0.22635033310743663","0.1354933672054741","0.2989664286344931","3767","3767","3767","0.7164228316352476","0.6266146112259996","0.7909236840068236","3767","3767","3767","0.6694056400271771","0.575746308750883","0.7899126996623306","3767","3767","3767","0.5237944477919465","0.412136017402937","0.5771491706544295","3767","3767","3767"
"4001","0.4988660051764426","0.45043982730717397","0.564482629694963","4018","4018","4018","0.49860413186693986","0.44730896927058356","0.5423710647716975","4018","4018","4018","0.2309635042885291","0.17217071201644157","0.3024011444377428","4018","4018","4018","0.701441450633101","0.6566495218861029","0.7840540068528682","4018","4018","4018","0.6882876740253618","0.6305085153069269","0.7869937399157484","4018","4018","4018","0.529901714545584","0.41237608803931725","0.5981601814118767","4018","4018","4018"
"4251","0.5001855405564395","0.4511963879916029","0.5606410810899115","4269","4269","4269","0.49861253708820924","0.4490989659042327","0.5438297536212997","4269","4269","4269","0.23432596243038092","0.17850953966501765","0.298824941012005","4269","4269","4269","0.7177176754195272","0.6130649103613085","0.7931484257321063","4269","4269","4269","0.6811387368562467","0.6213533173319185","0.7882438977512692","4269","4269","4269","0.5107047303524898","0.39454864056447714","0.5665923241143423","4269","4269","4269"
"4501","0.49949962848969276","0.4511811506211851","0.5653283991942026","4520","4520","4520","0.4994614017587645","0.45218410953099075","0.5466298989114431","4520","4520","4520","0.23921525303720523","0.19012747535667657","0.2962617501609251","4520","4520","4520","0.6942566392395512","0.5180541264167916","0.7825306222988394","4520","4520","4520","0.6877689645310425","0.6309692154000511","0.7753494070723361","4520","4520","4520","0.5136778214734246","0.40904836922288573","0.5836421053905231","4520","4520","4520"
"4751","0.5002812590129967","0.4494160892072624","0.5660262167946728","4771","4771","4771","0.4988555537867603","0.4564317800753524","0.5395428287952759","4771","4771","4771","0.2362640526194218","0.18713785789521947","0.2935219425481225","4771","4771","4771","0.730975769891834","0.6618025035074074","0.7928951699749581","4771","4771","4771","0.6674182823165549","0.6087316429721478","0.7924903440242836","4771","4771","4771","0.5131200290610286","0.4231358324544909","0.5784820075404631","4771","4771","4771"
"5001","0.4989971996509276","0.4550636989996052","0.5665159142321938","5022","5022","5022","0.4988491638660234","0.4528819745118571","0.5401699997721024","5022","5022","5022","0.23536366635773226","0.17685547788428974","0.29802706016723546","5022","5022","5022","0.6973872762817577","0.5936699776966979","0.7751699034511357","5022","5022","5022","0.6493648670799668","0.5865606482658051","0.703960224903247","5022","5022","5022","0.5289554154727923","0.43806895910075844","0.5774342393723647","5022","5022","5022"
"5251","0.4985491316066321","0.4545874785275544","0.5623713524340495","5273","5273","5273","0.4985591486113566","0.44835712187838295","0.5502103099189314","5273","5273","5273","0.23245066397445133","0.17916272715674122","0.2718734144913352","5273","5273","5273","0.7175536548201366","0.6103088258126101","0.7930480778670139","5273","5273","5273","0.6735670186900412","0.6448226967302659","0.6936410524908506","5273","5273","5273","0.5172492671515834","0.4260122679981695","0.5929764136845858","5273","5273","5273"
"5501","0.4938804513073303","0.4548227212314055","0.5613723760307704","5524","5524","5524","0.4981854713362033","0.45282445058240334","0.5388755785548518","5524","5524","5524","0.2295581383897965","0.17439336579460216","0.2655905594077873","5524","5524","5524","0.7090626914018272","0.6212551459374045","0.785377821630182","5524","5524","5524","0.6777291146463935","0.6425397320469015","0.7880738339596216","5524","5524","5524","0.521947643707976","0.41938668557647407","0.6011186500018454","5524","5524","5524"
"5751","0.49783489758279414","0.46358695088743734","0.5642117629655856","5775","5775","5775","0.49972587401557406","0.4567979484365182","0.5530075692527825","5775","5775","5775","0.22631385702964293","0.17508643130822826","0.2623896389565493","5775","5775","5775","0.7222313124678615","0.6667172506689457","0.7722855915828787","5775","5775","5775","0.683684511164759","0.6146008066881078","0.7889289177621678","5775","5775","5775","0.5178954110203471","0.4727361534913029","0.5746728427165325","5775","5775","5775"
"6001","0.49792671227153906","0.45375242438789487","0.5613218347771326","6026","6026","6026","0.49760244485990973","0.4509971119149358","0.5466927412152197","6026","6026","6026","0.2299277413137631","0.19245573094041662","0.27089367244250084","6026","6026","6026","0.7192204985602026","0.6122974139767958","0.7838920654507557","6026","6026","6026","0.6665848804716121","0.6187140503651744","0.7004028725270578","6026","6026","6026","0.5465678880255297","0.49048031197553366","0.6122791416423091","6026","6026","6026"
"6251","0.4972129922351175","0.4485115068351825","0.5659877129106337","6277","6277","6277","0.4953792507030893","0.4458704919700513","0.5457957275926719","6277","6277","6277","0.22695712871164958","0.18309349528583624","0.2726818296303001","6277","6277","6277","0.7193659765142534","0.6573097878134483","0.7809956207395942","6277","6277","6277","0.6580063711610109","0.5488096437635975","0.754290877303264","6277","6277","6277","0.5326608465050987","0.4795664040060499","0.5886995087701846","6277","6277","6277"
"6501","0.49838935441020854","0.4530049327788833","0.5654788712060169","6528","6528","6528","0.49635523717277","0.4629126368321129","0.5446089500930349","6528","6528","6528","0.22753707346697807","0.18441533852172215","0.2699166512863565","6528","6528","6528","0.7134096611686702","0.6121244883192261","0.7876835530366423","6528","6528","6528","0.677101977797094","0.5814619682110252","0.7906705002847602","6528","6528","6528","0.54157156875567","0.493494337575757","0.5868176188599233","6528","6528","6528"
"6751","0.49700812067921263","0.461326550021385","0.5531597983366578","6779","6779","6779","0.49527995934844815","0.4578927026298255","0.5481552972607352","6779","6779","6779","0.22459647953994813","0.1789113408765266","0.2647373256429505","6779","6779","6779","0.7296936137629558","0.6640675889656523","0.7838464053168107","6779","6779","6779","0.6603124816383152","0.4773741043254241","0.7811823428720852","6779","6779","6779","0.53600657784335","0.45174037688233876","0.58964802431148","6779","6779","6779"
"7001","0.4977561049198832","0.4622870658227044","0.5547885813774825","7030","7030","7030","0.4936656565675209","0.4469208179903899","0.5458000133224049","7030","7030","7030","0.2247960905275987","0.17943611110005211","0.2681744912933318","7030","7030","7030","0.7169613212020031","0.6060229832896079","0.7820047950117534","7030","7030","7030","0.6723131703780695","0.6174375015284438","0.7544519260596246","7030","7030","7030","0.5465324518832183","0.485456453990962","0.601699843740636","7030","7030","7030"
"7251","0.4966644641919153","0.4585662984220287","0.5579147377786884","7281","7281","7281","0.5006676889168535","0.461251599157898","0.5497832368638754","7281","7281","7281","0.2219600824522791","0.1768567733708216","0.26586172632045174","7281","7281","7281","0.7053812204212481","0.5949765849641289","0.7788977849736728","7281","7281","7281","0.673232149821739","0.607911108297562","0.7723109116275806","7281","7281","7281","0.5504526078906051","0.5022634356412795","0.5937489677939934","7281","7281","7281"
"7501","0.49667106603356687","0.4591031510526828","0.5579752229947089","7532","7532","7532","0.4994254766503377","0.46617974356969405","0.5397562741990517","7532","7532","7532","0.22361799654777395","0.17743345500167731","0.274160478221254","7532","7532","7532","0.7066327477267978","0.6406910139368317","0.7657381482673524","7532","7532","7532","0.6740637452815725","0.6339744182005919","0.7257503516147178","7532","7532","7532","0.5531012378133869","0.5147048907394791","0.5970572945036415","7532","7532","7532"
"7751","0.49624661215954696","0.4637302051468318","0.5608021603152749","7783","7783","7783","0.49904596762308895","0.4608773430061753","0.5461706282578155","7783","7783","7783","0.2226391140339185","0.1738202624505984","0.28431379985524796","7783","7783","7783","0.6962587209074828","0.5882103485944327","0.7678431265883295","7783","7783","7783","0.6788975187339832","0.6332901527578735","0.7820533745591635","7783","7783","7783","0.5337068439060625","0.4562506968046894","0.6100107878770066","7783","7783","7783"
"8001","0.49369751582396076","0.4555621835053044","0.5604856439724355","8034","8034","8034","0.5003334279631156","0.459798379245879","0.5430252375830584","8034","8034","8034","0.2216072534474959","0.16534081768590875","0.2792478642103409","8034","8034","8034","0.6962612722181585","0.5444558646162937","0.7733595436059604","8034","8034","8034","0.6592436973890367","0.5477136845028672","0.7290902460498042","8034","8034","8034","0.5271089835499805","0.4377147685154825","0.6397477948377884","8034","8034","8034"
"8251","0.49263486129687156","0.4592687171131926","0.5592742965372339","8285","8285","8285","0.5013125487741352","0.46219602998901754","0.5501469600770966","8285","8285","8285","0.22201404101046046","0.17393308188125084","0.2738690883664229","8285","8285","8285","0.7099423711017813","0.6236169788734619","0.7826780276789501","8285","8285","8285","0.6843734986276342","0.6386118237915316","0.7795886242122639","8285","8285","8285","0.532412880350164","0.3903170195875558","0.6447173497797367","8285","8285","8285"
"8501","0.49440432912783105","0.46502113540198364","0.5630007789459895","8536","8536","8536","0.4992819219460369","0.45547479770482263","0.5475534423210577","8536","8536","8536","0.2245398856396587","0.17764397745997063","0.27178063558888244","8536","8536","8536","0.7186536969648174","0.6312661691335059","0.7822775469626962","8536","8536","8536","0.6589370645929582","0.5562617083102376","0.706340395116359","8536","8536","8536","0.5288996181961645","0.32316658965140044","0.6401477894450167","8536","8536","8536"
"8751","0.4926353939852122","0.46274831902411756","0.5609914075975669","8787","8787","8787","0.5008552551884087","0.4608267408306366","0.5458703858710813","8787","8787","8787","0.22393071535394043","0.15954279766860988","0.2648441493839454","8787","8787","8787","0.7053455251946693","0.5999905614063007","0.765695683132347","8787","8787","8787","0.6811396611865023","0.6138732517190447","0.7773946697938575","8787","8787","8787","0.5445364790013609","0.4222013704443604","0.6385046147286468","8787","8787","8787"
"9001","0.4935652538985792","0.4565808694823977","0.5614811357577202","9038","9038","9038","0.5008835418510034","0.46121707942699164","0.5473183483917153","9038","9038","9038","0.22258569681967932","0.17037670519149245","0.26051122447166547","9038","9038","9038","0.7199069544139014","0.6412280613625042","0.7804355388562034","9038","9038","9038","0.6779642227165625","0.6156824603796931","0.7803729686259947","9038","9038","9038","0.5369347828666124","0.43725729575598676","0.6531796564228297","9038","9038","9038"
"9251","0.4928823941891444","0.45659954472992953","0.562367427570465","9289","9289","9289","0.5000411671888805","0.4615493163460365","0.5454015773159024","9289","9289","9289","0.22486634367809474","0.18055544745881397","0.26736432456626236","9289","9289","9289","0.7034938299858405","0.5924490920409559","0.7798870867609778","9289","9289","9289","0.6638724481512904","0.558436673669494","0.7732960713632862","9289","9289","9289","0.5444360085206242","0.46625365085080467","0.656712460881422","9289","9289","9289"
"9501","0.4926138703400409","0.46210851917266227","0.5609400829142753","9540","9540","9540","0.4996590529076169","0.45789232050038436","0.5451522774293522","9540","9540","9540","0.22110461166787126","0.1351666929038715","0.2605276488299108","9540","9540","9540","0.7160613529780424","0.6519282649759948","0.7787557542150737","9540","9540","9540","0.666491583202713","0.6203644751003248","0.7684924462536307","9540","9540","9540","0.5482112876540569","0.47948598208855336","0.659589084557478","9540","9540","9540"
"9751","0.4924639983824829","0.4601278765748484","0.564987708669749","9791","9791","9791","0.5011471931604808","0.4644693287547976","0.5435928514754098","9791","9791","9791","0.22221570426719736","0.13881358687672835","0.26675509522020685","9791","9791","9791","0.7125999230974912","0.6460569508134967","0.7830366061466422","9791","9791","9791","0.682168061505106","0.6245405023697199","0.7728260862848696","9791","9791","9791","0.5502796261652227","0.474662327923803","0.6777890616787058","9791","9791","9791"
