"stage2/step","Group: Danru_Complicate_cauchy - stage2/mcc_pearson","Group: Danru_Complicate_cauchy - stage2/mcc_pearson__MIN","Group: Danru_Complicate_cauchy - stage2/mcc_pearson__MAX","Group: Danru_Complicate_cauchy - _step","Group: Danru_Complicate_cauchy - _step__MIN","Group: Danru_Complicate_cauchy - _step__MAX","Group: Danru_Complicate_gumbel - stage2/mcc_pearson","Group: Danru_Complicate_gumbel - stage2/mcc_pearson__MIN","Group: Danru_Complicate_gumbel - stage2/mcc_pearson__MAX","Group: Danru_Complicate_gumbel - _step","Group: Danru_Complicate_gumbel - _step__MIN","Group: Danru_Complicate_gumbel - _step__MAX","Group: Danru_Complicate_gauss - stage2/mcc_pearson","Group: Danru_Complicate_gauss - stage2/mcc_pearson__MIN","Group: Danru_Complicate_gauss - stage2/mcc_pearson__MAX","Group: Danru_Complicate_gauss - _step","Group: Danru_Complicate_gauss - _step__MIN","Group: Danru_Complicate_gauss - _step__MAX","Group: Danru_Simple_cauchy - stage2/mcc_pearson","Group: Danru_Simple_cauchy - stage2/mcc_pearson__MIN","Group: Danru_Simple_cauchy - stage2/mcc_pearson__MAX","Group: Danru_Simple_cauchy - _step","Group: Danru_Simple_cauchy - _step__MIN","Group: Danru_Simple_cauchy - _step__MAX","Group: Danru_Simple_gumbel - stage2/mcc_pearson","Group: Danru_Simple_gumbel - stage2/mcc_pearson__MIN","Group: Danru_Simple_gumbel - stage2/mcc_pearson__MAX","Group: Danru_Simple_gumbel - _step","Group: Danru_Simple_gumbel - _step__MIN","Group: Danru_Simple_gumbel - _step__MAX","Group: Danru_Simple_gauss - stage2/mcc_pearson","Group: Danru_Simple_gauss - stage2/mcc_pearson__MIN","Group: Danru_Simple_gauss - stage2/mcc_pearson__MAX","Group: Danru_Simple_gauss - _step","Group: Danru_Simple_gauss - _step__MIN","Group: Danru_Simple_gauss - _step__MAX"
"5001","0.22225335445282898","0.1560546111793847","0.3116695684280313","25107.2","25106","25108","0.4212894568672224","0.3130076512628899","0.5591756504251759","25107.4","25106","25108","0.5081855655663835","0.2216583252781279","0.5718922973961607","25107.4","25106","25108","0.429740737015522","0.3166662163370028","0.5509361749132619","25108","25108","25108","0.4375755996846348","0.2448482816042813","0.758213238785549","25108","25108","25108","0.4731317858753135","0.05545240435841237","0.7948211361715617","25108","25108","25108"
"5251","0.19748340441813492","0.08734728426978768","0.3401203839952249","25360.2","25359","25361","0.4168403095351862","0.3147430719818112","0.5626732189450798","25360.4","25359","25361","0.5126660943136551","0.21765025902414065","0.5903241964529882","25360.4","25359","25361","0.3477361640446032","0.1303418701195467","0.48831279197678673","25361","25361","25361","0.4337064700814589","0.24405865910531208","0.7238480407172171","25361","25361","25361","0.47416002726514145","0.09782133360950623","0.7235579029227354","25361","25361","25361"
"5501","0.1969053361713592","0.134897581040903","0.27431250579494365","25613.2","25612","25614","0.41839365624509056","0.30724940253840866","0.5699527539586267","25613.4","25612","25614","0.5217386636864807","0.21864297929789273","0.5887398793769048","25613.4","25612","25614","0.37144182055920555","0.20449274965024636","0.5588808482619545","25614","25614","25614","0.4452142946272349","0.24757189727942155","0.7444666767990612","25614","25614","25614","0.49460262520469084","0.07446800349223028","0.8192420136438129","25614","25614","25614"
"5751","0.20380696445697133","0.1447467644622643","0.3010756989404558","25866.2","25865","25867","0.42234679482881204","0.31435646450617866","0.5691062318525646","25866.4","25865","25867","0.5243227629416771","0.2256833278398934","0.5928583133959924","25866.4","25865","25867","0.41329687412145644","0.27035990657447106","0.6403908994095943","25867","25867","25867","0.44657823696633836","0.23448442807819755","0.7596633785428627","25867","25867","25867","0.501731630625055","0.08636659669799712","0.782955016122289","25867","25867","25867"
"6001","0.24067464128785648","0.1457180177254766","0.4005584418349641","26119.2","26118","26120","0.4262683690067474","0.31448471571802156","0.5709844033075981","26119.4","26118","26120","0.5297674898515743","0.2274774731099817","0.6004843807157567","26119.4","26118","26120","0.3773497545472668","0.13732840535490262","0.5883055620607355","26120","26120","26120","0.44749652210970037","0.23391092947428813","0.7637305788451917","26120","26120","26120","0.4918199480957347","0.0898335683568297","0.7644361463785545","26120","26120","26120"
"6251","0.260545586418241","0.13576118762903916","0.38773054563096643","26372.2","26371","26373","0.4283472717678113","0.3159509719259025","0.5804428500450868","26372.4","26371","26373","0.5318190798328363","0.23350595415856845","0.5982053928182509","26372.4","26371","26373","0.36992197316272046","0.08203848540491677","0.5314538584056503","26373","26373","26373","0.46208341499257416","0.24687459902824363","0.7955301189561174","26373","26373","26373","0.5111848288987466","0.08163425200447384","0.8847021518429959","26373","26373","26373"
"6501","0.2344964277988577","0.15255635509931345","0.4141702191811801","26625.2","26624","26626","0.4322332813011637","0.3084478651725694","0.6184279850386067","26625.4","26624","26626","0.5269912445127859","0.2327749525177875","0.6054467527663064","26625.4","26624","26626","0.39192396587010647","0.07174773026541169","0.5827731848503505","26626","26626","26626","0.45480531785007694","0.22864363688140896","0.8137245231155045","26626","26626","26626","0.5094813268296814","0.07182070893343055","0.8701935344027966","26626","26626","26626"
"6751","0.2305535716552193","0.14782073545407898","0.30397051900434774","26878.2","26877","26879","0.4265392453358624","0.31353288433560145","0.614324242131448","26878.4","26877","26879","0.5294643794435476","0.2289460040488093","0.6026017325404166","26878.4","26877","26879","0.3080984993730785","0.149579814995617","0.5603106961496279","26879","26879","26879","0.4553683250579306","0.22538323034647603","0.7905743682124998","26879","26879","26879","0.5233451249889951","0.07335741428486021","0.9105031447787226","26879","26879","26879"
"7001","0.26500295934690304","0.12089015965536846","0.36492741393270134","27131.2","27130","27132","0.42332794788783457","0.3142963504445307","0.6156814531627547","27131.4","27130","27132","0.49827735432049547","0.23216498752967613","0.6065140753216849","27131.4","27130","27132","0.33187473177380217","0.14402819871074635","0.5031971311162521","27132","27132","27132","0.4576310708411029","0.2199667811230873","0.7955205550947335","27132","27132","27132","0.5177082538472118","0.09250785487683381","0.8921801190378558","27132","27132","27132"
"7251","0.22879794448486473","0.134909080809446","0.3964584882270709","27384.2","27383","27385","0.42776345222124457","0.31719747639102686","0.6300643228948661","27384.4","27383","27385","0.5132391966827967","0.23293939666529045","0.5986372711321672","27384.4","27383","27385","0.3931908548135601","0.15842253336999348","0.6340687155739387","27385","27385","27385","0.4549583267576054","0.23952885897258222","0.7971082106632097","27385","27385","27385","0.5277979307865267","0.08659217721662398","0.8747062687504762","27385","27385","27385"
