"stage1/step","Group: Ours_BN_Simple_cauchy - stage1/mcc_pearson","Group: Ours_BN_Simple_cauchy - stage1/mcc_pearson__MIN","Group: Ours_BN_Simple_cauchy - stage1/mcc_pearson__MAX","Group: Ours_BN_Simple_cauchy - _step","Group: Ours_BN_Simple_cauchy - _step__MIN","Group: Ours_BN_Simple_cauchy - _step__MAX","Group: Ours_BN_Complicate_cauchy - stage1/mcc_pearson","Group: Ours_BN_Complicate_cauchy - stage1/mcc_pearson__MIN","Group: Ours_BN_Complicate_cauchy - stage1/mcc_pearson__MAX","Group: Ours_BN_Complicate_cauchy - _step","Group: Ours_BN_Complicate_cauchy - _step__MIN","Group: Ours_BN_Complicate_cauchy - _step__MAX","Group: Ours_Simple_cauchy - stage1/mcc_pearson","Group: Ours_Simple_cauchy - stage1/mcc_pearson__MIN","Group: Ours_Simple_cauchy - stage1/mcc_pearson__MAX","Group: Ours_Simple_cauchy - _step","Group: Ours_Simple_cauchy - _step__MIN","Group: Ours_Simple_cauchy - _step__MAX","Group: Ours_Complicate_cauchy - stage1/mcc_pearson","Group: Ours_Complicate_cauchy - stage1/mcc_pearson__MIN","Group: Ours_Complicate_cauchy - stage1/mcc_pearson__MAX","Group: Ours_Complicate_cauchy - _step","Group: Ours_Complicate_cauchy - _step__MIN","Group: Ours_Complicate_cauchy - _step__MAX"
"1","0.532146179087542","0.3831520434738736","0.6759188838233375","4","4","4","0.33702635360203775","0.188748125505413","0.46482767590163077","4","4","4","0.5364303567622061","0.4062723349428005","0.6560331878627942","4","4","4","0.364679317226465","0.2635211405670165","0.4433212236299459","4","4","4"
"251","0.5290554525385349","0.3494835304651481","0.6987668979010991","505","505","505","0.3489638696123035","0.20401015586196056","0.5121025134286983","505","505","505","0.5499747335154588","0.3428017509168216","0.6783131121498429","505","505","505","0.42582422983361806","0.3042280265435301","0.5288099530081389","505","505","505"
"501","0.5531706851116357","0.38240295379155165","0.6822077255746972","1006","1006","1006","0.3043432069040054","0.20960779406617897","0.38429373665927213","1006","1006","1006","0.6156712260095135","0.45646270307161646","0.8079023026875504","1006","1006","1006","0.37009023244301464","0.18055489826336618","0.5255726954492217","1006","1006","1006"
"751","0.5770232764863191","0.3987881367054958","0.7722097072587019","1507","1507","1507","0.310216424814092","0.21506583088905812","0.5034108572803969","1507","1507","1507","0.7098127250460583","0.43634893313748463","0.8380667753265615","1507","1507","1507","0.3828762493437154","0.21922602908029595","0.4756941940271802","1507","1507","1507"
"1001","0.5071656931117714","0.38411440381705836","0.6036005618506607","2008","2008","2008","0.35280948503285303","0.2295009093431796","0.46594936201652815","2008","2008","2008","0.599668846274626","0.44622366086135895","0.7219256033637959","2008","2008","2008","0.4669139628760982","0.3577029578417958","0.589707292957523","2008","2008","2008"
"1251","0.6092423135844465","0.39506396782262265","0.8547211383254535","2509","2509","2509","0.3423540962262888","0.10499630841726657","0.48468765939709985","2509","2509","2509","0.6880050521542523","0.5975475188964211","0.7838816312579086","2509","2509","2509","0.44060774931060476","0.10516381707506503","0.6122900201152816","2509","2509","2509"
"1501","0.5669830536652711","0.39729061805690385","0.6952323120765144","3010","3010","3010","0.31723542227281065","0.25432589097203306","0.3742301156262622","3010","3010","3010","0.6524901428020002","0.4562676143628864","0.7891912891468665","3010","3010","3010","0.4112484975785876","0.2877547760934257","0.5174984562494102","3010","3010","3010"
"1751","0.5958252506597227","0.3554939685187449","0.7208005806223857","3511","3511","3511","0.32843337037804016","0.19155167923391436","0.4655177978465458","3511","3511","3511","0.685722379987773","0.5453735610799278","0.8746444848337213","3511","3511","3511","0.3986908153597032","0.12491099291613397","0.5789148224145713","3511","3511","3511"
"2001","0.600064558749806","0.4486980387287778","0.7717104315367452","4012","4012","4012","0.3798343866620509","0.24392114978432464","0.5560934249288405","4012","4012","4012","0.6373996915735436","0.38878978001343206","0.8130514030374568","4012","4012","4012","0.44551705953200377","0.19767990326898813","0.5889623954196285","4012","4012","4012"
"2251","0.5659271618745046","0.4600301382822513","0.6932497922967924","4513","4513","4513","0.34612049188181254","0.18113415860334386","0.45688401299286757","4513","4513","4513","0.6358015430786431","0.4692537303743731","0.7807155473356818","4513","4513","4513","0.4577802475712141","0.24955549965760673","0.5228644888511617","4513","4513","4513"
