"stage2/step","Group: Ours_MSE_Simple_cauchy - stage2/mcc_spearman","Group: Ours_MSE_Simple_cauchy - stage2/mcc_spearman__MIN","Group: Ours_MSE_Simple_cauchy - stage2/mcc_spearman__MAX","Group: Ours_MSE_Simple_cauchy - _step","Group: Ours_MSE_Simple_cauchy - _step__MIN","Group: Ours_MSE_Simple_cauchy - _step__MAX","Group: Ours_MSE_Complicate_cauchy - stage2/mcc_spearman","Group: Ours_MSE_Complicate_cauchy - stage2/mcc_spearman__MIN","Group: Ours_MSE_Complicate_cauchy - stage2/mcc_spearman__MAX","Group: Ours_MSE_Complicate_cauchy - _step","Group: Ours_MSE_Complicate_cauchy - _step__MIN","Group: Ours_MSE_Complicate_cauchy - _step__MAX","Group: Ours_Simple_cauchy - stage2/mcc_spearman","Group: Ours_Simple_cauchy - stage2/mcc_spearman__MIN","Group: Ours_Simple_cauchy - stage2/mcc_spearman__MAX","Group: Ours_Simple_cauchy - _step","Group: Ours_Simple_cauchy - _step__MIN","Group: Ours_Simple_cauchy - _step__MAX","Group: Ours_Complicate_cauchy - stage2/mcc_spearman","Group: Ours_Complicate_cauchy - stage2/mcc_spearman__MIN","Group: Ours_Complicate_cauchy - stage2/mcc_spearman__MAX","Group: Ours_Complicate_cauchy - _step","Group: Ours_Complicate_cauchy - _step__MIN","Group: Ours_Complicate_cauchy - _step__MAX"
"3251","0.5118223999702839","0.3171495183929149","0.6298061523731846","23337","23337","23337","0.247662608986955","0.1963603580345082","0.31317133916920115","23336.2","23335","23337","0.6495300813758467","0.571064960546602","0.7548683669633584","23337","23337","23337","0.4707236729816218","0.392108623259701","0.5336034484832044","23336.2","23335","23337"
"3501","0.5154572515477094","0.3373686276910271","0.6339237590688495","23590","23590","23590","0.24876815546966088","0.18917173305974352","0.3115031448974147","23589.2","23588","23590","0.6577703546840246","0.5863722798085996","0.7596031206749543","23590","23590","23590","0.474348594438417","0.4298346743653396","0.5357559927083221","23589.2","23588","23590"
"3751","0.5177309722431649","0.32858306794081094","0.6317607954283025","23843","23843","23843","0.24648933449955876","0.20098707215966347","0.31102863143168635","23842.2","23841","23843","0.653279315954606","0.5678070772287933","0.7650358246707513","23843","23843","23843","0.47573908675166177","0.4279812251260747","0.5460716397091756","23842.2","23841","23843"
"4001","0.5138607590439704","0.32399949694909214","0.6303545959047695","24096","24096","24096","0.23686077393346533","0.1924152913509103","0.299386044327029","24095.2","24094","24096","0.649203334952318","0.5874813113632998","0.7618531319581922","24096","24096","24096","0.4807709074058632","0.4396776670701351","0.5543486674053708","24095.2","24094","24096"
"4251","0.5192052271077414","0.3139802078450734","0.6326443924701414","24349","24349","24349","0.2430494133544235","0.20197101588447172","0.2994975594884123","24348.2","24347","24349","0.6539627577578393","0.6021215575667926","0.7628544239311895","24349","24349","24349","0.4811326307235458","0.442546325454217","0.5393988793064799","24348.2","24347","24349"
"4501","0.5235423362428158","0.32057869867975247","0.642231825353747","24602","24602","24602","0.25141255566908616","0.20685830343587944","0.3255289821256394","24601.2","24600","24602","0.6461613014037055","0.5598677911693167","0.7601617559024332","24602","24602","24602","0.4854959693729131","0.44087129160933375","0.5438995114953992","24601.2","24600","24602"
"4751","0.5263860419899261","0.3325930563082974","0.6409192592409851","24855","24855","24855","0.2525138328376481","0.21231472156958317","0.32076326684731493","24854.2","24853","24855","0.653603170915485","0.5745533809255098","0.7629838707345101","24855","24855","24855","0.4868798040021822","0.40115203088880846","0.552685740800143","24854.2","24853","24855"
"5001","0.5246167746300848","0.31505608737888274","0.6393925928370617","25108","25108","25108","0.24888470004562113","0.20633716194018592","0.3136352505922182","25107.2","25106","25108","0.65900286035168","0.6202334281784907","0.7624158378001207","25108","25108","25108","0.49118221672113005","0.40461915238289026","0.5593103154858745","25107.2","25106","25108"
"5251","0.5270525268659665","0.33345335862822356","0.6361486853420214","25361","25361","25361","0.248989592129516","0.19994019423696432","0.3107248753203649","25360.2","25359","25361","0.6555250926843957","0.5742710489610228","0.7608684037845822","25361","25361","25361","0.4887543721631382","0.41348789657216134","0.5791864622963795","25360.2","25359","25361"
"5501","0.5359560488363695","0.33845465224413446","0.6345745028667323","25614","25614","25614","0.23903230713404308","0.10877502515078763","0.3071880092946747","25613.2","25612","25614","0.6488269081300178","0.5293389555350273","0.7614712062921742","25614","25614","25614","0.49535782687279584","0.41485331302481765","0.5777515068531583","25613.2","25612","25614"
