"stage2/step","Group: VaDE_Complicate_gauss - stage2/mcc_spearman","Group: VaDE_Complicate_gauss - stage2/mcc_spearman__MIN","Group: VaDE_Complicate_gauss - stage2/mcc_spearman__MAX","Group: VaDE_Complicate_gauss - _step","Group: VaDE_Complicate_gauss - _step__MIN","Group: VaDE_Complicate_gauss - _step__MAX","Group: Danru_Complicate_gauss - stage2/mcc_spearman","Group: Danru_Complicate_gauss - stage2/mcc_spearman__MIN","Group: Danru_Complicate_gauss - stage2/mcc_spearman__MAX","Group: Danru_Complicate_gauss - _step","Group: Danru_Complicate_gauss - _step__MIN","Group: Danru_Complicate_gauss - _step__MAX","Group: Ours_Complicate_gauss - stage2/mcc_spearman","Group: Ours_Complicate_gauss - stage2/mcc_spearman__MIN","Group: Ours_Complicate_gauss - stage2/mcc_spearman__MAX","Group: Ours_Complicate_gauss - _step","Group: Ours_Complicate_gauss - _step__MIN","Group: Ours_Complicate_gauss - _step__MAX"
"2501","0.40168997945912766","0.29543029061164383","0.4743436175940293","12577","12577","12577","0.4469562762100733","0.23016688208066766","0.5333904095661912","22577.4","22576","22578","0.5850901842765934","0.5003607459385492","0.7057290062782772","22577.2","22576","22578"
"2751","0.391745087774963","0.23304056533373396","0.45675506639829333","12830","12830","12830","0.4521993549729886","0.23860493206707217","0.5412863546328838","22830.4","22829","22831","0.5896478053522785","0.5010958130322815","0.7139090645832712","22830.2","22829","22831"
"3001","0.3785783423147596","0.2716293694994044","0.45012421345264747","13083","13083","13083","0.4602603085748823","0.2378858184787506","0.5412617615674182","23083.4","23082","23084","0.5949699565951407","0.5043776167620293","0.7205483103394841","23083.2","23082","23084"
"3251","0.37976756744600737","0.27547497798129317","0.4335305310766818","13336","13336","13336","0.45224812773879036","0.23350096727326813","0.5404510670112034","23336.4","23335","23337","0.5991199403922526","0.5072851425230545","0.731461220320391","23336.2","23335","23337"
"3501","0.36102472886950754","0.23807047343600307","0.44063173505270925","13589","13589","13589","0.45324240714075437","0.22808924846082204","0.5426251027495546","23589.4","23588","23590","0.6024765444645077","0.5035601483575108","0.7320801691258916","23589.2","23588","23590"
"3751","0.3558196213700765","0.28517070969298225","0.4258895326195473","13842","13842","13842","0.4556431985792811","0.2270787173003895","0.5453648505660704","23842.4","23841","23843","0.6070516231619469","0.5086579340359406","0.7409470349272793","23842.2","23841","23843"
"4001","0.35309705270682945","0.29611784585766604","0.431756685435428","14095","14095","14095","0.4380519404407502","0.23146038404899166","0.49671860103997645","24095.4","24094","24096","0.6103887814786008","0.5127543077824164","0.7476707664054194","24095.2","24094","24096"
"4251","0.34828976458804345","0.2696421306787081","0.4260628293863132","14348","14348","14348","0.4544161440634123","0.24181153534612268","0.5038970722470644","24348.4","24347","24349","0.6141002056710639","0.5089511057671282","0.7535695141835212","24348.2","24347","24349"
"4501","0.342030029033104","0.2930659849049953","0.4282880528216314","14601","14601","14601","0.4517604714088844","0.24207648586992914","0.5094383512659979","24601.4","24600","24602","0.6183940852837352","0.512821613270219","0.7554508264066843","24601.2","24600","24602"
"4751","0.33757368158154955","0.27257561946856745","0.4220096113150464","14854","14854","14854","0.45045926904687256","0.23202459450001353","0.5131934719549165","24854.4","24853","24855","0.6207831227251157","0.5041286147805092","0.7621697521955333","24854.2","24853","24855"
