"stage1/step","Group: Ours_trunc_Complicate_cauchy - stage1/mcc_spearman","Group: Ours_trunc_Complicate_cauchy - stage1/mcc_spearman__MIN","Group: Ours_trunc_Complicate_cauchy - stage1/mcc_spearman__MAX","Group: Ours_trunc_Complicate_cauchy - _step","Group: Ours_trunc_Complicate_cauchy - _step__MIN","Group: Ours_trunc_Complicate_cauchy - _step__MAX","Group: Ours_trunc_Simple_cauchy - stage1/mcc_spearman","Group: Ours_trunc_Simple_cauchy - stage1/mcc_spearman__MIN","Group: Ours_trunc_Simple_cauchy - stage1/mcc_spearman__MAX","Group: Ours_trunc_Simple_cauchy - _step","Group: Ours_trunc_Simple_cauchy - _step__MIN","Group: Ours_trunc_Simple_cauchy - _step__MAX","Group: Ours_Complicate_gauss - stage1/mcc_spearman","Group: Ours_Complicate_gauss - stage1/mcc_spearman__MIN","Group: Ours_Complicate_gauss - stage1/mcc_spearman__MAX","Group: Ours_Complicate_gauss - _step","Group: Ours_Complicate_gauss - _step__MIN","Group: Ours_Complicate_gauss - _step__MAX","Group: Ours_Simple_cauchy - stage1/mcc_spearman","Group: Ours_Simple_cauchy - stage1/mcc_spearman__MIN","Group: Ours_Simple_cauchy - stage1/mcc_spearman__MAX","Group: Ours_Simple_cauchy - _step","Group: Ours_Simple_cauchy - _step__MIN","Group: Ours_Simple_cauchy - _step__MAX","Group: Ours_Complicate_gumbel - stage1/mcc_spearman","Group: Ours_Complicate_gumbel - stage1/mcc_spearman__MIN","Group: Ours_Complicate_gumbel - stage1/mcc_spearman__MAX","Group: Ours_Complicate_gumbel - _step","Group: Ours_Complicate_gumbel - _step__MIN","Group: Ours_Complicate_gumbel - _step__MAX","Group: Ours_Complicate_cauchy - stage1/mcc_spearman","Group: Ours_Complicate_cauchy - stage1/mcc_spearman__MIN","Group: Ours_Complicate_cauchy - stage1/mcc_spearman__MAX","Group: Ours_Complicate_cauchy - _step","Group: Ours_Complicate_cauchy - _step__MIN","Group: Ours_Complicate_cauchy - _step__MAX","Group: Ours_Simple_gauss - stage1/mcc_spearman","Group: Ours_Simple_gauss - stage1/mcc_spearman__MIN","Group: Ours_Simple_gauss - stage1/mcc_spearman__MAX","Group: Ours_Simple_gauss - _step","Group: Ours_Simple_gauss - _step__MIN","Group: Ours_Simple_gauss - _step__MAX","Group: Ours_Simple_gumbel - stage1/mcc_spearman","Group: Ours_Simple_gumbel - stage1/mcc_spearman__MIN","Group: Ours_Simple_gumbel - stage1/mcc_spearman__MAX","Group: Ours_Simple_gumbel - _step","Group: Ours_Simple_gumbel - _step__MIN","Group: Ours_Simple_gumbel - _step__MAX"
"1","0.3035838214825159","0.26641515535052973","0.3426973808551549","4","4","4","0.41467820683138995","0.29686256606254097","0.5817004158756766","4","4","4","0.37214704641029017","0.3478661904798234","0.40137250215347564","4","4","4","0.40994336468032433","0.28762471206096235","0.5653642016948908","4","4","4","0.37679193993073634","0.3275926317970203","0.4404844502964497","4","4","4","0.2612470838473958","0.2315957276028003","0.28373172818125947","4","4","4","0.4952722778854063","0.41002674098523745","0.6069415440404614","4","4","4","0.5612522316602342","0.5124377416810256","0.6447199289461616","4","4","4"
"251","0.389214852491835","0.36023245012079425","0.4274421248181183","505","505","505","0.6345808487652236","0.5839674469398033","0.6899563076353094","505","505","505","0.45928337289225063","0.404366658333454","0.49965033092697536","505","505","505","0.5923119947387336","0.5530668166422559","0.6240486712806438","505","505","505","0.4645873707515752","0.43421634118955604","0.499669101133654","505","505","505","0.34331552174393276","0.3080558442218072","0.3690633973454657","505","505","505","0.6654671374195059","0.6107188413162853","0.7662628142856304","505","505","505","0.6716215795708985","0.5925191794558465","0.7445076576694379","505","505","505"
"501","0.40696420210091705","0.37305938524889004","0.4376798982184547","1006","1006","1006","0.6634121875793879","0.6128126111688881","0.7053615220002903","1006","1006","1006","0.46112922086728847","0.400117403475681","0.49929910811176137","1006","1006","1006","0.6090554205177495","0.5337989638312282","0.668675850158464","1006","1006","1006","0.4728182766559727","0.45473218817348726","0.5094154947517039","1006","1006","1006","0.3550021334062587","0.32917523678941446","0.3741816414728025","1006","1006","1006","0.6667352786517575","0.6102463452379666","0.7695504854147655","1006","1006","1006","0.6708803793370649","0.5910266005127666","0.744920330313532","1006","1006","1006"
"751","0.41329346066450634","0.37198343916676924","0.4351720215823553","1507","1507","1507","0.6638524319854079","0.6152669550859801","0.7033195073791741","1507","1507","1507","0.46512249756659","0.4090656259427526","0.5049207335184679","1507","1507","1507","0.6157361286103772","0.5498072200027169","0.6767758724013735","1507","1507","1507","0.47478881361947367","0.45050005995517994","0.5069951536985151","1507","1507","1507","0.3645862000721548","0.3460787976514789","0.38094286847461656","1507","1507","1507","0.6654989364137494","0.6096059960810271","0.7696396749138602","1507","1507","1507","0.6700452610067601","0.5922630810315815","0.7462753208206888","1507","1507","1507"
"1001","0.4154593944184013","0.37159895638285007","0.4414383766964997","2008","2008","2008","0.6642999348615035","0.6147630953024444","0.7036654251449898","2008","2008","2008","0.4675104749311112","0.41327865710908657","0.506634043061876","2008","2008","2008","0.6239731454598632","0.5687224251549226","0.6735930284656919","2008","2008","2008","0.47745871175057475","0.46077594032390434","0.5096833747816052","2008","2008","2008","0.36851936152267784","0.3490272480763733","0.384357546861912","2008","2008","2008","0.6661966348538482","0.610262494075787","0.7699748961449032","2008","2008","2008","0.6715252773439586","0.5934087958738495","0.7483350813343023","2008","2008","2008"
"1251","0.41757261359595016","0.3757903259822425","0.442983276277082","2509","2509","2509","0.6645580668603179","0.614032320921349","0.7043821931462876","2509","2509","2509","0.4676032145119927","0.414355759890356","0.5105130571307112","2509","2509","2509","0.6284509311416138","0.583843565915382","0.6724865986245652","2509","2509","2509","0.47954585928450716","0.46626912318843783","0.5118178801547502","2509","2509","2509","0.371955614752452","0.3484223308006678","0.39353736662389577","2509","2509","2509","0.6663308790580864","0.610839877886371","0.7724122545017019","2509","2509","2509","0.6720011865159918","0.5965604944064632","0.7484659984448193","2509","2509","2509"
"1501","0.41879551251886304","0.38009559953252053","0.4424772579748694","3010","3010","3010","0.6641797874722359","0.6149850535874927","0.7039602971375464","3010","3010","3010","0.4698572985507662","0.42367977248417155","0.5105164857713371","3010","3010","3010","0.6322462699310167","0.5803151275468061","0.6866580999947768","3010","3010","3010","0.48128379841184776","0.4644986414489269","0.5155285214475218","3010","3010","3010","0.3729957357965975","0.35391501353447075","0.39683285314968764","3010","3010","3010","0.6666816491658641","0.6119926004873754","0.7728258057517744","3010","3010","3010","0.6731822365873678","0.6005764385628515","0.7525922940981201","3010","3010","3010"
"1751","0.4209275368389863","0.381637159789683","0.4426608888809989","3511","3511","3511","0.6642453255051289","0.6139209162372491","0.7055230289163","3511","3511","3511","0.4705212469983898","0.4236960013046125","0.512603966832738","3511","3511","3511","0.6335898098631298","0.5800530259447015","0.6853012927208838","3511","3511","3511","0.48022461503211505","0.4647085542990325","0.5121997517009665","3511","3511","3511","0.37491879583401","0.3578211778316295","0.3978032947617406","3511","3511","3511","0.6666897803984193","0.6131128494373125","0.7688484791117794","3511","3511","3511","0.6724181758205383","0.5999469979577855","0.7537119109575503","3511","3511","3511"
"2001","0.42119313443939105","0.38287158528541243","0.444431692371215","4012","4012","4012","0.6647066247798638","0.6148640726326904","0.7049239057742621","4012","4012","4012","0.47367949083239286","0.4309592887944584","0.5110813636924305","4012","4012","4012","0.6376617078173243","0.5808651591096977","0.687161096568508","4012","4012","4012","0.48278578516245074","0.46645009295099193","0.5147738508865072","4012","4012","4012","0.3761297890543333","0.35713049986426615","0.39574757670646177","4012","4012","4012","0.6653949202306658","0.6138107980479637","0.7698543649287553","4012","4012","4012","0.6717537287697766","0.6007094890619188","0.7563279275055685","4012","4012","4012"
"2251","0.4221381273526223","0.3843335162633897","0.4431666608965406","4513","4513","4513","0.6641028295678204","0.613906989661651","0.7036751087873038","4513","4513","4513","0.4748236084281022","0.43136013996614153","0.5170179534822643","4513","4513","4513","0.6370563254650368","0.5809599813972035","0.6874855688520123","4513","4513","4513","0.48481147807149966","0.47095516343583055","0.5189411680112677","4513","4513","4513","0.37729204275749845","0.36146040349181263","0.4003277042401622","4513","4513","4513","0.6662624299944495","0.6141386446028548","0.771422632748474","4513","4513","4513","0.6719491759426521","0.601461726903269","0.7525647726554755","4513","4513","4513"
