"stage1/step","Group: VaDE_Simple_gumbel - stage1/mcc_spearman","Group: VaDE_Simple_gumbel - stage1/mcc_spearman__MIN","Group: VaDE_Simple_gumbel - stage1/mcc_spearman__MAX","Group: VaDE_Simple_gumbel - _step","Group: VaDE_Simple_gumbel - _step__MIN","Group: VaDE_Simple_gumbel - _step__MAX","Group: Danru_Simple_gumbel - stage1/mcc_spearman","Group: Danru_Simple_gumbel - stage1/mcc_spearman__MIN","Group: Danru_Simple_gumbel - stage1/mcc_spearman__MAX","Group: Danru_Simple_gumbel - _step","Group: Danru_Simple_gumbel - _step__MIN","Group: Danru_Simple_gumbel - _step__MAX","Group: Ours_Simple_gumbel - stage1/mcc_spearman","Group: Ours_Simple_gumbel - stage1/mcc_spearman__MIN","Group: Ours_Simple_gumbel - stage1/mcc_spearman__MAX","Group: Ours_Simple_gumbel - _step","Group: Ours_Simple_gumbel - _step__MIN","Group: Ours_Simple_gumbel - _step__MAX"
"5251","0.6735670186900412","0.6448226967302659","0.6936410524908506","5273","5273","5273","0.6440009907817114","0.49914059612326006","0.695692780875615","10525","10525","10525","0.6750924056115217","0.6162487211612081","0.7565049455402156","10525","10525","10525"
"5501","0.6777291146463935","0.6425397320469015","0.7880738339596216","5524","5524","5524","0.6430089306578156","0.4982380257847103","0.692722884049802","11026","11026","11026","0.6752892174329652","0.6165784712616695","0.7588745153009494","11026","11026","11026"
"5751","0.683684511164759","0.6146008066881078","0.7889289177621678","5775","5775","5775","0.6437785701835925","0.5021141837894345","0.6954500945219381","11527","11527","11527","0.6760284547832924","0.6171329947150036","0.7590514831762013","11527","11527","11527"
"6001","0.6665848804716121","0.6187140503651744","0.7004028725270578","6026","6026","6026","0.6415723300971868","0.4917948809008362","0.6939999563421333","12028","12028","12028","0.6758952072337006","0.6179568724819254","0.7580528620964387","12028","12028","12028"
"6251","0.6580063711610109","0.5488096437635975","0.754290877303264","6277","6277","6277","0.6412425656248844","0.4940030494255477","0.6924511285597402","12529","12529","12529","0.6761099960166123","0.6147494635789313","0.7575288450141544","12529","12529","12529"
"6501","0.677101977797094","0.5814619682110252","0.7906705002847602","6528","6528","6528","0.640378544683063","0.4930181041984592","0.6907596960267686","13030","13030","13030","0.6758779960395277","0.6205727579733277","0.7571073998484578","13030","13030","13030"
"6751","0.6603124816383152","0.4773741043254241","0.7811823428720852","6779","6779","6779","0.6404241212370986","0.49857888326522143","0.6872411647807309","13531","13531","13531","0.6771324658593676","0.6209445909060851","0.7592735386251132","13531","13531","13531"
"7001","0.6723131703780695","0.6174375015284438","0.7544519260596246","7030","7030","7030","0.63859638347736","0.48882330915604594","0.6864622664533999","14032","14032","14032","0.6766210765895132","0.6202230347594029","0.7562964645387172","14032","14032","14032"
"7251","0.673232149821739","0.607911108297562","0.7723109116275806","7281","7281","7281","0.6397337079627479","0.49651421131467927","0.6865690342692595","14533","14533","14533","0.6765390526481221","0.6209280113527688","0.7574981548702345","14533","14533","14533"
"7501","0.6740637452815725","0.6339744182005919","0.7257503516147178","7532","7532","7532","0.6393146391478072","0.49461004121554275","0.6860346113664093","15034","15034","15034","0.6774611506906045","0.6223964398944005","0.7596255831937224","15034","15034","15034"
"7751","0.6788975187339832","0.6332901527578735","0.7820533745591635","7783","7783","7783","0.638256247057569","0.49558025008004886","0.6850095360525589","15535","15535","15535","0.6761518704996055","0.619932770135571","0.7556421596966496","15535","15535","15535"
"8001","0.6592436973890367","0.5477136845028672","0.7290902460498042","8034","8034","8034","0.6368929904694958","0.4818978455094946","0.6847597596111497","16036","16036","16036","0.6771216928007653","0.6233378365871344","0.7592640679946031","16036","16036","16036"
"8251","0.6843734986276342","0.6386118237915316","0.7795886242122639","8285","8285","8285","0.6367739990833406","0.48815050704583784","0.6863953608949198","16537","16537","16537","0.6780017405003104","0.622154196121411","0.7594366913557273","16537","16537","16537"
"8501","0.6589370645929582","0.5562617083102376","0.706340395116359","8536","8536","8536","0.6372705229864226","0.4894079702273628","0.685585039035525","17038","17038","17038","0.6779893991947329","0.6221351611337543","0.7581205992299015","17038","17038","17038"
"8751","0.6811396611865023","0.6138732517190447","0.7773946697938575","8787","8787","8787","0.636379490287953","0.48147039441114564","0.6830802280496878","17539","17539","17539","0.6778544883319855","0.624105931627187","0.7564727707066976","17539","17539","17539"
"9001","0.6779642227165625","0.6156824603796931","0.7803729686259947","9038","9038","9038","0.6366088824974732","0.48667535385052946","0.683661519882301","18040","18040","18040","0.6788179342282927","0.6245991939391037","0.7578138226305907","18040","18040","18040"
"9251","0.6638724481512904","0.558436673669494","0.7732960713632862","9289","9289","9289","0.635632786154505","0.48337176808947424","0.681263549478308","18541","18541","18541","0.6780550967443197","0.6242471207845243","0.7603789453508041","18541","18541","18541"
"9501","0.666491583202713","0.6203644751003248","0.7684924462536307","9540","9540","9540","0.635965607937978","0.4799199717886243","0.6816752236575736","19042","19042","19042","0.6777592895277029","0.6268703757903394","0.7589610930113023","19042","19042","19042"
"9751","0.682168061505106","0.6245405023697199","0.7728260862848696","9791","9791","9791","0.6351907420637518","0.48551175196307045","0.6793195138592831","19543","19543","19543","0.6784347175934237","0.6285797817285542","0.7589633801748076","19543","19543","19543"
