"stage2/step","Group: VaDE_Complicate_gumbel - stage2/mcc_pearson","Group: VaDE_Complicate_gumbel - stage2/mcc_pearson__MIN","Group: VaDE_Complicate_gumbel - stage2/mcc_pearson__MAX","Group: VaDE_Complicate_gumbel - _step","Group: VaDE_Complicate_gumbel - _step__MIN","Group: VaDE_Complicate_gumbel - _step__MAX","Group: Danru_Complicate_gumbel - stage2/mcc_pearson","Group: Danru_Complicate_gumbel - stage2/mcc_pearson__MIN","Group: Danru_Complicate_gumbel - stage2/mcc_pearson__MAX","Group: Danru_Complicate_gumbel - _step","Group: Danru_Complicate_gumbel - _step__MIN","Group: Danru_Complicate_gumbel - _step__MAX","Group: Ours_Complicate_gumbel - stage2/mcc_pearson","Group: Ours_Complicate_gumbel - stage2/mcc_pearson__MIN","Group: Ours_Complicate_gumbel - stage2/mcc_pearson__MAX","Group: Ours_Complicate_gumbel - _step","Group: Ours_Complicate_gumbel - _step__MIN","Group: Ours_Complicate_gumbel - _step__MAX"
"2501","0.32225001303052137","0.22661683452666015","0.4367464001386751","12577","12577","12577","0.3989932979588586","0.31602010149425663","0.5989705104872326","22577.4","22576","22578","0.669995132363254","0.6048187684395706","0.7658939367814054","22577.2","22576","22578"
"2751","0.3240649164846094","0.2047047797703591","0.44874113892584316","12830","12830","12830","0.39686154014278496","0.3156828869423817","0.5912751553103559","22830.4","22829","22831","0.6768308673967036","0.61204007543271","0.772490084859164","22830.2","22829","22831"
"3001","0.313165665343366","0.2074221294613992","0.43051888032308916","13083","13083","13083","0.4164904133727617","0.31329145734986913","0.6321225809148687","23083.4","23082","23084","0.6813555070634034","0.6104114893415604","0.77776722347299","23083.2","23082","23084"
"3251","0.31983107346071854","0.23473607526447093","0.4326326949111764","13336","13336","13336","0.41849300262364963","0.3049845232862039","0.6475662010962626","23336.4","23335","23337","0.6897860429608851","0.614927987776113","0.7855038612353233","23336.2","23335","23337"
"3501","0.29843794034995785","0.22361706255809993","0.4238485591111938","13589","13589","13589","0.4207329956565468","0.31646416879831485","0.6564981311318505","23589.4","23588","23590","0.6952950377064935","0.6125097458984908","0.7904974266690126","23589.2","23588","23590"
"3751","0.3088873328541201","0.1993427991762066","0.45640207187188697","13842","13842","13842","0.4228201283992986","0.3106074378799239","0.6622476713929372","23842.4","23841","23843","0.7029529723052536","0.6183169741178146","0.7988962261809409","23842.2","23841","23843"
"4001","0.3136066235999568","0.22400891563513614","0.4419238259332191","14095","14095","14095","0.42055836904600835","0.3085191720851875","0.6695060380262838","24095.4","24094","24096","0.710266629274416","0.6287609765052711","0.805438569950876","24095.2","24094","24096"
"4251","0.3201126326406912","0.2309145362100177","0.4401152021781371","14348","14348","14348","0.3896799697194817","0.28144376059362475","0.5227101609451573","24348.4","24347","24349","0.7150523858561508","0.6297240990813241","0.8148741757575271","24348.2","24347","24349"
"4501","0.3052592082740562","0.2397719485585313","0.3965367774226972","14601","14601","14601","0.41841530764754575","0.3058301907356284","0.5659433765161003","24601.4","24600","24602","0.7198084475310886","0.631469906028271","0.8131172855902198","24601.2","24600","24602"
"4751","0.324828830834362","0.23328694562140156","0.38170470449660776","14854","14854","14854","0.4245546712346818","0.30915619223357527","0.5614467786896615","24854.4","24853","24855","0.7270845090606151","0.6356249595117917","0.8217358263839045","24854.2","24853","24855"
