"stage1/step","Group: VaDE_Simple_gauss - stage1/mcc_spearman","Group: VaDE_Simple_gauss - stage1/mcc_spearman__MIN","Group: VaDE_Simple_gauss - stage1/mcc_spearman__MAX","Group: VaDE_Simple_gauss - _step","Group: VaDE_Simple_gauss - _step__MIN","Group: VaDE_Simple_gauss - _step__MAX","Group: Danru_Simple_gauss - stage1/mcc_spearman","Group: Danru_Simple_gauss - stage1/mcc_spearman__MIN","Group: Danru_Simple_gauss - stage1/mcc_spearman__MAX","Group: Danru_Simple_gauss - _step","Group: Danru_Simple_gauss - _step__MIN","Group: Danru_Simple_gauss - _step__MAX","Group: Ours_Simple_gauss - stage1/mcc_spearman","Group: Ours_Simple_gauss - stage1/mcc_spearman__MIN","Group: Ours_Simple_gauss - stage1/mcc_spearman__MAX","Group: Ours_Simple_gauss - _step","Group: Ours_Simple_gauss - _step__MIN","Group: Ours_Simple_gauss - _step__MAX"
"4251","0.7177176754195272","0.6130649103613085","0.7931484257321063","4269","4269","4269","0.6437004878715262","0.44179827901054286","0.7169058920566346","8521","8521","8521","0.6660213946915525","0.6146491315968156","0.7725065376445356","8521","8521","8521"
"4501","0.6942566392395512","0.5180541264167916","0.7825306222988394","4520","4520","4520","0.6425931160592298","0.44023093666843116","0.7142903604265323","9022","9022","9022","0.6655732630961814","0.6147344860489447","0.7725817784613489","9022","9022","9022"
"4751","0.730975769891834","0.6618025035074074","0.7928951699749581","4771","4771","4771","0.6421016382095999","0.44084633378832844","0.7136831407316544","9523","9523","9523","0.6663139866551782","0.6160351854862345","0.7709651337949657","9523","9523","9523"
"5001","0.6973872762817577","0.5936699776966979","0.7751699034511357","5022","5022","5022","0.6416289111735838","0.43889691205887127","0.7134066696865272","10024","10024","10024","0.6670125683330462","0.616261384776131","0.7717050677647718","10024","10024","10024"
"5251","0.7175536548201366","0.6103088258126101","0.7930480778670139","5273","5273","5273","0.6406422978502441","0.4430757484700165","0.7125065051289372","10525","10525","10525","0.666060026310417","0.6150822127736658","0.7719248568767693","10525","10525","10525"
"5501","0.7090626914018272","0.6212551459374045","0.785377821630182","5524","5524","5524","0.6400862718651752","0.43425076768970877","0.7146376887194362","11026","11026","11026","0.6658880561143128","0.6150603410025813","0.7741981405228359","11026","11026","11026"
"5751","0.7222313124678615","0.6667172506689457","0.7722855915828787","5775","5775","5775","0.6397304784000307","0.44405331930344655","0.7102262910204655","11527","11527","11527","0.6659443629159966","0.6158538309282463","0.7719079753883907","11527","11527","11527"
"6001","0.7192204985602026","0.6122974139767958","0.7838920654507557","6026","6026","6026","0.6388985348268724","0.4379277801369727","0.708522842583614","12028","12028","12028","0.6660702982046571","0.6153539095089472","0.7718550475662064","12028","12028","12028"
"6251","0.7193659765142534","0.6573097878134483","0.7809956207395942","6277","6277","6277","0.6384155158250577","0.43863799015321286","0.7139090853010431","12529","12529","12529","0.6662067362323236","0.6157921403339407","0.7710825535486086","12529","12529","12529"
"6501","0.7134096611686702","0.6121244883192261","0.7876835530366423","6528","6528","6528","0.6394719705857744","0.4497239983205741","0.7067568867742193","13030","13030","13030","0.6658246069075878","0.6148978328716939","0.7743704530261661","13030","13030","13030"
