"stage1/step","Group: Ours_trunc_Complicate_cauchy - stage1/mcc_pearson","Group: Ours_trunc_Complicate_cauchy - stage1/mcc_pearson__MIN","Group: Ours_trunc_Complicate_cauchy - stage1/mcc_pearson__MAX","Group: Ours_trunc_Complicate_cauchy - _step","Group: Ours_trunc_Complicate_cauchy - _step__MIN","Group: Ours_trunc_Complicate_cauchy - _step__MAX","Group: Ours_trunc_Simple_cauchy - stage1/mcc_pearson","Group: Ours_trunc_Simple_cauchy - stage1/mcc_pearson__MIN","Group: Ours_trunc_Simple_cauchy - stage1/mcc_pearson__MAX","Group: Ours_trunc_Simple_cauchy - _step","Group: Ours_trunc_Simple_cauchy - _step__MIN","Group: Ours_trunc_Simple_cauchy - _step__MAX","Group: Ours_Complicate_gauss - stage1/mcc_pearson","Group: Ours_Complicate_gauss - stage1/mcc_pearson__MIN","Group: Ours_Complicate_gauss - stage1/mcc_pearson__MAX","Group: Ours_Complicate_gauss - _step","Group: Ours_Complicate_gauss - _step__MIN","Group: Ours_Complicate_gauss - _step__MAX","Group: Ours_Simple_cauchy - stage1/mcc_pearson","Group: Ours_Simple_cauchy - stage1/mcc_pearson__MIN","Group: Ours_Simple_cauchy - stage1/mcc_pearson__MAX","Group: Ours_Simple_cauchy - _step","Group: Ours_Simple_cauchy - _step__MIN","Group: Ours_Simple_cauchy - _step__MAX","Group: Ours_Complicate_gumbel - stage1/mcc_pearson","Group: Ours_Complicate_gumbel - stage1/mcc_pearson__MIN","Group: Ours_Complicate_gumbel - stage1/mcc_pearson__MAX","Group: Ours_Complicate_gumbel - _step","Group: Ours_Complicate_gumbel - _step__MIN","Group: Ours_Complicate_gumbel - _step__MAX","Group: Ours_Complicate_cauchy - stage1/mcc_pearson","Group: Ours_Complicate_cauchy - stage1/mcc_pearson__MIN","Group: Ours_Complicate_cauchy - stage1/mcc_pearson__MAX","Group: Ours_Complicate_cauchy - _step","Group: Ours_Complicate_cauchy - _step__MIN","Group: Ours_Complicate_cauchy - _step__MAX","Group: Ours_Simple_gauss - stage1/mcc_pearson","Group: Ours_Simple_gauss - stage1/mcc_pearson__MIN","Group: Ours_Simple_gauss - stage1/mcc_pearson__MAX","Group: Ours_Simple_gauss - _step","Group: Ours_Simple_gauss - _step__MIN","Group: Ours_Simple_gauss - _step__MAX","Group: Ours_Simple_gumbel - stage1/mcc_pearson","Group: Ours_Simple_gumbel - stage1/mcc_pearson__MIN","Group: Ours_Simple_gumbel - stage1/mcc_pearson__MAX","Group: Ours_Simple_gumbel - _step","Group: Ours_Simple_gumbel - _step__MIN","Group: Ours_Simple_gumbel - _step__MAX"
"2501","0.5291248005322459","0.48989981288887663","0.5537404700972275","5014","5014","5014","0.7745286299826816","0.6448738272334257","0.8922117889501111","5014","5014","5014","0.525111648429292","0.48985149786003007","0.572476479702994","5014","5014","5014","0.6479533161293984","0.39283200849509187","0.8676690279579748","5014","5014","5014","0.5497915227665675","0.5319190999251503","0.5980950834327727","5014","5014","5014","0.39872582076043994","0.2577550608565392","0.5221916211852009","5014","5014","5014","0.7516898409670297","0.6274604881700041","0.9350110374305896","5014","5014","5014","0.771004284463839","0.621712494530264","0.899132121473113","5014","5014","5014"
"2751","0.5294612977198614","0.48931024089346975","0.5531017520051905","5515","5515","5515","0.7747231004312432","0.6449970138888294","0.8892793960183974","5515","5515","5515","0.5262081497630589","0.4887911789114675","0.5777546659939452","5515","5515","5515","0.6214980924390969","0.36173714525986256","0.8359912390439055","5515","5515","5515","0.5507624198292488","0.5354007576687366","0.5975977774093859","5515","5515","5515","0.3724148892538771","0.19420176140401751","0.5498653260623385","5515","5515","5515","0.7520396121016217","0.6337878890642561","0.9375487858946866","5515","5515","5515","0.7684090164132091","0.6147690887187175","0.9046530978906823","5515","5515","5515"
"3001","0.5318358777186522","0.49058708124083683","0.5578163723233129","6016","6016","6016","0.7753312520648372","0.6469556500891503","0.8901459672988583","6016","6016","6016","0.5243610231263045","0.4892805992181657","0.5760822794331022","6016","6016","6016","0.6459644410862377","0.3445105838930575","0.8645891379012195","6016","6016","6016","0.5526017576182677","0.534422273962013","0.6000940955073956","6016","6016","6016","0.4108757625251626","0.19469561003812264","0.535069087343617","6016","6016","6016","0.7519637163269358","0.6295687993925688","0.9362006040916718","6016","6016","6016","0.7696434457080188","0.6214539810599242","0.9033316029923605","6016","6016","6016"
"3251","0.5323204291390919","0.4905839249534957","0.5614827489489377","6517","6517","6517","0.7759883358707743","0.644078152373564","0.8928027129033959","6517","6517","6517","0.5288444233521724","0.4947512914323517","0.5793560517994973","6517","6517","6517","0.5848335058076072","0.3612916940118944","0.78684097071369","6517","6517","6517","0.5538662586092106","0.5347575058148568","0.6008681666951471","6517","6517","6517","0.4200473383248526","0.21140500336393875","0.5707945963158445","6517","6517","6517","0.7532015636352589","0.6342999251925369","0.9379299872302544","6517","6517","6517","0.7715969137551059","0.6205542307335199","0.9049673436657745","6517","6517","6517"
"3501","0.5332419662158262","0.48848416602812234","0.5596448556392117","7018","7018","7018","0.7753018664769933","0.6432731594103465","0.8917847551490734","7018","7018","7018","0.5297330505454094","0.4927819866104527","0.5813654830348158","7018","7018","7018","0.6332611696517821","0.42312072278888263","0.7609816693730447","7018","7018","7018","0.5569891337510755","0.5409880449644822","0.6049038659815108","7018","7018","7018","0.4694149884859267","0.37713596357786894","0.630089713602746","7018","7018","7018","0.7531126035239708","0.6371430127836533","0.9407433052081001","7018","7018","7018","0.7721100847869564","0.6161664074639387","0.9065613763815049","7018","7018","7018"
"3751","0.5320318241852948","0.48981756060621195","0.5592898732466551","7519","7519","7519","0.7760599838817743","0.6448119085624712","0.8930040973413891","7519","7519","7519","0.5308634709804394","0.4966250721673274","0.5786210072879812","7519","7519","7519","0.6136553818587","0.43103138890501685","0.7382072415990546","7519","7519","7519","0.5564945449279751","0.5429369779849471","0.6015863591355471","7519","7519","7519","0.4365909790131036","0.2195267083463312","0.5494845878007018","7519","7519","7519","0.7532415172547097","0.6387832692641017","0.9404021866934285","7519","7519","7519","0.771623282800714","0.6118986151488157","0.9065865990520825","7519","7519","7519"
"4001","0.5327760364141567","0.4932614527959955","0.5576498147838647","8020","8020","8020","0.7763764546612013","0.6466028526869718","0.8912507938145097","8020","8020","8020","0.5302013634376113","0.5000264569121893","0.5803909826863645","8020","8020","8020","0.6682806343809321","0.5118518763373364","0.8097507683281092","8020","8020","8020","0.5564817885950438","0.5393170108198496","0.6041852736059989","8020","8020","8020","0.49211006125714196","0.3731562095059788","0.626630290110953","8020","8020","8020","0.7532897137647496","0.6361766300590815","0.9392554068792215","8020","8020","8020","0.7723405179274679","0.6102817893672965","0.9066934240779648","8020","8020","8020"
"4251","0.5362492357050955","0.49746968256508417","0.5609582991873234","8521","8521","8521","0.7773164657110194","0.6502634467675935","0.8921603199649267","8521","8521","8521","0.5311590049059942","0.5004575364858204","0.5788231391333533","8521","8521","8521","0.6595466046525209","0.4261804755497269","0.8424472293836155","8521","8521","8521","0.5574606431846639","0.5373774954916993","0.6063609684861104","8521","8521","8521","0.42694931613739595","0.31309272028281604","0.5080413662519427","8521","8521","8521","0.751481233600894","0.6273227187189508","0.9398408912092199","8521","8521","8521","0.7737638877062434","0.6155828049080189","0.905550723236385","8521","8521","8521"
"4501","0.5348690048455029","0.4937010190136647","0.5625901077324993","9022","9022","9022","0.7780851787754711","0.6518981988088147","0.8911135545906212","9022","9022","9022","0.5328351483936363","0.49763344991731173","0.5818802327505791","9022","9022","9022","0.6262563186972703","0.43778748611445656","0.7426736317546009","9022","9022","9022","0.5584832503832035","0.5409657230844402","0.6060773055522658","9022","9022","9022","0.39638971605635204","0.110412957827476","0.5190533498156089","9022","9022","9022","0.7536002964613394","0.6471887907904509","0.9405728740923359","9022","9022","9022","0.7732803527926679","0.6173408366276135","0.9103221843744812","9022","9022","9022"
"4751","0.535720993544592","0.49538675866634785","0.560328790826207","9523","9523","9523","0.7786313096516769","0.6520360563591239","0.8924235951905543","9523","9523","9523","0.5331756805259202","0.4987429503264346","0.5845356216393589","9523","9523","9523","0.6650195403183161","0.5302979486416808","0.8647720295331914","9523","9523","9523","0.5608865797078386","0.5439816672667429","0.6141319418251774","9523","9523","9523","0.4255104632036725","0.27112865530769875","0.5115160969760069","9523","9523","9523","0.7545888529149879","0.6437043081214261","0.94041073393048","9523","9523","9523","0.7735204642459786","0.6124165562884812","0.9082616959388726","9523","9523","9523"
