"stage2/step","Group: VaDE_Complicate_cauchy - stage2/mcc_spearman","Group: VaDE_Complicate_cauchy - stage2/mcc_spearman__MIN","Group: VaDE_Complicate_cauchy - stage2/mcc_spearman__MAX","Group: VaDE_Complicate_cauchy - _step","Group: VaDE_Complicate_cauchy - _step__MIN","Group: VaDE_Complicate_cauchy - _step__MAX","Group: Danru_Complicate_cauchy - stage2/mcc_spearman","Group: Danru_Complicate_cauchy - stage2/mcc_spearman__MIN","Group: Danru_Complicate_cauchy - stage2/mcc_spearman__MAX","Group: Danru_Complicate_cauchy - _step","Group: Danru_Complicate_cauchy - _step__MIN","Group: Danru_Complicate_cauchy - _step__MAX","Group: Ours_Complicate_cauchy - stage2/mcc_spearman","Group: Ours_Complicate_cauchy - stage2/mcc_spearman__MIN","Group: Ours_Complicate_cauchy - stage2/mcc_spearman__MAX","Group: Ours_Complicate_cauchy - _step","Group: Ours_Complicate_cauchy - _step__MIN","Group: Ours_Complicate_cauchy - _step__MAX"
"5001","0.07127282152993816","0","0.258488894779742","15107","15107","15107","0.23949079155237962","0.1667348119969165","0.2855775382887452","25107.2","25106","25108","0.49118221672113005","0.40461915238289026","0.5593103154858745","25107.2","25106","25108"
"5251","0.06929242650173657","0","0.2348895113650573","15360","15360","15360","0.24097157713590978","0.16802707032940606","0.3191442139080413","25360.2","25359","25361","0.4887543721631382","0.41348789657216134","0.5791864622963795","25360.2","25359","25361"
"5501","0.07131835507672982","0","0.26615582380896585","15613","15613","15613","0.23149950246920512","0.1653622382516673","0.27355273816096276","25613.2","25612","25614","0.49535782687279584","0.41485331302481765","0.5777515068531583","25613.2","25612","25614"
"5751","0.06838581678820507","0","0.24623174037962592","15866","15866","15866","0.23434987417675016","0.17298230132462464","0.29701455261421794","25866.2","25865","25867","0.49459272052355346","0.41311889917947264","0.5802390666045404","25866.2","25865","25867"
"6001","0.06945040028402945","0","0.24327971922337027","16119","16119","16119","0.24313980527426904","0.17943737893152528","0.2973741647739062","26119.2","26118","26120","0.4992364413153756","0.43357641687754783","0.5819030818843851","26119.2","26118","26120"
"6251","0.06835239037936192","0","0.231591623254302","16372","16372","16372","0.24819637432209482","0.16766824607333491","0.30386981746897695","26372.2","26371","26373","0.4917070712003911","0.42890630735557184","0.597907697180421","26372.2","26371","26373"
"6501","0.06963122616167647","0","0.2331854363370785","16625","16625","16625","0.24496043016587582","0.1806958926113981","0.2870125508138783","26625.2","26624","26626","0.4931705010252199","0.42994069233673154","0.5841019275093371","26625.2","26624","26626"
"6751","0.06972203907749164","0","0.23509506990066642","16878","16878","16878","0.24922443489393492","0.18106799905851226","0.30363232395811807","26878.2","26877","26879","0.49771026127475515","0.42369115560139275","0.5883002876580438","26878.2","26877","26879"
"7001","0.060778264813324344","0","0.22314910728339296","17131","17131","17131","0.2382827401695363","0.1714079309066159","0.2801528401665877","27131.2","27130","27132","0.4982856640781034","0.42733225165377675","0.6017810267397137","27131.2","27130","27132"
"7251","0.07045619276302104","0","0.24935411980885447","17384","17384","17384","0.24852913286699882","0.17264817506733307","0.3281658480540468","27384.2","27383","27385","0.49357814711002745","0.4340941507369189","0.5897653332573655","27384.2","27383","27385"
"7501","0.06901137846749825","0","0.23585133130927555","17637","17637","17637","0.2489492022674999","0.17595296127399995","0.3087779352409085","27637.2","27636","27638","0.4852688178058172","0.4251859808801197","0.5367522812593382","27637.2","27636","27638"
"7751","0.0715808205209856","0","0.25126149164488015","17890","17890","17890","0.24947211925795099","0.18096637046171998","0.29382454367541","27890.2","27889","27891","0.4927033313056917","0.4317308039841013","0.5933551708226393","27890.2","27889","27891"
"8001","0.07024605507116702","0","0.2354800283950061","18143","18143","18143","0.24568826496781532","0.1872547858801097","0.32180610984665414","28143.2","28142","28144","0.4969823067551699","0.4457052919161228","0.5931111164382298","28143.2","28142","28144"
"8251","0.07054972950006722","0","0.24958698172767918","18396","18396","18396","0.2451177708539281","0.18169923752487366","0.2875106317268654","28396.2","28395","28397","0.49812701711577506","0.4437728108868188","0.5939698902039741","28396.2","28395","28397"
"8501","0.06793549335068481","0","0.2493482605359981","18649","18649","18649","0.2489363096259868","0.17984191517845588","0.3238090686459419","28649.2","28648","28650","0.4998846738050665","0.44349940730345017","0.5968040934455539","28649.2","28648","28650"
"8751","0.06786941098677976","0","0.2546799603427333","18902","18902","18902","0.24586168738003242","0.17101605350698953","0.30127067743667363","28902.2","28901","28903","0.5021414430617955","0.4430292099602836","0.5998651676807014","28902.2","28901","28903"
"9001","0.07068046891221802","0","0.25646887173456523","19155","19155","19155","0.23615691168907427","0.1818423656846305","0.29164180479297197","29155.2","29154","29156","0.5017001010515363","0.4396251756082113","0.5992333755988755","29155.2","29154","29156"
"9251","0.07064742929917991","0","0.256123158442047","19408","19408","19408","0.24448297265407212","0.17500926491963628","0.32449672511544336","29408.2","29407","29409","0.5033867987992243","0.44789022493367375","0.5993007055163797","29408.2","29407","29409"
"9501","0.06758497828790458","0","0.22930537032990211","19661","19661","19661","0.2356948628777785","0.18510951752033036","0.28684613198495057","29661.2","29660","29662","0.5028754188786247","0.44907520698060965","0.5918319686022528","29661.2","29660","29662"
"9751","0.07064539192900128","0","0.2517848812696918","19914","19914","19914","0.22812768072460154","0.17463228775005568","0.3110714408337164","29914.2","29913","29915","0.5032414280580635","0.4396911491572605","0.600694195794626","29914.2","29913","29915"
