"stage2/step","Group: VaDE_Complicate_gauss - stage2/mcc_pearson","Group: VaDE_Complicate_gauss - stage2/mcc_pearson__MIN","Group: VaDE_Complicate_gauss - stage2/mcc_pearson__MAX","Group: VaDE_Complicate_gauss - _step","Group: VaDE_Complicate_gauss - _step__MIN","Group: VaDE_Complicate_gauss - _step__MAX","Group: VaDE_Complicate_gumbel - stage2/mcc_pearson","Group: VaDE_Complicate_gumbel - stage2/mcc_pearson__MIN","Group: VaDE_Complicate_gumbel - stage2/mcc_pearson__MAX","Group: VaDE_Complicate_gumbel - _step","Group: VaDE_Complicate_gumbel - _step__MIN","Group: VaDE_Complicate_gumbel - _step__MAX","Group: VaDE_Complicate_cauchy - stage2/mcc_pearson","Group: VaDE_Complicate_cauchy - stage2/mcc_pearson__MIN","Group: VaDE_Complicate_cauchy - stage2/mcc_pearson__MAX","Group: VaDE_Complicate_cauchy - _step","Group: VaDE_Complicate_cauchy - _step__MIN","Group: VaDE_Complicate_cauchy - _step__MAX","Group: VaDE_Simple_gauss - stage2/mcc_pearson","Group: VaDE_Simple_gauss - stage2/mcc_pearson__MIN","Group: VaDE_Simple_gauss - stage2/mcc_pearson__MAX","Group: VaDE_Simple_gauss - _step","Group: VaDE_Simple_gauss - _step__MIN","Group: VaDE_Simple_gauss - _step__MAX","Group: VaDE_Simple_gumbel - stage2/mcc_pearson","Group: VaDE_Simple_gumbel - stage2/mcc_pearson__MIN","Group: VaDE_Simple_gumbel - stage2/mcc_pearson__MAX","Group: VaDE_Simple_gumbel - _step","Group: VaDE_Simple_gumbel - _step__MIN","Group: VaDE_Simple_gumbel - _step__MAX","Group: VaDE_Simple_cauchy - stage2/mcc_pearson","Group: VaDE_Simple_cauchy - stage2/mcc_pearson__MIN","Group: VaDE_Simple_cauchy - stage2/mcc_pearson__MAX","Group: VaDE_Simple_cauchy - _step","Group: VaDE_Simple_cauchy - _step__MIN","Group: VaDE_Simple_cauchy - _step__MAX"
"1","0.528732827676553","0.49251467732018456","0.5734351504332681","10047","10047","10047","0.5160290147207497","0.4488423203178379","0.5599616182485105","10047","10047","10047","0.26130473438281654","0.11205291392042172","0.4132006219078438","10047","10047","10047","0.6438931202284864","0.500867412838013","0.7753909895475167","10047","10047","10047","0.6064255568541038","0.3569532944657512","0.8070917674140491","10047","10047","10047","0.33718708194789226","0.09132129365231606","0.4459579963303198","10047","10047","10047"
"251","0.5163386009761133","0.48734851996479367","0.5385333973506921","10300","10300","10300","0.43858608197215593","0.06752654158706226","0.5607725102487573","10300","10300","10300","0.2444310093036846","0","0.39858987156215797","10300","10300","10300","0.5121332943373873","0.4223053188989296","0.6352340706042234","10300","10300","10300","0.48068328553513284","0.32656408904964523","0.6696100348741262","10300","10300","10300","0.3671659241991089","0.217640735327885","0.5212984940199927","10300","10300","10300"
"501","0.5176310192299056","0.4911594772654585","0.5455765575651511","10553","10553","10553","0.4126958295472215","0.1078156002444953","0.5200434032339871","10553","10553","10553","0.23598940212655992","0","0.3745530548073236","10553","10553","10553","0.451377744158106","0","0.5833609940877366","10553","10553","10553","0.44438765475641284","0.31088358272043415","0.6226935149102232","10553","10553","10553","0.32651705076457455","0","0.48640702854525547","10553","10553","10553"
"751","0.5127721561053874","0.45620484699064595","0.5457025262820812","10806","10806","10806","0.40150470387394754","0.13574806378764995","0.5193710071807507","10806","10806","10806","0.28552977792838047","0","0.4776394446404179","10806","10806","10806","0.3811774775124668","0","0.6067219981043902","10806","10806","10806","0.4830211984300032","0.3908495997609392","0.6780657313215316","10806","10806","10806","0.2571168723101786","0","0.49100812613220307","10806","10806","10806"
"1001","0.5060888427645129","0.4537608713785293","0.5429506279177992","11059","11059","11059","0.3832728405556415","0.1698806409648968","0.5228686296233278","11059","11059","11059","0.21582400196845372","0","0.4290009097161314","11059","11059","11059","0.4101737583611101","0","0.6860889056318636","11059","11059","11059","0.46562645703924704","0.32236152677047697","0.599224400852253","11059","11059","11059","0.26354871674232744","0","0.4475367260036411","11059","11059","11059"
"1251","0.49410981709246415","0.42421545695813184","0.5447734873195631","11312","11312","11312","0.35665171034037657","0.16276323793510378","0.4642393773929923","11312","11312","11312","0.1727737075134066","0","0.3509044631818653","11312","11312","11312","0.3691827354557633","0","0.5179594853914947","11312","11312","11312","0.46932097410988166","0.25809109164497346","0.647611738771094","11312","11312","11312","0.23834980631933456","0","0.5354206263215348","11312","11312","11312"
"1501","0.4824651453415491","0.3808122115589426","0.5505517306915889","11565","11565","11565","0.3492466900029438","0.2082640595719572","0.45217144409983734","11565","11565","11565","0.12367071540273913","0","0.35756025658775065","11565","11565","11565","0.4081188100699259","0","0.6434108314067152","11565","11565","11565","0.428988160736442","0.22853297666108194","0.6133472702637377","11565","11565","11565","0.26514866227038186","0","0.48958940286665453","11565","11565","11565"
"1751","0.47505724040720965","0.3322899186619028","0.537544330236074","11818","11818","11818","0.347309230217704","0.22014193202063814","0.47327845420165754","11818","11818","11818","0.11087066790180536","0","0.39809506851473964","11818","11818","11818","0.43675505614552224","0","0.6945243394420811","11818","11818","11818","0.5185278982665533","0.38424251863857384","0.6407575900916077","11818","11818","11818","0.3076038655219703","0","0.5676680940969829","11818","11818","11818"
"2001","0.4619908247481483","0.30921231824147755","0.5289837402941862","12071","12071","12071","0.33874104919675524","0.19206081567327526","0.4601094458760812","12071","12071","12071","0.1014014626453773","0","0.3351258655965212","12071","12071","12071","0.42164904550266513","0","0.6613367072442279","12071","12071","12071","0.5068231896776408","0.38974322088867464","0.6430362313800946","12071","12071","12071","0.25515470603375634","0","0.47658753710179874","12071","12071","12071"
"2251","0.455535635324142","0.3167062335566605","0.549206969107602","12324","12324","12324","0.3228438478918348","0.2078927401450667","0.4622837472613123","12324","12324","12324","0.14321165596631874","0","0.45965941919474995","12324","12324","12324","0.3999387269805195","0","0.5686694616081559","12324","12324","12324","0.46139828175150566","0.23813089484089078","0.6402166308639428","12324","12324","12324","0.20727356667850164","0","0.49759162271696195","12324","12324","12324"
"2501","0.4372502069572809","0.2922636168611747","0.5295332266872564","12577","12577","12577","0.32225001303052137","0.22661683452666015","0.4367464001386751","12577","12577","12577","0.11520881300675283","0","0.36193351778200034","12577","12577","12577","0.43317673975593507","0","0.6410679599558523","12577","12577","12577","0.5475726240778256","0.4194698694655578","0.6133403799302797","12577","12577","12577","0.20273031802499836","0","0.4782278017530826","12577","12577","12577"
"2751","0.42279391311658054","0.2356947586636935","0.5061343337843095","12830","12830","12830","0.3240649164846094","0.2047047797703591","0.44874113892584316","12830","12830","12830","0.0700700529242341","0","0.3297322358529796","12830","12830","12830","0.4177796477560222","0","0.6301606121653024","12830","12830","12830","0.4661016488088151","0.35964068071623534","0.5568898921322405","12830","12830","12830","0.21131331404271986","0","0.45700845670935086","12830","12830","12830"
"3001","0.40988128217420483","0.2868725477682933","0.5093070921649137","13083","13083","13083","0.313165665343366","0.2074221294613992","0.43051888032308916","13083","13083","13083","0.0678598678239144","0","0.2423008356765745","13083","13083","13083","0.46030049942185425","0","0.6825955091570116","13083","13083","13083","0.5398407998486199","0.31477751452353553","0.7481217613564456","13083","13083","13083","0.18269548280786332","0","0.4164141910040538","13083","13083","13083"
"3251","0.4091118718152087","0.2810665261128116","0.4817102666687245","13336","13336","13336","0.31983107346071854","0.23473607526447093","0.4326326949111764","13336","13336","13336","0.07099216539048685","0","0.3385018297762743","13336","13336","13336","0.39457306343125886","0","0.5899818112673533","13336","13336","13336","0.525760341371345","0.4379739076317047","0.6413218026511888","13336","13336","13336","0.17275500810267308","0","0.4720540174199528","13336","13336","13336"
"3501","0.389563414771091","0.2565319665882312","0.48695380193065396","13589","13589","13589","0.29843794034995785","0.22361706255809993","0.4238485591111938","13589","13589","13589","0.054273205173553475","0","0.20657283338377672","13589","13589","13589","0.39401639810297934","0","0.5594100847017719","13589","13589","13589","0.47163345752136754","0.3178116454363605","0.5784167031887124","13589","13589","13589","0.17287486354631124","0","0.5093543998914655","13589","13589","13589"
"3751","0.3793554441293662","0.31731036233018395","0.47931768845155964","13842","13842","13842","0.3088873328541201","0.1993427991762066","0.45640207187188697","13842","13842","13842","0.06025867896363716","0","0.2751682487849561","13842","13842","13842","0.3703821197975835","0","0.5202877347761627","13842","13842","13842","0.4940484537506843","0.3635006599041571","0.6294621635074432","13842","13842","13842","0.1733387041623305","0","0.48699299763248044","13842","13842","13842"
"4001","0.37611012450651354","0.2947119811411168","0.48348825153423897","14095","14095","14095","0.3136066235999568","0.22400891563513614","0.4419238259332191","14095","14095","14095","0.07988359134015868","0","0.348116686453694","14095","14095","14095","0.4085252199901512","0","0.5812841488007828","14095","14095","14095","0.4948869382853041","0.3279561030090667","0.6270583487212963","14095","14095","14095","0.19255993098036348","0","0.5589964812996112","14095","14095","14095"
"4251","0.3642775460892742","0.2798438876265504","0.468162897506119","14348","14348","14348","0.3201126326406912","0.2309145362100177","0.4401152021781371","14348","14348","14348","0.0850495469354132","0","0.41521705551406124","14348","14348","14348","0.39315555365524524","0","0.5829687571445118","14348","14348","14348","0.48724284770125814","0.18502832880443945","0.6413651992278747","14348","14348","14348","0.11265482220498468","0","0.4363200438546359","14348","14348","14348"
"4501","0.3601043566217076","0.28559293880879","0.4646509258074176","14601","14601","14601","0.3052592082740562","0.2397719485585313","0.3965367774226972","14601","14601","14601","0.07679953974795675","0","0.32791634429037647","14601","14601","14601","0.4293528299022353","0","0.7441894981050311","14601","14601","14601","0.5018977661476234","0.3703766758291571","0.5805716603337984","14601","14601","14601","0.13112739208166838","0","0.5505182973901793","14601","14601","14601"
"4751","0.35508143583901747","0.2779653509081675","0.45715167395343526","14854","14854","14854","0.324828830834362","0.23328694562140156","0.38170470449660776","14854","14854","14854","0.0742605161560737","0","0.30812329265081057","14854","14854","14854","0.399487516324425","0","0.5559378436827385","14854","14854","14854","0.47892700263673815","0.3076032913668909","0.6458711361045159","14854","14854","14854","0.13107773646079784","0","0.5071397363555691","14854","14854","14854"
"5001","0.3607163126531722","0.2755515892167373","0.47931055227886094","15107","15107","15107","0.32090407382619984","0.2612731208751337","0.3930710141938167","15107","15107","15107","0.05104796843073769","0","0.20867888401496923","15107","15107","15107","0.4490888126966704","0","0.6943515959497905","15107","15107","15107","0.5284570263175818","0.47540779525853805","0.6638963176689966","15107","15107","15107","0.14232583495125387","0","0.5726480965734023","15107","15107","15107"
"5251","0.35645103668362077","0.2894639492278198","0.47596239199033363","15360","15360","15360","0.31728063307744314","0.23990703531828855","0.4499367587313204","15360","15360","15360","0.10238712077407627","0","0.35699005873666145","15360","15360","15360","0.39444395157744017","0","0.6366393125730108","15360","15360","15360","0.461970469382382","0.3802192705633798","0.5783664849058122","15360","15360","15360","0.10705961785234488","0","0.52817993355188","15360","15360","15360"
"5501","0.34490169490114597","0.2540037874596089","0.416386744309179","15613","15613","15613","0.3110983114199527","0.24657439687695532","0.4051778599357657","15613","15613","15613","0.09072984708436342","0","0.34670894286851456","15613","15613","15613","0.43718751025544744","0","0.6365727745181081","15613","15613","15613","0.5197727521179869","0.43796435730214217","0.5915878084113978","15613","15613","15613","0.08889739061345288","0","0.5037359749847994","15613","15613","15613"
"5751","0.35474904800049734","0.29116147904340317","0.4342948883166109","15866","15866","15866","0.31772220331293427","0.25123475816061924","0.41789994416926124","15866","15866","15866","0.08303665186661191","0","0.372213635687938","15866","15866","15866","0.412063868807116","0","0.5895976499500778","15866","15866","15866","0.5333378285245013","0.45613189102156343","0.6453372200445094","15866","15866","15866","0.08505754446385602","0","0.4824424445307251","15866","15866","15866"
"6001","0.36369372705727054","0.3256311156173764","0.3941737131029833","16119","16119","16119","0.3164823438797609","0.2313292126494655","0.438875522021707","16119","16119","16119","0.07091140714806633","0","0.25859758359665264","16119","16119","16119","0.3991643379241809","0","0.6375782293744124","16119","16119","16119","0.5411039667865205","0.42330659889750116","0.7290027690883636","16119","16119","16119","0.055638154574941076","0","0.368264040631682","16119","16119","16119"
"6251","0.3627244931017407","0.295975934477531","0.4095880835170093","16372","16372","16372","0.3174713723908218","0.24998786270797915","0.4021734508174549","16372","16372","16372","0.056774760908688694","0","0.2566893176897545","16372","16372","16372","0.43569422129963453","0","0.7251392385100625","16372","16372","16372","0.47079179214828526","0.409589595009999","0.5281551600993724","16372","16372","16372","0.08022144123762903","0","0.4180919189992683","16372","16372","16372"
"6501","0.3536823992678542","0.24376383211977304","0.42201536026325126","16625","16625","16625","0.32522918285195856","0.2508252638712861","0.41494153217476626","16625","16625","16625","0.06297627370647184","0","0.29695748789775533","16625","16625","16625","0.4084222104301912","0","0.6654363881494226","16625","16625","16625","0.4878483179236385","0.3267228517991487","0.6538349860510363","16625","16625","16625","0.08437930877232","0","0.4549457910448773","16625","16625","16625"
