"stage2/step","Group: VaDE_Simple_gauss - stage2/mcc_spearman","Group: VaDE_Simple_gauss - stage2/mcc_spearman__MIN","Group: VaDE_Simple_gauss - stage2/mcc_spearman__MAX","Group: VaDE_Simple_gauss - _step","Group: VaDE_Simple_gauss - _step__MIN","Group: VaDE_Simple_gauss - _step__MAX","Group: Danru_Simple_gauss - stage2/mcc_spearman","Group: Danru_Simple_gauss - stage2/mcc_spearman__MIN","Group: Danru_Simple_gauss - stage2/mcc_spearman__MAX","Group: Danru_Simple_gauss - _step","Group: Danru_Simple_gauss - _step__MIN","Group: Danru_Simple_gauss - _step__MAX","Group: Ours_Simple_gauss - stage2/mcc_spearman","Group: Ours_Simple_gauss - stage2/mcc_spearman__MIN","Group: Ours_Simple_gauss - stage2/mcc_spearman__MAX","Group: Ours_Simple_gauss - _step","Group: Ours_Simple_gauss - _step__MIN","Group: Ours_Simple_gauss - _step__MAX"
"1","0.6165302432463327","0.5209519483574","0.7150720012807598","10047","10047","10047","0.6064907139695559","0.5292403135552007","0.7211268004348161","20048","20048","20048","0.6321657189880804","0.572282368728069","0.6935866290324101","20048","20048","20048"
"251","0.5452432240487121","0.45487083693705754","0.6601750517000465","10300","10300","10300","0.5352532230232806","0.09083319495931985","0.6374813986434616","20301","20301","20301","0.7345392351821932","0.6571612551296094","0.8075745758672936","20301","20301","20301"
"501","0.49696285689699016","0","0.6114818674070336","10553","10553","10553","0.5021674820557982","0.11711537193840225","0.6444160899440193","20554","20554","20554","0.7788895408406417","0.7257686582204382","0.8208230101140682","20554","20554","20554"
"751","0.4098264301789243","0","0.580718333176656","10806","10806","10806","0.5028706352807744","0.118160189662966","0.6603744011289187","20807","20807","20807","0.78914980276617","0.7434546888991903","0.8228714326776911","20807","20807","20807"
"1001","0.43020885752315696","0","0.6763525256701376","11059","11059","11059","0.4906506765347721","0.12286655943578116","0.6620616144402082","21060","21060","21060","0.7944807869875739","0.744350253698317","0.823431552840721","21060","21060","21060"
"1251","0.4476209435337945","0","0.6404194309464512","11312","11312","11312","0.4910935371490088","0.09963316481085628","0.6638810528820035","21313","21313","21313","0.7969505151277192","0.7483089115788117","0.822494742616135","21313","21313","21313"
"1501","0.4322293836586152","0","0.6244839473920593","11565","11565","11565","0.49237122966514396","0.0983350850584249","0.6658526556247305","21566","21566","21566","0.7971704244317123","0.7491084404108056","0.8226813307713687","21566","21566","21566"
"1751","0.45123964727994725","0","0.6928816902310784","11818","11818","11818","0.49444876242945257","0.09843791210941098","0.6627980042536662","21819","21819","21819","0.7983625095125941","0.7528192379443355","0.8243269473064757","21819","21819","21819"
"2001","0.4413676097751541","0","0.6456677135601626","12071","12071","12071","0.4934648806803052","0.09785947841892302","0.667841680881935","22072","22072","22072","0.7981401255506706","0.7580290784182119","0.820482956185741","22072","22072","22072"
"2251","0.41243154837808704","0","0.5950214708782097","12324","12324","12324","0.49401680305839213","0.09017855539066051","0.6665230059114163","22325","22325","22325","0.798612617367917","0.7612247517979487","0.8217018981286337","22325","22325","22325"
