"stage2/step","Group: Ours_trunc_Complicate_cauchy - stage2/mcc_pearson","Group: Ours_trunc_Complicate_cauchy - stage2/mcc_pearson__MIN","Group: Ours_trunc_Complicate_cauchy - stage2/mcc_pearson__MAX","Group: Ours_trunc_Complicate_cauchy - _step","Group: Ours_trunc_Complicate_cauchy - _step__MIN","Group: Ours_trunc_Complicate_cauchy - _step__MAX","Group: Ours_trunc_Simple_cauchy - stage2/mcc_pearson","Group: Ours_trunc_Simple_cauchy - stage2/mcc_pearson__MIN","Group: Ours_trunc_Simple_cauchy - stage2/mcc_pearson__MAX","Group: Ours_trunc_Simple_cauchy - _step","Group: Ours_trunc_Simple_cauchy - _step__MIN","Group: Ours_trunc_Simple_cauchy - _step__MAX","Group: Ours_Complicate_gauss - stage2/mcc_pearson","Group: Ours_Complicate_gauss - stage2/mcc_pearson__MIN","Group: Ours_Complicate_gauss - stage2/mcc_pearson__MAX","Group: Ours_Complicate_gauss - _step","Group: Ours_Complicate_gauss - _step__MIN","Group: Ours_Complicate_gauss - _step__MAX","Group: Ours_Simple_cauchy - stage2/mcc_pearson","Group: Ours_Simple_cauchy - stage2/mcc_pearson__MIN","Group: Ours_Simple_cauchy - stage2/mcc_pearson__MAX","Group: Ours_Simple_cauchy - _step","Group: Ours_Simple_cauchy - _step__MIN","Group: Ours_Simple_cauchy - _step__MAX","Group: Ours_Complicate_gumbel - stage2/mcc_pearson","Group: Ours_Complicate_gumbel - stage2/mcc_pearson__MIN","Group: Ours_Complicate_gumbel - stage2/mcc_pearson__MAX","Group: Ours_Complicate_gumbel - _step","Group: Ours_Complicate_gumbel - _step__MIN","Group: Ours_Complicate_gumbel - _step__MAX","Group: Ours_Complicate_cauchy - stage2/mcc_pearson","Group: Ours_Complicate_cauchy - stage2/mcc_pearson__MIN","Group: Ours_Complicate_cauchy - stage2/mcc_pearson__MAX","Group: Ours_Complicate_cauchy - _step","Group: Ours_Complicate_cauchy - _step__MIN","Group: Ours_Complicate_cauchy - _step__MAX","Group: Ours_Simple_gauss - stage2/mcc_pearson","Group: Ours_Simple_gauss - stage2/mcc_pearson__MIN","Group: Ours_Simple_gauss - stage2/mcc_pearson__MAX","Group: Ours_Simple_gauss - _step","Group: Ours_Simple_gauss - _step__MIN","Group: Ours_Simple_gauss - _step__MAX","Group: Ours_Simple_gumbel - stage2/mcc_pearson","Group: Ours_Simple_gumbel - stage2/mcc_pearson__MIN","Group: Ours_Simple_gumbel - stage2/mcc_pearson__MAX","Group: Ours_Simple_gumbel - _step","Group: Ours_Simple_gumbel - _step__MIN","Group: Ours_Simple_gumbel - _step__MAX"
"1","0.5027889570121031","0.4287202265922242","0.5645002146413444","20047.2","20046","20048","0.6744570093900626","0.5410172236667198","0.7953443237282839","20048","20048","20048","0.5013718121288797","0.45822120104643266","0.5568217111897695","20047.2","20046","20048","0.5817681519369157","0.34631303518543066","0.8689518864731891","20048","20048","20048","0.5242562452076147","0.47548828845107555","0.5608721686852656","20047.2","20046","20048","0.451830019179752","0.25398531683424014","0.5757722437133073","20047.2","20046","20048","0.704305341355156","0.6092242800231136","0.800507069026358","20048","20048","20048","0.6981950007718799","0.5919010143695935","0.8686118614310105","20048","20048","20048"
"251","0.5356366272867151","0.507363927496308","0.5728011091718368","20300.2","20299","20301","0.6422025386347772","0.49246669812986643","0.7881658241850761","20301","20301","20301","0.5638349444929339","0.4949316327487166","0.6179901944718662","20300.2","20299","20301","0.562917685116028","0.3337101070031426","0.6834322364815427","20301","20301","20301","0.5688908343606016","0.5276440786666619","0.6176908967479006","20300.2","20299","20301","0.48142339759102726","0.285216334362103","0.5856626243243543","20300.2","20299","20301","0.8710606635574057","0.7742103456508659","0.9899663554872431","20301","20301","20301","0.7391605959639153","0.6184144205166032","0.9183337978995904","20301","20301","20301"
"501","0.5668793142663644","0.5030694186893205","0.6158187987374728","20553.2","20552","20554","0.6907065214403211","0.5773411595019957","0.7890434264297679","20554","20554","20554","0.5845049585993085","0.523311823481909","0.6783746838208935","20553.2","20552","20554","0.6541775652671026","0.5230916345357131","0.8627721690582052","20554","20554","20554","0.5827500591466204","0.5314622205300088","0.6611262360166168","20553.2","20552","20554","0.4439924986265312","0.11302142542438895","0.6418572378318195","20553.2","20552","20554","0.9380700800988502","0.8356033065488683","0.9961587029264333","20554","20554","20554","0.8260503632375243","0.6860393451623167","0.9553713672279508","20554","20554","20554"
"751","0.5661648272819816","0.4962999215114109","0.6191257569976107","20806.2","20805","20807","0.7468777088096823","0.6516373309038118","0.8369727023812551","20807","20807","20807","0.6001873419663836","0.5269200776291738","0.709904966744764","20806.2","20805","20807","0.6026405026360128","0.48922650884871927","0.6791700063061737","20807","20807","20807","0.601391974614141","0.5459748619926186","0.682529357773403","20806.2","20805","20807","0.5121267724858429","0.23247888642092057","0.6227467449709039","20806.2","20805","20807","0.9545379202048017","0.8687772442444345","0.9960656071579376","20807","20807","20807","0.8373198771444107","0.6742036683448416","0.9773370497101945","20807","20807","20807"
"1001","0.5723936648118654","0.5023939803995207","0.6502008835826264","21059.2","21058","21060","0.755270698010769","0.6603793929280216","0.8466617960159329","21060","21060","21060","0.6118572036280765","0.5304368496342979","0.7312250556643509","21059.2","21058","21060","0.5872400092945833","0.3719849845822794","0.7476334631155545","21060","21060","21060","0.6107005380689201","0.5482592394196575","0.6981393227385795","21059.2","21058","21060","0.4885733360836535","0.3147160555146705","0.6298521017622073","21059.2","21058","21060","0.9616154664748713","0.88156529876274","0.9960312308378353","21060","21060","21060","0.84754388583099","0.6539929286090462","0.9829192164123285","21060","21060","21060"
"1251","0.5728411986090299","0.49645446596543624","0.6484023049780846","21312.2","21311","21313","0.754383441826984","0.6606073433934451","0.8403461527122998","21313","21313","21313","0.6230823475521949","0.5397044092699661","0.7526924049596281","21312.2","21311","21313","0.6260333078070175","0.3849798412862606","0.8182150657993538","21313","21313","21313","0.624571187131941","0.5720462978642515","0.7084871098273108","21312.2","21311","21313","0.4815036071701468","0.3392583987140806","0.6119513019366333","21312.2","21311","21313","0.9646129916032413","0.886395358180086","0.9959631415752322","21313","21313","21313","0.8549969319488483","0.648160225117659","0.9827001905338532","21313","21313","21313"
"1501","0.5748383514515374","0.5001938430308052","0.6494677072020127","21565.2","21564","21566","0.7580587669340628","0.6709160560026949","0.8416109022373743","21566","21566","21566","0.6316545731200263","0.5399137821765133","0.7672591340954211","21565.2","21564","21566","0.6607434733910356","0.3447523568050466","0.9149949659914981","21566","21566","21566","0.636727974326172","0.5771581101593739","0.7172441153057284","21565.2","21564","21566","0.45025953857503287","0.30540194721874664","0.5984096109741984","21565.2","21564","21566","0.9649051746801028","0.8868509471025302","0.9961871124158327","21566","21566","21566","0.8638273266163676","0.6535646343092156","0.9845310360240195","21566","21566","21566"
"1751","0.5749446006247368","0.4962721850036177","0.6560119883744814","21818.2","21817","21819","0.7578173011987759","0.665083028468034","0.8325703485829111","21819","21819","21819","0.6396640193588777","0.549445498989","0.7790456280748648","21818.2","21817","21819","0.6437735618465162","0.40506253972852085","0.9419401146750136","21819","21819","21819","0.6440019532999866","0.5859082254318606","0.7303954118006069","21818.2","21817","21819","0.4752028042283608","0.1795645511153333","0.5842988078433506","21818.2","21817","21819","0.9664165538923081","0.8894719329444798","0.9961577730642079","21819","21819","21819","0.870443410852786","0.6468188352633151","0.9808844690844575","21819","21819","21819"
"2001","0.572254910390839","0.4953957040498249","0.6454270871895489","22071.2","22070","22072","0.7584673694279921","0.6650682519139614","0.8366645686236338","22072","22072","22072","0.6471257229086882","0.5545563992105353","0.7862535694958928","22071.2","22070","22072","0.6573319277511952","0.3916035856732288","0.9202164243388712","22072","22072","22072","0.6521496148783918","0.5863103157763846","0.7405762726320266","22071.2","22070","22072","0.5254856327754694","0.45049769134391215","0.6141860289888486","22071.2","22070","22072","0.9666427507817021","0.8884448360797218","0.9955647196557948","22072","22072","22072","0.8761408565742854","0.6437700472768831","0.982943507029061","22072","22072","22072"
"2251","0.5747186359769522","0.4976297267091604","0.6516818569303648","22324.2","22323","22325","0.7565970051208983","0.6553373339198044","0.835446150223443","22325","22325","22325","0.652013326206462","0.5600452322345641","0.7999894540568145","22324.2","22323","22325","0.6835629701968463","0.4310288932057605","0.9736016577938521","22325","22325","22325","0.6613012723456259","0.6008676295602232","0.7482161302666667","22324.2","22323","22325","0.5099417052694235","0.41141922607139014","0.5791217601067846","22324.2","22323","22325","0.9674697111851838","0.8952854967014593","0.995444787986873","22325","22325","22325","0.8836027009781023","0.6384688624603215","0.9858271403510742","22325","22325","22325"
