"stage2/step","Group: Ours_trunc_Complicate_cauchy - stage2/mcc_spearman","Group: Ours_trunc_Complicate_cauchy - stage2/mcc_spearman__MIN","Group: Ours_trunc_Complicate_cauchy - stage2/mcc_spearman__MAX","Group: Ours_trunc_Complicate_cauchy - _step","Group: Ours_trunc_Complicate_cauchy - _step__MIN","Group: Ours_trunc_Complicate_cauchy - _step__MAX","Group: Ours_trunc_Simple_cauchy - stage2/mcc_spearman","Group: Ours_trunc_Simple_cauchy - stage2/mcc_spearman__MIN","Group: Ours_trunc_Simple_cauchy - stage2/mcc_spearman__MAX","Group: Ours_trunc_Simple_cauchy - _step","Group: Ours_trunc_Simple_cauchy - _step__MIN","Group: Ours_trunc_Simple_cauchy - _step__MAX","Group: Ours_Complicate_gauss - stage2/mcc_spearman","Group: Ours_Complicate_gauss - stage2/mcc_spearman__MIN","Group: Ours_Complicate_gauss - stage2/mcc_spearman__MAX","Group: Ours_Complicate_gauss - _step","Group: Ours_Complicate_gauss - _step__MIN","Group: Ours_Complicate_gauss - _step__MAX","Group: Ours_Simple_cauchy - stage2/mcc_spearman","Group: Ours_Simple_cauchy - stage2/mcc_spearman__MIN","Group: Ours_Simple_cauchy - stage2/mcc_spearman__MAX","Group: Ours_Simple_cauchy - _step","Group: Ours_Simple_cauchy - _step__MIN","Group: Ours_Simple_cauchy - _step__MAX","Group: Ours_Complicate_gumbel - stage2/mcc_spearman","Group: Ours_Complicate_gumbel - stage2/mcc_spearman__MIN","Group: Ours_Complicate_gumbel - stage2/mcc_spearman__MAX","Group: Ours_Complicate_gumbel - _step","Group: Ours_Complicate_gumbel - _step__MIN","Group: Ours_Complicate_gumbel - _step__MAX","Group: Ours_Complicate_cauchy - stage2/mcc_spearman","Group: Ours_Complicate_cauchy - stage2/mcc_spearman__MIN","Group: Ours_Complicate_cauchy - stage2/mcc_spearman__MAX","Group: Ours_Complicate_cauchy - _step","Group: Ours_Complicate_cauchy - _step__MIN","Group: Ours_Complicate_cauchy - _step__MAX","Group: Ours_Simple_gauss - stage2/mcc_spearman","Group: Ours_Simple_gauss - stage2/mcc_spearman__MIN","Group: Ours_Simple_gauss - stage2/mcc_spearman__MAX","Group: Ours_Simple_gauss - _step","Group: Ours_Simple_gauss - _step__MIN","Group: Ours_Simple_gauss - _step__MAX","Group: Ours_Simple_gumbel - stage2/mcc_spearman","Group: Ours_Simple_gumbel - stage2/mcc_spearman__MIN","Group: Ours_Simple_gumbel - stage2/mcc_spearman__MAX","Group: Ours_Simple_gumbel - _step","Group: Ours_Simple_gumbel - _step__MIN","Group: Ours_Simple_gumbel - _step__MAX"
"3501","0.45326733998528146","0.4130086058854312","0.514557436938926","23589.2","23588","23590","0.6549684350040227","0.606692387483244","0.6914874361938806","23590","23590","23590","0.6024765444645077","0.5035601483575108","0.7320801691258916","23589.2","23588","23590","0.6577703546840246","0.5863722798085996","0.7596031206749543","23590","23590","23590","0.6071944565380389","0.5391803646436305","0.6862353221661726","23589.2","23588","23590","0.474348594438417","0.4298346743653396","0.5357559927083221","23589.2","23588","23590","0.7988231095979816","0.7626568884500523","0.822808217107005","23590","23590","23590","0.771238014048754","0.6507174399107778","0.812088951006773","23590","23590","23590"
"3751","0.4530236821644548","0.4155914318970024","0.5200769830455232","23842.2","23841","23843","0.656634015245396","0.6111358191733998","0.687593539900587","23843","23843","23843","0.6070516231619469","0.5086579340359406","0.7409470349272793","23842.2","23841","23843","0.653279315954606","0.5678070772287933","0.7650358246707513","23843","23843","23843","0.613913027684073","0.5466729920286268","0.6931799815787099","23842.2","23841","23843","0.47573908675166177","0.4279812251260747","0.5460716397091756","23842.2","23841","23843","0.7995536898919849","0.7651966900266025","0.8209068001775548","23843","23843","23843","0.7728244579404758","0.6492932380317961","0.8119207780970203","23843","23843","23843"
"4001","0.4523500165968987","0.4154228344538836","0.5128345167842625","24095.2","24094","24096","0.6560428263958089","0.6074836515488383","0.6939506717017886","24096","24096","24096","0.6103887814786008","0.5127543077824164","0.7476707664054194","24095.2","24094","24096","0.649203334952318","0.5874813113632998","0.7618531319581922","24096","24096","24096","0.6207693050913976","0.5568659065792699","0.7036080567839325","24095.2","24094","24096","0.4807709074058632","0.4396776670701351","0.5543486674053708","24095.2","24094","24096","0.7989576073056489","0.7662946096406679","0.8224848093107475","24096","24096","24096","0.7757826075185565","0.6530173124937972","0.8124559278658232","24096","24096","24096"
"4251","0.45376666051855113","0.4184083583660688","0.5129992289976437","24348.2","24347","24349","0.6562674833698534","0.6080588156399903","0.6916723376866805","24349","24349","24349","0.6141002056710639","0.5089511057671282","0.7535695141835212","24348.2","24347","24349","0.6539627577578393","0.6021215575667926","0.7628544239311895","24349","24349","24349","0.6249453170949073","0.5579792352627871","0.7066435576871877","24348.2","24347","24349","0.4811326307235458","0.442546325454217","0.5393988793064799","24348.2","24347","24349","0.7991345770736603","0.763765283380487","0.8219029186037945","24349","24349","24349","0.7779393132088237","0.6603448688782263","0.8132176937347767","24349","24349","24349"
"4501","0.45442498067976267","0.4231943465941277","0.518883168710348","24601.2","24600","24602","0.6563733769370296","0.6075733131699658","0.6923239363938528","24602","24602","24602","0.6183940852837352","0.512821613270219","0.7554508264066843","24601.2","24600","24602","0.6461613014037055","0.5598677911693167","0.7601617559024332","24602","24602","24602","0.628451660942973","0.5566043417958947","0.7075781716708591","24601.2","24600","24602","0.4854959693729131","0.44087129160933375","0.5438995114953992","24601.2","24600","24602","0.799291886601529","0.764039604651666","0.8230385648501072","24602","24602","24602","0.7776134430665399","0.6633517436710118","0.8132297814682782","24602","24602","24602"
"4751","0.45438186723078167","0.41753311539094745","0.5183275154331669","24854.2","24853","24855","0.6556756918290898","0.6048604728074212","0.6899295312265504","24855","24855","24855","0.6207831227251157","0.5041286147805092","0.7621697521955333","24854.2","24853","24855","0.653603170915485","0.5745533809255098","0.7629838707345101","24855","24855","24855","0.634739208649998","0.5624252480269745","0.7142309204978254","24854.2","24853","24855","0.4868798040021822","0.40115203088880846","0.552685740800143","24854.2","24853","24855","0.7990801050457297","0.7624696530734211","0.8238279973420566","24855","24855","24855","0.779441573962275","0.6650495900529415","0.8148045211908586","24855","24855","24855"
"5001","0.45486425504987216","0.4193552603904986","0.5169930244743471","25107.2","25106","25108","0.6570380513335852","0.6081610179449831","0.6915498400871739","25108","25108","25108","0.625693614128821","0.5210852864578233","0.7667403628862912","25107.2","25106","25108","0.65900286035168","0.6202334281784907","0.7624158378001207","25108","25108","25108","0.639093172287746","0.5647227983617883","0.718646972281096","25107.2","25106","25108","0.49118221672113005","0.40461915238289026","0.5593103154858745","25107.2","25106","25108","0.7991978341896075","0.7633500707656801","0.8223178860621904","25108","25108","25108","0.7801048268763846","0.6709372577361412","0.8140535799650425","25108","25108","25108"
"5251","0.4534596840430565","0.41806597566439574","0.5109699778743068","25360.2","25359","25361","0.6561919252151595","0.6061124578320634","0.6914911348785778","25361","25361","25361","0.6301524581082047","0.5189232067446493","0.7740675928895188","25360.2","25359","25361","0.6555250926843957","0.5742710489610228","0.7608684037845822","25361","25361","25361","0.6439925956827013","0.562078709783876","0.7209792985445144","25360.2","25359","25361","0.4887543721631382","0.41348789657216134","0.5791864622963795","25360.2","25359","25361","0.7999355151271568","0.7650052251959479","0.8223267875129722","25361","25361","25361","0.7820104858887","0.6758335889258874","0.8128630665160221","25361","25361","25361"
"5501","0.45372493795209146","0.4201064931358367","0.5162411707729774","25613.2","25612","25614","0.6560640406962961","0.6062407549185767","0.6888833164322438","25614","25614","25614","0.633043871527644","0.5157235741486993","0.7790336470925385","25613.2","25612","25614","0.6488269081300178","0.5293389555350273","0.7614712062921742","25614","25614","25614","0.6488262366212736","0.561505355583421","0.7271215780674488","25613.2","25612","25614","0.49535782687279584","0.41485331302481765","0.5777515068531583","25613.2","25612","25614","0.7984724063665862","0.764356675208718","0.822005801204975","25614","25614","25614","0.7824819701130892","0.6785071111904957","0.811473788451409","25614","25614","25614"
"5751","0.4534871877288957","0.4177887974727536","0.516264658854773","25866.2","25865","25867","0.6563464600691893","0.6062688026490225","0.691939325545755","25867","25867","25867","0.6369504979621332","0.5116215692481721","0.7857969290573751","25866.2","25865","25867","0.6729431837283196","0.5982300446922009","0.7649400986576027","25867","25867","25867","0.652730341286324","0.570773164790394","0.7271008977056603","25866.2","25865","25867","0.49459272052355346","0.41311889917947264","0.5802390666045404","25866.2","25865","25867","0.7992666803655315","0.7640412671447439","0.8216885445960296","25867","25867","25867","0.7836806948343829","0.6833855606208026","0.8136119643907018","25867","25867","25867"
