"stage1/step","Group: VaDE_Complicate_cauchy - stage1/mcc_pearson","Group: VaDE_Complicate_cauchy - stage1/mcc_pearson__MIN","Group: VaDE_Complicate_cauchy - stage1/mcc_pearson__MAX","Group: VaDE_Complicate_cauchy - _step","Group: VaDE_Complicate_cauchy - _step__MIN","Group: VaDE_Complicate_cauchy - _step__MAX","Group: Danru_Complicate_cauchy - stage1/mcc_pearson","Group: Danru_Complicate_cauchy - stage1/mcc_pearson__MIN","Group: Danru_Complicate_cauchy - stage1/mcc_pearson__MAX","Group: Danru_Complicate_cauchy - _step","Group: Danru_Complicate_cauchy - _step__MIN","Group: Danru_Complicate_cauchy - _step__MAX","Group: Ours_Complicate_cauchy - stage1/mcc_pearson","Group: Ours_Complicate_cauchy - stage1/mcc_pearson__MIN","Group: Ours_Complicate_cauchy - stage1/mcc_pearson__MAX","Group: Ours_Complicate_cauchy - _step","Group: Ours_Complicate_cauchy - _step__MIN","Group: Ours_Complicate_cauchy - _step__MAX"
"1","0.3543883782189782","0.1598083029149397","0.5190732037266331","2","2","2","0.35439177840701375","0.15980831018486555","0.5190967971708647","4","4","4","0.364679317226465","0.2635211405670165","0.4433212236299459","4","4","4"
"251","0.2965852698535606","0.11794563999448385","0.4904525788921822","253","253","253","0.3048619772791793","0.17697327758568243","0.45669238544392526","505","505","505","0.42582422983361806","0.3042280265435301","0.5288099530081389","505","505","505"
"501","0.29357955348724185","0.16781754132835033","0.4062693182653083","504","504","504","0.280039872072544","0.12364202621354677","0.484630925117735","1006","1006","1006","0.37009023244301464","0.18055489826336618","0.5255726954492217","1006","1006","1006"
"751","0.2962304762061566","0.19360333388638243","0.3660560347476872","755","755","755","0.24957853074673625","0.11257950503386278","0.3384592675022841","1507","1507","1507","0.3828762493437154","0.21922602908029595","0.4756941940271802","1507","1507","1507"
"1001","0.25056383588578424","0.11977660570379318","0.3673968023366124","1006","1006","1006","0.24581816051192812","0.16235443739864153","0.3764907653909412","2008","2008","2008","0.4669139628760982","0.3577029578417958","0.589707292957523","2008","2008","2008"
"1251","0.2962048871773756","0.14514462176099416","0.44787615172114925","1257","1257","1257","0.2547841170841108","0.1253606061251512","0.3939766214043634","2509","2509","2509","0.44060774931060476","0.10516381707506503","0.6122900201152816","2509","2509","2509"
"1501","0.22163567561885947","0.1188544969556673","0.313248807209553","1508","1508","1508","0.23749893069213757","0.17598716910098156","0.284932744932016","3010","3010","3010","0.4112484975785876","0.2877547760934257","0.5174984562494102","3010","3010","3010"
"1751","0.23950366454469077","0.11421867810036965","0.5200007262444324","1759","1759","1759","0.27232302013308074","0.1368045033707626","0.3508073200575283","3511","3511","3511","0.3986908153597032","0.12491099291613397","0.5789148224145713","3511","3511","3511"
"2001","0.21274127390742398","0.10138308520937664","0.3428791513475012","2010","2010","2010","0.22881197550952695","0.12933310681284632","0.3976336207384046","4012","4012","4012","0.44551705953200377","0.19767990326898813","0.5889623954196285","4012","4012","4012"
"2251","0.22850821048376396","0.12171804328174393","0.39739369505739125","2261","2261","2261","0.25481556089120294","0.13460525975830834","0.35254792945384583","4513","4513","4513","0.4577802475712141","0.24955549965760673","0.5228644888511617","4513","4513","4513"
"2501","0.20168383526981576","0.13839489935847818","0.30141269453428265","2512","2512","2512","0.22964457671233213","0.10155413298293854","0.31917622226462533","5014","5014","5014","0.39872582076043994","0.2577550608565392","0.5221916211852009","5014","5014","5014"
"2751","0.20310647620991248","0.13791594286182413","0.3156848542565211","2763","2763","2763","0.21144209759929425","0.11839570235446464","0.3520964298093193","5515","5515","5515","0.3724148892538771","0.19420176140401751","0.5498653260623385","5515","5515","5515"
"3001","0.20637572934928056","0.11192028247837674","0.29532350416527636","3014","3014","3014","0.23372117340220794","0.14859376982355127","0.3024744531563158","6016","6016","6016","0.4108757625251626","0.19469561003812264","0.535069087343617","6016","6016","6016"
"3251","0.21185798938858674","0.1577387927034609","0.3450435928264003","3265","3265","3265","0.25532774080017595","0.1881222936680972","0.3141541673486269","6517","6517","6517","0.4200473383248526","0.21140500336393875","0.5707945963158445","6517","6517","6517"
