"stage2/step","Group: VaDE_Complicate_gauss - stage2/mcc_pearson","Group: VaDE_Complicate_gauss - stage2/mcc_pearson__MIN","Group: VaDE_Complicate_gauss - stage2/mcc_pearson__MAX","Group: VaDE_Complicate_gauss - _step","Group: VaDE_Complicate_gauss - _step__MIN","Group: VaDE_Complicate_gauss - _step__MAX","Group: Danru_Complicate_gauss - stage2/mcc_pearson","Group: Danru_Complicate_gauss - stage2/mcc_pearson__MIN","Group: Danru_Complicate_gauss - stage2/mcc_pearson__MAX","Group: Danru_Complicate_gauss - _step","Group: Danru_Complicate_gauss - _step__MIN","Group: Danru_Complicate_gauss - _step__MAX","Group: Ours_Complicate_gauss - stage2/mcc_pearson","Group: Ours_Complicate_gauss - stage2/mcc_pearson__MIN","Group: Ours_Complicate_gauss - stage2/mcc_pearson__MAX","Group: Ours_Complicate_gauss - _step","Group: Ours_Complicate_gauss - _step__MIN","Group: Ours_Complicate_gauss - _step__MAX"
"4001","0.37611012450651354","0.2947119811411168","0.48348825153423897","14095","14095","14095","0.4860355432685803","0.21896566799880895","0.5611141924018314","24095.4","24094","24096","0.6863797864370446","0.5718671427568147","0.8510221092702384","24095.2","24094","24096"
"4251","0.3642775460892742","0.2798438876265504","0.468162897506119","14348","14348","14348","0.5056904951812002","0.22849334074072547","0.5606761051346936","24348.4","24347","24349","0.6916031669965812","0.5715711193416533","0.857296855735307","24348.2","24347","24349"
"4501","0.3601043566217076","0.28559293880879","0.4646509258074176","14601","14601","14601","0.5027169679205896","0.23158914291507737","0.5711819107947801","24601.4","24600","24602","0.6945774519263143","0.5703020267931804","0.8612082127460488","24601.2","24600","24602"
"4751","0.35508143583901747","0.2779653509081675","0.45715167395343526","14854","14854","14854","0.5004681433425705","0.21947410938471829","0.5744471243594991","24854.4","24853","24855","0.6988765760829432","0.5686265841203442","0.8670264846707749","24854.2","24853","24855"
"5001","0.3607163126531722","0.2755515892167373","0.47931055227886094","15107","15107","15107","0.5081855655663835","0.2216583252781279","0.5718922973961607","25107.4","25106","25108","0.7031711458209491","0.580880023247283","0.8723902761279071","25107.2","25106","25108"
"5251","0.35645103668362077","0.2894639492278198","0.47596239199033363","15360","15360","15360","0.5126660943136551","0.21765025902414065","0.5903241964529882","25360.4","25359","25361","0.7079414043787662","0.5776723825396541","0.8799328995420206","25360.2","25359","25361"
"5501","0.34490169490114597","0.2540037874596089","0.416386744309179","15613","15613","15613","0.5217386636864807","0.21864297929789273","0.5887398793769048","25613.4","25612","25614","0.7118492566749787","0.5728829881292367","0.8849283983509085","25613.2","25612","25614"
"5751","0.35474904800049734","0.29116147904340317","0.4342948883166109","15866","15866","15866","0.5243227629416771","0.2256833278398934","0.5928583133959924","25866.4","25865","25867","0.7143598766445889","0.5694660616984887","0.8884453355440602","25866.2","25865","25867"
"6001","0.36369372705727054","0.3256311156173764","0.3941737131029833","16119","16119","16119","0.5297674898515743","0.2274774731099817","0.6004843807157567","26119.4","26118","26120","0.7200324118119961","0.5762890772419726","0.8932898934276169","26119.2","26118","26120"
"6251","0.3627244931017407","0.295975934477531","0.4095880835170093","16372","16372","16372","0.5318190798328363","0.23350595415856845","0.5982053928182509","26372.4","26371","26373","0.7246993843523581","0.5737560770059522","0.8981942451592498","26372.2","26371","26373"
"6501","0.3536823992678542","0.24376383211977304","0.42201536026325126","16625","16625","16625","0.5269912445127859","0.2327749525177875","0.6054467527663064","26625.4","26624","26626","0.7274092450197112","0.5806419270342122","0.905935711746426","26625.2","26624","26626"
"6751","0.36499962666082825","0.31026442996442","0.43650287133543697","16878","16878","16878","0.5294643794435476","0.2289460040488093","0.6026017325404166","26878.4","26877","26879","0.7318468256427899","0.5867840874555618","0.911230919364219","26878.2","26877","26879"
"7001","0.36693402457969826","0.3227573502263297","0.4273662899042006","17131","17131","17131","0.49827735432049547","0.23216498752967613","0.6065140753216849","27131.4","27130","27132","0.7334593659387278","0.5855978573344661","0.913458946797349","27131.2","27130","27132"
"7251","0.3480945398415004","0.2752119669140347","0.4049462875468592","17384","17384","17384","0.5132391966827967","0.23293939666529045","0.5986372711321672","27384.4","27383","27385","0.7385226676633964","0.5824182545837109","0.9129324201254543","27384.2","27383","27385"
"7501","0.3342165337030083","0.2784488405763036","0.3670962338593896","17637","17637","17637","0.5044310632313365","0.23751310621860372","0.5888832935960114","27637.4","27636","27638","0.7416652759441501","0.5858754896292228","0.9207683753897637","27637.2","27636","27638"
"7751","0.3417008953732886","0.2992207682720068","0.41191324512544014","17890","17890","17890","0.487263089197617","0.23373112476723645","0.5932145282451358","27890.4","27889","27891","0.7467299967593866","0.589458672173701","0.9230653986604889","27890.2","27889","27891"
"8001","0.34688528660368356","0.30458106559127107","0.4048955590516125","18143","18143","18143","0.499321921009343","0.24030739679807747","0.5911380614696768","28143.4","28142","28144","0.7491885411875122","0.5919062977090774","0.9277589095681584","28143.2","28142","28144"
"8251","0.3411595399103876","0.30387787308834147","0.4023741936839261","18396","18396","18396","0.505535505494574","0.23049911145899146","0.5977692000456548","28396.4","28395","28397","0.7528702380299783","0.5856584018238732","0.9320098070895039","28396.2","28395","28397"
"8501","0.3496436590638238","0.2938761589488771","0.44921416881916976","18649","18649","18649","0.5090003876261393","0.23833017100427104","0.5873758768690367","28649.4","28648","28650","0.7553463391422306","0.5896702702291261","0.9329324825586637","28649.2","28648","28650"
"8751","0.35102214512792723","0.30883649045710326","0.4308603221954779","18902","18902","18902","0.5148875332485192","0.22614776248281615","0.5782507960845609","28902.4","28901","28903","0.7594362008711507","0.5977882817440177","0.9348342253581976","28902.2","28901","28903"
"9001","0.348582344499393","0.27551925850495124","0.40482904146708654","19155","19155","19155","0.5253749442614991","0.23830349463009265","0.5854828746130635","29155.4","29154","29156","0.7633829914559441","0.6014506346427467","0.9359129440113672","29155.2","29154","29156"
"9251","0.3356373356449902","0.25581243580029406","0.3913766466336109","19408","19408","19408","0.5321154890929761","0.23924424888749898","0.5972080837416082","29408.4","29407","29409","0.7669891590856521","0.6022921035046704","0.9395326926613421","29408.2","29407","29409"
"9501","0.3473409490870091","0.2904572043234369","0.4546061975309862","19661","19661","19661","0.5392485110747831","0.23802611976564236","0.6009438194404414","29661.4","29660","29662","0.7686119279698997","0.6006272033039772","0.9387446924716023","29661.2","29660","29662"
"9751","0.3423184538996014","0.2747501484777229","0.4194482944592061","19914","19914","19914","0.5440145955075789","0.2515835340583129","0.6021712626349862","29914.4","29913","29915","0.7715622148464749","0.6011329430789918","0.9398249297620904","29914.2","29913","29915"
"10001","0.3389795120045857","0.28126712277039345","0.4064832016250863","20167","20167","20167","0.5448216484126068","0.2545588642647429","0.6021945596743142","30167.4","30166","30168","0.7740247550446541","0.6041490186327974","0.9426639286426062","30167.2","30166","30168"
"10251","0.31981910419348347","0.26907160358142046","0.3772429268830734","20420","20420","20420","0.5472715625957367","0.2533204408016455","0.6038973537613053","30420.4","30419","30421","0.7759880245322291","0.6055920412014446","0.9425952004703051","30420.2","30419","30421"
"10501","0.32223601915815275","0.24426388402728522","0.36456915633426173","20673","20673","20673","0.5516148882378334","0.2658661869791611","0.6108123892948671","30673.4","30672","30674","0.7794359382009739","0.6086092642488193","0.943219810309803","30673.2","30672","30674"
"10751","0.32178104973843674","0.27394166320854996","0.40842378788381295","20926","20926","20926","0.5425260498564688","0.2800748829533469","0.6094499817571302","30926.4","30925","30927","0.7819437318974922","0.6041766595606963","0.9437497729607529","30926.2","30925","30927"
"11001","0.3062999478252876","0.25350999496197235","0.3844671525889337","21179","21179","21179","0.5343468059281197","0.26868231827160016","0.618110530328824","31179.4","31178","31180","0.7842716808601278","0.6071685433455999","0.9475955673473226","31179.2","31178","31180"
"11251","0.3318031805961012","0.24799420091831959","0.43892009588050873","21432","21432","21432","0.5181296241178968","0.2835465167607022","0.6161927160529744","31432.4","31431","31433","0.7869926417665052","0.6112253812739686","0.9474351932298832","31432.2","31431","31433"
"11501","0.3021884570919761","0.22759239808496198","0.3453185537711912","21685","21685","21685","0.5270702043175304","0.2987007723401559","0.6239824690049441","31685.4","31684","31686","0.7909868680199975","0.6144190851430794","0.9506408961383099","31685.2","31684","31686"
"11751","0.3041067283694689","0.2590618616319619","0.3675801028158637","21938","21938","21938","0.5287979664221486","0.32165169796106163","0.592916393121303","31938.4","31937","31939","0.7932014250028904","0.6194622310455297","0.9479642370797103","31938.2","31937","31939"
"12001","0.32243222559531304","0.23803265027796278","0.3851812804095126","22191","22191","22191","0.5310298376469842","0.3460002493685467","0.5975385746706089","32191.4","32190","32192","0.7950869425058471","0.6124730574184409","0.9494512125506486","32191.2","32190","32192"
"12251","0.31071208172077486","0.24925314489780864","0.3798653867353724","22444","22444","22444","0.5404400186988632","0.3540679598503172","0.59533564022712","32444.4","32443","32445","0.7962289606478584","0.6151166593247634","0.9510701921687763","32444.2","32443","32445"
"12501","0.30654323689388197","0.24852204120674531","0.3681622328306653","22697","22697","22697","0.550154696271393","0.3856592015534135","0.6015652928941252","32697.4","32696","32698","0.798554693865692","0.6160962921541675","0.9491973018905983","32697.2","32696","32698"
"12751","0.30784909931902216","0.25104486699000494","0.3902553276514855","22950","22950","22950","0.5593837971372532","0.4178071036138893","0.596104313789341","32950.4","32949","32951","0.8009149614518847","0.6201985046359773","0.9500229512430417","32950.2","32949","32951"
"13001","0.2856730518473183","0.2260347304363557","0.349749609760721","23203","23203","23203","0.5694057840461236","0.4574249997840692","0.6101255414157101","33203.4","33202","33204","0.8035606510125813","0.6237928347645575","0.9521370089592074","33203.2","33202","33204"
"13251","0.28327373415214074","0.24738081315473667","0.3423070620612845","23456","23456","23456","0.5804881011847677","0.4714027750223261","0.6226619748009395","33456.4","33455","33457","0.8030173459139593","0.6208525093723034","0.9499590173493255","33456.2","33455","33457"
"13501","0.28651022202980797","0.25151688909279274","0.3160255103269261","23709","23709","23709","0.5821004620340046","0.48872742822566656","0.6225975686785279","33709.4","33708","33710","0.8058710332327429","0.6247871124672512","0.9526587341906362","33709.2","33708","33710"
"13751","0.2570479037323784","0.18826171962699192","0.29594177692455903","23962","23962","23962","0.5887504546469954","0.5077895044017552","0.6372264911491851","33962.4","33961","33963","0.8079152194082297","0.6244384454352669","0.950414672301244","33962.2","33961","33963"
"14001","0.26861915389576163","0.21283384802198527","0.3609606384938584","24215","24215","24215","0.5905092693846362","0.5159068986153298","0.6404571808129342","34215.4","34214","34216","0.8119832759355357","0.6335238796769335","0.9531469212253596","34215.2","34214","34216"
"14251","0.26126148600873345","0.18015040524410353","0.31776553261131685","24468","24468","24468","0.5972823325081891","0.540906355826249","0.6364614170561507","34468.4","34467","34469","0.8118860397346659","0.6351528906085356","0.9509022367875225","34468.2","34467","34469"
"14501","0.26175416961168446","0.18391837106164927","0.3364788806544877","24721","24721","24721","0.6047834579391499","0.5586085307461667","0.644178143596591","34721.4","34720","34722","0.8143191450463926","0.6369933842569975","0.953401761041361","34721.2","34720","34722"
"14751","0.2630570853152106","0.20683555771390613","0.32341080966558255","24974","24974","24974","0.6053407147909832","0.5516755050046713","0.6568572998196399","34974.4","34973","34975","0.815645403187086","0.6384111387594122","0.9528686738684954","34974.2","34973","34975"
"15001","0.24797558396707448","0.17776936120939438","0.34350935201355826","25227","25227","25227","0.6053887099446096","0.5458998593007236","0.6658554811293917","35227.4","35226","35228","0.8157853771039308","0.6445595994436207","0.9510744288888786","35227.2","35226","35228"
"15251","0.25111957309282784","0.18708664922739193","0.35177713032994146","25480","25480","25480","0.5743201340693337","0.3136027581609741","0.6766126480783786","35480.4","35479","35481","0.8185910581916043","0.6476754922255916","0.9501912582570811","35480.2","35479","35481"
"15501","0.23690895250764482","0.16174161791942004","0.28193815511814085","25733","25733","25733","0.5928674640472645","0.44391681600796773","0.6926555979243274","35733.4","35732","35734","0.8209187553324158","0.6487748114018554","0.9513840597669893","35733.2","35732","35734"
"15751","0.22763823390372312","0.17194459201402068","0.25747156207149363","25986","25986","25986","0.5809944541676391","0.43391746187319385","0.699700929253424","35986.4","35985","35987","0.8221515160502004","0.6468631612203619","0.9511645486071932","35986.2","35985","35987"
"16001","0.2223104486311019","0.17615213544543143","0.26919698684699245","26239","26239","26239","0.5907952808559567","0.43865702003439866","0.7139034506016423","36239.4","36238","36240","0.8244470212281927","0.6526023896024455","0.9509548717785996","36239.2","36238","36240"
"16251","0.20646730927986523","0.16723699207443624","0.2848055479398283","26492","26492","26492","0.5858871697843705","0.44336701013678914","0.7239310281665362","36492.4","36491","36493","0.8254761887686882","0.6561963197063791","0.9534614061590133","36492.2","36491","36493"
