"stage2/step","Group: VaDE_Simple_cauchy - stage2/mcc_pearson","Group: VaDE_Simple_cauchy - stage2/mcc_pearson__MIN","Group: VaDE_Simple_cauchy - stage2/mcc_pearson__MAX","Group: VaDE_Simple_cauchy - _step","Group: VaDE_Simple_cauchy - _step__MIN","Group: VaDE_Simple_cauchy - _step__MAX","Group: Danru_Simple_cauchy - stage2/mcc_pearson","Group: Danru_Simple_cauchy - stage2/mcc_pearson__MIN","Group: Danru_Simple_cauchy - stage2/mcc_pearson__MAX","Group: Danru_Simple_cauchy - _step","Group: Danru_Simple_cauchy - _step__MIN","Group: Danru_Simple_cauchy - _step__MAX","Group: Ours_Simple_cauchy - stage2/mcc_pearson","Group: Ours_Simple_cauchy - stage2/mcc_pearson__MIN","Group: Ours_Simple_cauchy - stage2/mcc_pearson__MAX","Group: Ours_Simple_cauchy - _step","Group: Ours_Simple_cauchy - _step__MIN","Group: Ours_Simple_cauchy - _step__MAX"
"1","0.33718708194789226","0.09132129365231606","0.4459579963303198","10047","10047","10047","0.44794572727438675","0.11788255350056054","0.6499771773145765","20048","20048","20048","0.5817681519369157","0.34631303518543066","0.8689518864731891","20048","20048","20048"
"251","0.3671659241991089","0.217640735327885","0.5212984940199927","10300","10300","10300","0.39641209651640935","0.2053856228791878","0.6687556471050436","20301","20301","20301","0.562917685116028","0.3337101070031426","0.6834322364815427","20301","20301","20301"
"501","0.32651705076457455","0","0.48640702854525547","10553","10553","10553","0.3330582529463847","0.1969502463485933","0.5243103014861051","20554","20554","20554","0.6541775652671026","0.5230916345357131","0.8627721690582052","20554","20554","20554"
"751","0.2571168723101786","0","0.49100812613220307","10806","10806","10806","0.3756555262748559","0.20034367430892927","0.5223108088257801","20807","20807","20807","0.6026405026360128","0.48922650884871927","0.6791700063061737","20807","20807","20807"
"1001","0.26354871674232744","0","0.4475367260036411","11059","11059","11059","0.3390077016575901","0.11291006842129947","0.5805675578962681","21060","21060","21060","0.5872400092945833","0.3719849845822794","0.7476334631155545","21060","21060","21060"
"1251","0.23834980631933456","0","0.5354206263215348","11312","11312","11312","0.36716081739855944","0.2640632902923689","0.5461352704269303","21313","21313","21313","0.6260333078070175","0.3849798412862606","0.8182150657993538","21313","21313","21313"
"1501","0.26514866227038186","0","0.48958940286665453","11565","11565","11565","0.31698522636286147","0.12434274101198477","0.46486517252985093","21566","21566","21566","0.6607434733910356","0.3447523568050466","0.9149949659914981","21566","21566","21566"
"1751","0.3076038655219703","0","0.5676680940969829","11818","11818","11818","0.34180608074620794","0.1321208472698714","0.5792768112282167","21819","21819","21819","0.6437735618465162","0.40506253972852085","0.9419401146750136","21819","21819","21819"
"2001","0.25515470603375634","0","0.47658753710179874","12071","12071","12071","0.3886838608519917","0.19660452626772673","0.5042159292274792","22072","22072","22072","0.6573319277511952","0.3916035856732288","0.9202164243388712","22072","22072","22072"
"2251","0.20727356667850164","0","0.49759162271696195","12324","12324","12324","0.39502537594738707","0.08421178629399494","0.5996206577150555","22325","22325","22325","0.6835629701968463","0.4310288932057605","0.9736016577938521","22325","22325","22325"
"2501","0.20273031802499836","0","0.4782278017530826","12577","12577","12577","0.43186248406967387","0.275553578880638","0.5569900027918623","22578","22578","22578","0.6781460364443154","0.5423424072805426","0.8526915337809449","22578","22578","22578"
"2751","0.21131331404271986","0","0.45700845670935086","12830","12830","12830","0.36645578615535807","0.07540622898826106","0.5331078749488654","22831","22831","22831","0.6380619489938486","0.4316243632496664","0.7961358727120177","22831","22831","22831"
"3001","0.18269548280786332","0","0.4164141910040538","13083","13083","13083","0.41934094283683576","0.29287724774228574","0.6242441109915993","23084","23084","23084","0.6376652788923897","0.43030481991589503","0.9230398212561308","23084","23084","23084"
"3251","0.17275500810267308","0","0.4720540174199528","13336","13336","13336","0.4291627022461575","0.31669312687685813","0.5767652228790355","23337","23337","23337","0.604334810123978","0.3362083679624415","0.8026400884531538","23337","23337","23337"
"3501","0.17287486354631124","0","0.5093543998914655","13589","13589","13589","0.41976967912466767","0.28022030303471784","0.5795104308630623","23590","23590","23590","0.6460848109767264","0.4251742553213443","0.8030597993074235","23590","23590","23590"
"3751","0.1733387041623305","0","0.48699299763248044","13842","13842","13842","0.37486757465044845","0.18221933762369313","0.714739404728625","23843","23843","23843","0.6323124771458808","0.3579589309169271","0.9636022211383107","23843","23843","23843"
"4001","0.19255993098036348","0","0.5589964812996112","14095","14095","14095","0.37750043141318607","0.1542540429236621","0.4877975269732115","24096","24096","24096","0.6748280414644804","0.5903681921454972","0.7738757102650334","24096","24096","24096"
"4251","0.11265482220498468","0","0.4363200438546359","14348","14348","14348","0.3380122135932503","0.07738818365083382","0.5566119506666648","24349","24349","24349","0.6825054641118756","0.36962985601209875","0.9098926608660091","24349","24349","24349"
"4501","0.13112739208166838","0","0.5505182973901793","14601","14601","14601","0.3493491802536899","0.05221570226541889","0.47742063254539596","24602","24602","24602","0.609089916570207","0.42441323427243205","0.6954652493314549","24602","24602","24602"
"4751","0.13107773646079784","0","0.5071397363555691","14854","14854","14854","0.3548960938936857","0.1256669059064828","0.6361634292255394","24855","24855","24855","0.5876245725916649","0.3906671614989805","0.9675977467153701","24855","24855","24855"
"5001","0.14232583495125387","0","0.5726480965734023","15107","15107","15107","0.429740737015522","0.3166662163370028","0.5509361749132619","25108","25108","25108","0.6542055321693727","0.3720583777024132","0.8688216610184555","25108","25108","25108"
"5251","0.10705961785234488","0","0.52817993355188","15360","15360","15360","0.3477361640446032","0.1303418701195467","0.48831279197678673","25361","25361","25361","0.6446867144970603","0.5347684330023769","0.9201310497386895","25361","25361","25361"
"5501","0.08889739061345288","0","0.5037359749847994","15613","15613","15613","0.37144182055920555","0.20449274965024636","0.5588808482619545","25614","25614","25614","0.6469271685959007","0.40044928937347307","0.887025306017371","25614","25614","25614"
"5751","0.08505754446385602","0","0.4824424445307251","15866","15866","15866","0.41329687412145644","0.27035990657447106","0.6403908994095943","25867","25867","25867","0.6900009327440845","0.4109809052717277","0.9403821698557717","25867","25867","25867"
"6001","0.055638154574941076","0","0.368264040631682","16119","16119","16119","0.3773497545472668","0.13732840535490262","0.5883055620607355","26120","26120","26120","0.6821712036405949","0.391760031287139","0.9006406913597353","26120","26120","26120"
"6251","0.08022144123762903","0","0.4180919189992683","16372","16372","16372","0.36992197316272046","0.08203848540491677","0.5314538584056503","26373","26373","26373","0.6507022811822827","0.4385511631248817","0.9757011845295397","26373","26373","26373"
"6501","0.08437930877232","0","0.4549457910448773","16625","16625","16625","0.39192396587010647","0.07174773026541169","0.5827731848503505","26626","26626","26626","0.6952969384733547","0.46857920223899274","0.8883330971115683","26626","26626","26626"
"6751","0.06914711263734379","0","0.3918007743283938","16878","16878","16878","0.3080984993730785","0.149579814995617","0.5603106961496279","26879","26879","26879","0.7508237765624097","0.40423840335989203","0.9615710190145185","26879","26879","26879"
"7001","0.07112574704776545","0","0.3862156229659604","17131","17131","17131","0.33187473177380217","0.14402819871074635","0.5031971311162521","27132","27132","27132","0.7133675898057608","0.39045413902203446","0.9841796115436418","27132","27132","27132"
"7251","0.06366321627123664","0","0.6366321627123664","17384","17384","17384","0.3931908548135601","0.15842253336999348","0.6340687155739387","27385","27385","27385","0.6883262911586845","0.4180494368077476","0.8533008977013212","27385","27385","27385"
"7501","0.033113643710755244","0","0.3311364371075524","17637","17637","17637","0.38183791292072466","0.16965620854379107","0.5683529169548523","27638","27638","27638","0.644990214580307","0.45541573700260646","0.7948235956615339","27638","27638","27638"
"7751","0.04075776822402637","0","0.40757768224026364","17890","17890","17890","0.35438687012254777","0.08185281114178682","0.610426040453966","27891","27891","27891","0.7146275639618223","0.48528008296379427","0.9413091916910759","27891","27891","27891"
"8001","0.03331390989451466","0","0.3331390989451466","18143","18143","18143","0.3265761953736927","0.03855894748896011","0.6383643895496239","28144","28144","28144","0.6723205030064955","0.5359139869134392","0.9398217250037111","28144","28144","28144"
"8251","0.03227891459363358","0","0.3227891459363358","18396","18396","18396","0.4060608387561727","0.12240214138329723","0.6064734337990414","28397","28397","28397","0.7746049621130437","0.5099060109328138","0.9711885811232156","28397","28397","28397"
"8501","0.03617696625815359","0","0.36176966258153587","18649","18649","18649","0.37783654490236535","0.19556320636526006","0.5100686541201617","28650","28650","28650","0.6473180362026139","0.3468707081961661","0.9261368314771322","28650","28650","28650"
"8751","0.03295881592860612","0","0.32958815928606117","18902","18902","18902","0.3761969758513311","0.1775305458479719","0.5850472990268446","28903","28903","28903","0.7190232641289704","0.38520139055278557","0.955969519967648","28903","28903","28903"
"9001","0.04053142833361494","0","0.40531428333614944","19155","19155","19155","0.447029233722769","0.1810889050849812","0.6375793832506368","29156","29156","29156","0.6928417987759335","0.5231615201064438","0.8931392408028418","29156","29156","29156"
"9251","0.03684159937836676","0","0.3684159937836676","19408","19408","19408","0.40674938735711913","0.17630331082445014","0.6158480753936427","29409","29409","29409","0.636441938456345","0.48187264725405415","0.8529182595904388","29409","29409","29409"
"9501","0.060269106486979175","0","0.6026910648697917","19661","19661","19661","0.34976227261837123","0.04472897252694493","0.563565733077282","29662","29662","29662","0.7047696792624965","0.4701760556825206","0.9771547131787838","29662","29662","29662"
"9751","0.03536032621314409","0","0.3536032621314409","19914","19914","19914","0.36946199303844274","0.1326214714947799","0.5375059738851379","29915","29915","29915","0.6924961700611219","0.3353629214625525","0.9090290003896535","29915","29915","29915"
"10001","0.03558544947224365","0","0.3558544947224365","20167","20167","20167","0.3511374150325175","0.10269102235148074","0.5693500072995381","30168","30168","30168","0.7453977407949817","0.4554332284272022","0.9607071523002874","30168","30168","30168"
"10251","0.03827768609446897","0","0.3827768609446897","20420","20420","20420","0.3676928741827896","0.17830971235240609","0.606660844985067","30421","30421","30421","0.766803116510425","0.5534237664951762","0.9499871911533955","30421","30421","30421"
"10501","0.030636526693641357","0","0.3063652669364136","20673","20673","20673","0.3579220215355972","0.053566614060989844","0.565423080702022","30674","30674","30674","0.6762671666640232","0.35318434124451975","0.9459786179663717","30674","30674","30674"
"10751","0.0358302501650621","0","0.35830250165062094","20926","20926","20926","0.3701649104601196","0.13292772557760027","0.6506789799239555","30927","30927","30927","0.7260960763883121","0.4325378159650586","0.955397240891683","30927","30927","30927"
"11001","0.03596036359324008","0","0.3596036359324008","21179","21179","21179","0.35879461515317723","0.25204159219295236","0.5140540690129866","31180","31180","31180","0.7639440682474278","0.39037661200249757","0.9845358230060666","31180","31180","31180"
"11251","0.03863998055395072","0","0.38639980553950726","21432","21432","21432","0.38739146534731894","0.2821118749519273","0.5054817933262105","31433","31433","31433","0.7664477865499636","0.4610514506067305","0.9538248665742444","31433","31433","31433"
"11501","0.04164040911608997","0","0.41640409116089966","21685","21685","21685","0.3659008638063107","0.1905642118026545","0.6505156601347605","31686","31686","31686","0.7545956051442109","0.5188718464996391","0.9709319720860391","31686","31686","31686"
"11751","0.035550176267566624","0","0.35550176267566624","21938","21938","21938","0.3682867815470344","0.1426205763969489","0.6360396401241994","31939","31939","31939","0.6848558770554745","0.41552874516432103","0.8928539678937528","31939","31939","31939"
"12001","0.032335633514867346","0","0.32335633514867346","22191","22191","22191","0.3615509429498222","0.08970841948864021","0.6359417646819351","32192","32192","32192","0.7402569986302227","0.5005145698431988","0.9573717590624881","32192","32192","32192"
"12251","0.04943521027854748","0","0.49435210278547476","22444","22444","22444","0.35669814172782494","0.0928660209284189","0.47810429576702845","32445","32445","32445","0.7455301471645827","0.4968975015928058","0.9087458966590044","32445","32445","32445"
"12501","0","0","0","22697","22697","22697","0.4119813107530089","0.19245254672183024","0.6376680027674341","32698","32698","32698","0.7193182988410665","0.5774217025527643","0.924199276681197","32698","32698","32698"
"12751","0","0","0","22950","22950","22950","0.38863379275468646","0.11304222191026096","0.6593826798913424","32951","32951","32951","0.7429616978437191","0.42607012585300746","0.9743706125991318","32951","32951","32951"
"13001","0","0","0","23203","23203","23203","0.32738308712221786","0.1177896460047268","0.4890157324464924","33204","33204","33204","0.7391372799361402","0.6329794296232364","0.8641869466101184","33204","33204","33204"
"13251","0","0","0","23456","23456","23456","0.34099049259652947","0.07809982916716497","0.45681637843154865","33457","33457","33457","0.6759015155934213","0.42641041179867495","0.8951635193650547","33457","33457","33457"
"13501","0","0","0","23709","23709","23709","0.3729529748376695","0.2173775990682325","0.5731407931786247","33710","33710","33710","0.7499624507494121","0.37363065668335027","0.9653026716137368","33710","33710","33710"
"13751","0","0","0","23962","23962","23962","0.38610451414814617","0.22826157628057045","0.6327075649324213","33963","33963","33963","0.7309420577111451","0.5793672333004167","0.9211641891772296","33963","33963","33963"
"14001","0","0","0","24215","24215","24215","0.383787060422732","0.1575349698954903","0.6505576800593343","34216","34216","34216","0.7324152769338009","0.34338896323735235","0.9930222991137146","34216","34216","34216"
"14251","0","0","0","24468","24468","24468","0.3978614347682259","0.2584768313519456","0.6617424802441618","34469","34469","34469","0.6686746512179874","0.4348932404559198","0.970933148231767","34469","34469","34469"
