"stage1/step","Group: VaDE_Complicate_gauss - stage1/mcc_pearson","Group: VaDE_Complicate_gauss - stage1/mcc_pearson__MIN","Group: VaDE_Complicate_gauss - stage1/mcc_pearson__MAX","Group: VaDE_Complicate_gauss - _step","Group: VaDE_Complicate_gauss - _step__MIN","Group: VaDE_Complicate_gauss - _step__MAX","Group: Danru_Complicate_gauss - stage1/mcc_pearson","Group: Danru_Complicate_gauss - stage1/mcc_pearson__MIN","Group: Danru_Complicate_gauss - stage1/mcc_pearson__MAX","Group: Danru_Complicate_gauss - _step","Group: Danru_Complicate_gauss - _step__MIN","Group: Danru_Complicate_gauss - _step__MAX","Group: Ours_Complicate_gauss - stage1/mcc_pearson","Group: Ours_Complicate_gauss - stage1/mcc_pearson__MIN","Group: Ours_Complicate_gauss - stage1/mcc_pearson__MAX","Group: Ours_Complicate_gauss - _step","Group: Ours_Complicate_gauss - _step__MIN","Group: Ours_Complicate_gauss - _step__MAX"
"1","0.3220758078013146","0.2663512504627756","0.36439084391301485","2","2","2","0.42804121590197186","0.39447216061412027","0.47142333772194334","4","4","4","0.40675291018936194","0.37427941225601047","0.4458393131140026","4","4","4"
"251","0.33759174106287015","0.2179126317300542","0.43451017247154233","253","253","253","0.5532957534177204","0.5145021709274793","0.5969711911310271","505","505","505","0.5041993366130707","0.45448413666501086","0.556587835287724","505","505","505"
"501","0.4712217301498206","0.35682401855209","0.5634161197016906","504","504","504","0.5633548682870815","0.516683415499339","0.606437999111059","1006","1006","1006","0.5064109905654929","0.4416358833360577","0.5626137150874283","1006","1006","1006"
"751","0.5180208262284082","0.41791847184264597","0.6070169117785543","755","755","755","0.5654399527817894","0.5211517999146704","0.604320896529117","1507","1507","1507","0.510771996209246","0.458972294851047","0.5642819499264088","1507","1507","1507"
"1001","0.5433407076795393","0.4960581540560239","0.6250378735466495","1006","1006","1006","0.5663911236090188","0.520619973449648","0.6022096138282997","2008","2008","2008","0.5142995441016013","0.46652346093452657","0.5661580409531428","2008","2008","2008"
"1251","0.5522456283719509","0.5145303076274315","0.6050858204106436","1257","1257","1257","0.5666366324225185","0.5194078185886953","0.6025238252448724","2509","2509","2509","0.5153049965587295","0.464456991579446","0.5687391025565788","2509","2509","2509"
"1501","0.5583702499172045","0.5137365788784235","0.6394117250442172","1508","1508","1508","0.5664457653042747","0.5189742762976184","0.6023705853963246","3010","3010","3010","0.5191113764437779","0.4784437762363245","0.5708812975801694","3010","3010","3010"
"1751","0.5578030573418488","0.513921665138474","0.6414473817829005","1759","1759","1759","0.5661261152237251","0.5201846455936203","0.6046773569443451","3511","3511","3511","0.5200255019662229","0.4777926969420673","0.5759650279400013","3511","3511","3511"
"2001","0.5672011057657709","0.5154970521493276","0.6282461292661263","2010","2010","2010","0.5673507090102696","0.521447115029776","0.5996782078895624","4012","4012","4012","0.5223793250506784","0.4830730267145234","0.5734196555092309","4012","4012","4012"
"2251","0.5622982181194697","0.5217239866132627","0.6351521940306607","2261","2261","2261","0.5669491423229948","0.5225149359806386","0.5984301884827884","4513","4513","4513","0.5241695068579519","0.4872098311502767","0.5808576790807958","4513","4513","4513"
"2501","0.5623729493908807","0.5143916773902492","0.6346835308182515","2512","2512","2512","0.5668207773644935","0.523123114753649","0.6050829641692345","5014","5014","5014","0.525111648429292","0.48985149786003007","0.572476479702994","5014","5014","5014"
"2751","0.5600154717493143","0.5135460000579462","0.6342719308067577","2763","2763","2763","0.5675090523618493","0.5161034264484915","0.6027641136821433","5515","5515","5515","0.5262081497630589","0.4887911789114675","0.5777546659939452","5515","5515","5515"
"3001","0.5655544778676111","0.5133598088604352","0.6393962134454112","3014","3014","3014","0.5645164879589688","0.5150109565948129","0.5957927617922436","6016","6016","6016","0.5243610231263045","0.4892805992181657","0.5760822794331022","6016","6016","6016"
"3251","0.5615262194712962","0.50871048212865","0.6329405803262633","3265","3265","3265","0.5641875116377505","0.5145020194898876","0.6050600792323989","6517","6517","6517","0.5288444233521724","0.4947512914323517","0.5793560517994973","6517","6517","6517"
"3501","0.5642231726564495","0.5131258796799301","0.6410679516307336","3516","3516","3516","0.56389609674039","0.5123053326956787","0.598147121523416","7018","7018","7018","0.5297330505454094","0.4927819866104527","0.5813654830348158","7018","7018","7018"
"3751","0.5641025522004406","0.5138329450699839","0.6420300577972555","3767","3767","3767","0.5639733684600756","0.518364689018364","0.5948480720704217","7519","7519","7519","0.5308634709804394","0.4966250721673274","0.5786210072879812","7519","7519","7519"
